campaign_id,variant_id,run_id,stage,equity_curve_type,path,rows
es_gao_last_half_hour_orderflow_confirmation,es_gao_last_half_hour_orderflow_confirmation,rescue2,limited_core_grid_test,fixed_config_core,backtest-campaigns/es_gao_last_half_hour_orderflow_confirmation/first30_broad_large_alignment_1530/ES/rescue2/limited_core_grid_test/fixed_config_core_equity_curve.csv,159
es_gao_last_half_hour_orderflow_confirmation,es_gao_last_half_hour_orderflow_confirmation,run1,limited_core_grid_test,fixed_config_core,backtest-campaigns/es_gao_last_half_hour_orderflow_confirmation/first30_broad_large_alignment_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,127
