start_timestamp,contract_symbol,source
2009-12-15 00:00:00-05:00,NQH0,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2010-03-16 00:00:00-04:00,NQM0,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2010-06-15 00:00:00-04:00,NQU0,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2010-09-14 00:00:00-04:00,NQZ0,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2010-12-14 00:00:00-05:00,NQH1,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2011-03-15 00:00:00-04:00,NQM1,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2011-06-14 00:00:00-04:00,NQU1,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2011-09-13 00:00:00-04:00,NQZ1,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2011-12-13 00:00:00-05:00,NQH2,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2012-03-13 00:00:00-04:00,NQM2,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2012-06-12 00:00:00-04:00,NQU2,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2012-09-18 00:00:00-04:00,NQZ2,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2012-12-18 00:00:00-05:00,NQH3,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2013-03-12 00:00:00-04:00,NQM3,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2013-06-18 00:00:00-04:00,NQU3,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2013-09-17 00:00:00-04:00,NQZ3,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2013-12-17 00:00:00-05:00,NQH4,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2014-03-18 00:00:00-04:00,NQM4,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2014-06-17 00:00:00-04:00,NQU4,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
2014-09-16 00:00:00-04:00,NQZ4,derived_from_es_motivewave_rithmic_roll_calendar_same_cme_equity_index_quarterly_cycle
