variant_id,rows,pass_rows,min_full,min_limited,min_latest,decision
day_60m_fragmented_two_sided_fade,9,9,129.866247,98.490566,153,NEEDS MANUAL REVIEW
midday_30m_fragmented_down_fade_long,9,9,70.649882,52.981132,90,NEEDS MANUAL REVIEW
midday_30m_fragmented_up_fade_short,9,7,60.009441,41.433962,64,FAIL
morning_15m_fragmented_down_fade_long,9,9,71.244689,53.660377,78,NEEDS MANUAL REVIEW
morning_15m_fragmented_up_fade_short,9,9,58.885917,52.301887,60,NEEDS MANUAL REVIEW
