campaign_id,variant_id,symbol,test_run_id,terminal_stage,stage_status,passed,total_combinations,profitable_iterations,profitable_iteration_rate,benchmark_passing_iterations,apex_rule_violating_iterations,top_run_id,top_net_profit,top_profit_factor,top_expectancy_r,top_mar,top_max_drawdown,top_win_rate,top_total_trades,top_trades_per_year,top_consecutive_losses,top_failure_reason,effective_config_path,source_config_path,variant_summary_path
es_video_aoi_lvn_orderflow_playbook,range_value_edge_aoi_reentry_1500,ES,run1,limited_core_grid_test,failed,False,81,4,0.04938271604938271,0,0,36,272.5,1.0294514995947042,-0.011022446088817807,0.13682300815229587,1315.0,0.30973451327433627,113,73.9786429205352,9,max_consecutive_losses;max_best_day_concentration,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/range_value_edge_aoi_reentry_1500/ES/run1/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/variants/range_value_edge_aoi_reentry_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/range_value_edge_aoi_reentry_1500/ES/run1/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_buyer_trap_short_1500,ES,run1,limited_core_grid_test,failed,False,81,0,0.0,0,0,22,-3210.0,0.4069284064665127,-0.4886179792429793,-0.6346109665607194,3317.5,0.2361111111111111,72,47.04600851245686,20,min_total_net_profit;min_trades_per_year;max_consecutive_losses;preferred_min_total_trades,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_buyer_trap_short_1500/ES/run1/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/variants/trend_lvn_buyer_trap_short_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_buyer_trap_short_1500/ES/run1/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_seller_trap_long_1500,ES,run1,limited_core_grid_test,failed,False,81,0,0.0,0,0,81,-2962.5,0.6721991701244814,-0.23879598303968044,-0.47669155126811413,4075.0,0.23809523809523808,105,68.61183100551371,20,min_total_net_profit;max_consecutive_losses,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_seller_trap_long_1500/ES/run1/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/variants/trend_lvn_seller_trap_long_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_seller_trap_long_1500/ES/run1/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_two_sided_base_1500,ES,run1,limited_core_grid_test,failed,False,81,0,0.0,0,0,22,-4080.0,0.5276410998552822,-0.3889580944924456,-0.6396805706128849,4187.5,0.2748091603053435,131,85.59759882127568,15,min_total_net_profit;max_consecutive_losses,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_base_1500/ES/run1/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/variants/trend_lvn_two_sided_base_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_base_1500/ES/run1/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_two_sided_strong_1500,ES,run1,limited_core_grid_test,failed,False,81,0,0.0,0,0,76,-3300.0,0.6262740656851642,-0.281556353310555,-0.5959250895954761,3622.5,0.3142857142857143,140,91.16395159672855,10,min_total_net_profit;max_consecutive_losses,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_strong_1500/ES/run1/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/variants/trend_lvn_two_sided_strong_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_strong_1500/ES/run1/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_buyer_trap_short_3m_1500,ES,run2,limited_core_grid_test,failed,False,81,0,0.0,0,0,58,-322.5,0.9368884540117417,-0.14646047981868873,-0.1320774883604122,1627.5,0.373134328358209,67,44.256213760130215,9,min_total_net_profit;min_trades_per_year;max_consecutive_losses;preferred_min_total_trades,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_buyer_trap_short_3m_1500/ES/run2/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/rescue_attempts/user_3m_trend_model_run2/trend_lvn_buyer_trap_short_3m_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_buyer_trap_short_3m_1500/ES/run2/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_seller_trap_long_3m_1500,ES,run2,limited_core_grid_test,failed,False,81,0,0.0,0,0,77,-780.0,0.871340206185567,-0.07619756314676754,-0.35063707678178146,1457.5,0.3023255813953488,86,56.19586810434472,10,min_total_net_profit;max_consecutive_losses,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_seller_trap_long_3m_1500/ES/run2/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/rescue_attempts/user_3m_trend_model_run2/trend_lvn_seller_trap_long_3m_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_seller_trap_long_3m_1500/ES/run2/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_two_sided_base_3m_1500,ES,run2,limited_core_grid_test,failed,False,81,0,0.0,0,0,76,-835.0,0.9038295421825511,-0.1182968975353973,-0.22392274081196273,2462.5,0.3779527559055118,127,82.98939600067091,10,min_total_net_profit;max_consecutive_losses,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_base_3m_1500/ES/run2/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/rescue_attempts/user_3m_trend_model_run2/trend_lvn_two_sided_base_3m_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_base_3m_1500/ES/run2/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_two_sided_delta_shift_3m_1500,ES,run2,limited_core_grid_test,failed,False,81,18,0.2222222222222222,0,0,69,1405.0,1.154948993658671,0.08722433520950719,0.4199917183182786,2220.0,0.2894736842105263,114,74.48497926053464,12,max_consecutive_losses;max_best_day_concentration,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_delta_shift_3m_1500/ES/run2/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/rescue_attempts/user_3m_trend_model_run2/trend_lvn_two_sided_delta_shift_3m_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_delta_shift_3m_1500/ES/run2/variant_test_summary.json
es_video_aoi_lvn_orderflow_playbook,trend_lvn_two_sided_strong_3m_1500,ES,run2,limited_core_grid_test,failed,False,81,3,0.037037037037037035,0,0,67,72.5,1.0096634455181606,-0.05790685935189894,0.02096795008927368,2292.5,0.39823008849557523,113,73.84095864626624,9,max_consecutive_losses;max_best_day_concentration,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_strong_3m_1500/ES/run2/effective_config.yaml,campaigns/es_video_aoi_lvn_orderflow_playbook/rescue_attempts/user_3m_trend_model_run2/trend_lvn_two_sided_strong_3m_1500/config.yaml,backtest-campaigns/es_video_aoi_lvn_orderflow_playbook/trend_lvn_two_sided_strong_3m_1500/ES/run2/variant_test_summary.json
