campaign_id,variant_id,test_run_id,rescue_attempt,status,fixed_config_core_trade_log
es_spy_turnover_orderflow_attention,spy_1d_absret_attention_continuation_1530,run1,none,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_1d_absret_attention_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_1d_absret_attention_continuation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_1d_absret_attention_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_1d_volume_attention_continuation_1530,run1,none,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_1d_volume_attention_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_1d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_1d_volume_attention_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_3d_absret_attention_continuation_1530,run1,none,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_absret_attention_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_3d_absret_attention_continuation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_absret_attention_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_3d_volume_attention_continuation_1530,run1,none,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_volume_attention_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_3d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_volume_attention_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_5d_volume_attention_continuation_1530,run1,none,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_5d_volume_attention_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_spy_turnover_orderflow_attention,spy_5d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_5d_volume_attention_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
