campaign_id,variant_id,test_run_id,rescue_attempt,status,terminal_stage,early_exit,profit_factor,mar,trades_per_year,net_profit,total_trades,expectancy_r,wfa_summary,wfa_oos_trade_log,note
es_spy_turnover_orderflow_attention,spy_1d_absret_attention_continuation_1530,run1,none,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_1d_absret_attention_continuation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_1d_volume_attention_continuation_1530,run1,none,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_1d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_3d_absret_attention_continuation_1530,run1,none,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_3d_absret_attention_continuation_1530,rescue1,parameter_space_rescue_1,failed,walk_forward_analysis,True,0.9450324342779105,-0.16161731136310653,52.17242192103712,-805.0,101,-0.008233449370952323,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_absret_attention_continuation_1530/ES/rescue1/walk_forward_analysis/wfa_summary.json,backtest-campaigns/es_spy_turnover_orderflow_attention/spy_3d_absret_attention_continuation_1530/ES/rescue1/walk_forward_analysis/wfa_oos_trade_log.csv,failed WFA thresholds
es_spy_turnover_orderflow_attention,spy_3d_volume_attention_continuation_1530,run1,none,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_3d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_5d_volume_attention_continuation_1530,run1,none,not_reached,limited_core_grid_test,,,,,,,,,,not reached because earlier stage failed
es_spy_turnover_orderflow_attention,spy_5d_volume_attention_continuation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_monkey_test,,,,,,,,,,not reached because earlier stage failed
