wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.min_impulse_ticks,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,1,True,27,8,0.06,0.005,2.0,687,687,687,0,0,0,0,0,0,0,687,172.44549014367493,23250.0,1.2385716484531322,0.09624867943958926,5915.0,0.03633403974323536,0.03683309575969429,1.0137352196448743,0.50509461426492,0,0,True,-510.0,0.04172043010752688,9,False,max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,2,False,54,12,0.06,0.005,2.0,632,632,632,0,0,0,0,0,0,0,632,158.6466246512971,21555.0,1.236076885165106,0.0942144427068569,5530.0,0.03454199069302601,0.03427896403378394,0.9923853068695553,0.5079113924050633,0,0,True,-510.0,0.045001159823706796,9,False,max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,3,False,24,8,0.06,0.0035,2.0,687,687,687,0,0,0,0,0,0,0,687,172.4483706546017,15315.0,1.167313049653138,0.09784123093565368,4430.0,0.027783875317507603,0.02470338394278282,0.8891266484778797,0.4657933042212518,0,0,True,-360.0,0.04440091413646752,9,False,min_profit_factor;max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,4,False,81,16,0.06,0.005,2.0,583,583,583,0,0,0,0,0,0,0,583,146.44678889881223,19585.0,1.2272305371852883,0.09615193738768349,5815.0,0.036668032916101774,0.031306470605123815,0.8537810216532348,0.5025728987993139,0,0,True,-510.0,0.049527699770232324,8,True,
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,5,False,26,8,0.06,0.005,1.5,687,687,687,0,0,0,0,0,0,0,687,172.44549014367493,19510.0,1.2001949617772305,0.08182766559751929,6085.0,0.03778798981556232,0.03116882948484534,0.8248342829818643,0.50509461426492,0,0,True,-510.0,0.0371604305484367,9,False,max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,6,False,9,8,0.0,0.005,2.0,715,715,715,0,0,0,0,0,0,0,715,179.47383617573158,20980.0,1.204214727210785,0.08394015476222877,6540.0,0.040694418517827145,0.033406217356627854,0.8209041577039239,0.5006993006993007,0,0,True,-510.0,0.046234509056244044,9,False,max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,7,False,15,8,0.03,0.0035,2.0,697,697,697,0,0,0,0,0,0,0,697,174.9585361663135,13500.0,1.143915569532541,0.0868260569834817,4230.0,0.026850323727307352,0.021867696680185844,0.8144295354601602,0.4634146341463415,0,0,True,-360.0,0.05037037037037037,9,False,min_profit_factor;max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,8,False,18,8,0.03,0.005,2.0,697,697,697,0,0,0,0,0,0,0,697,174.95561372655231,20150.0,1.1997620699910776,0.08379968998529319,6460.0,0.04039646061970422,0.03214470940541547,0.795730836620281,0.49928263988522237,0,0,True,-510.0,0.04813895781637717,9,False,min_profit_factor;max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,9,False,53,12,0.06,0.005,1.5,632,632,632,0,0,0,0,0,0,0,632,158.6466246512971,18295.0,1.200372378292536,0.08081122431587655,5915.0,0.03728509069133429,0.0293098412388908,0.7861008434050268,0.5079113924050633,0,0,True,-510.0,0.03962831374692539,9,False,max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,10,False,45,12,0.03,0.005,2.0,644,644,644,0,0,0,0,0,0,0,644,161.65890233454957,18345.0,1.1931154271277435,0.0793896148065935,6235.0,0.039686833646287514,0.02938659689007972,0.7404621177892501,0.5015527950310559,0,0,True,-510.0,0.052875442899972744,9,False,min_profit_factor;max_consecutive_losses
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,5499e83d5e81934ebf55a1771db8258104e6398004050b11fb182f26f7c1c957,79a817cca75130793cf9356a3e230392b37416c5f9173bc67de43fa11c3d98f6,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,11,False,80,16,0.06,0.005,1.5,583,583,583,0,0,0,0,0,0,0,583,146.44678889881223,16275.0,1.1888270100939784,0.08156055758722515,5665.0,0.03601226896365399,0.026212715324399838,0.7278829154268363,0.5025728987993139,0,0,True,-510.0,0.0445468509984639,8,False,min_profit_factor
