variant_id,entry_combos,combos_passing_all_windows,density_gate_pass,min_full_signals_per_year,max_full_signals_per_year,min_limited_core_signals_per_year,max_limited_core_signals_per_year,weakest_window,weakest_signals_per_year,weakest_entry_params
afternoon_60m_absorption_fade_1400,9,0,False,0.991345,5.683714,4.075472,10.188679,full_history,0.991345,"{'pressure_rank_threshold': 0.9, 'max_abs_return_ticks': 1.0}"
early_5m_absorption_fade_1000,9,0,False,1.520063,7.402046,4.075472,18.339623,full_history,1.520063,"{'pressure_rank_threshold': 0.9, 'max_abs_return_ticks': 1.0}"
late_30m_absorption_fade_1500,9,0,False,1.123525,6.873328,3.396226,13.584906,full_history,1.123525,"{'pressure_rank_threshold': 0.9, 'max_abs_return_ticks': 1.0}"
late_morning_15m_absorption_fade_1130,9,0,False,1.057435,6.807238,2.716981,13.584906,full_history,1.057435,"{'pressure_rank_threshold': 0.9, 'max_abs_return_ticks': 1.0}"
midday_30m_absorption_fade_1230,9,0,False,0.859166,6.080252,0.679245,10.188679,limited_core,0.679245,"{'pressure_rank_threshold': 0.9, 'max_abs_return_ticks': 1.0}"
