trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,academic_source_key,setup_mode,leader_symbol,traded_symbol,lookback_minutes,es_return_bps,nq_return_bps,nq_minus_es_return_bps,min_spread_bps,min_abs_es_return_bps,signal_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,orderflow_absorption_filter,orderflow_window_minutes,es_signed_absorption_imbalance,min_absorption_imbalance,entry_window_mode,entry_window_start,entry_window_end,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",1,es_nq_relative_value_orderflow_absorption_reversion,2015-01-07,short,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,2.4773937817412772,-3.609456776755282,-6.086850558496559,6.0,0.0,2015-01-07 14:02:00-05:00,2015-01-07 14:02:00-05:00,0.008,2.0,15:30:00,2018.75,2015-01-07 14:01:00-05:00,2019.0,2015.5,2015-01-07 14:02:00-05:00,es_signed_imbalance_counter_to_es_return,60,-0.03140442014951038,0.03,True,13:00:00,14:30:00,2015-01-07 14:02:00-05:00,2018.5,2030.75,2000.125,12.25,1,4.75,3.25,fixed_contracts,2015-01-07 15:30:00-05:00,2017.25,eod_flatten,62.5,57.5,0.10204081632653061,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",2,es_nq_relative_value_orderflow_absorption_reversion,2015-01-08,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,0.0,10.629502775481026,10.629502775481026,6.0,0.0,2015-01-08 13:52:00-05:00,2015-01-08 13:52:00-05:00,0.008,2.0,15:30:00,2053.0,2015-01-08 13:51:00-05:00,2053.25,2053.0,2015-01-08 13:52:00-05:00,es_signed_imbalance_counter_to_es_return,60,0.042265287289329254,0.03,True,13:00:00,14:30:00,2015-01-08 13:52:00-05:00,2053.5,2041.0,2072.25,12.5,1,5.0,3.25,fixed_contracts,2015-01-08 15:30:00-05:00,2057.25,eod_flatten,187.5,182.5,0.3,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",3,es_nq_relative_value_orderflow_absorption_reversion,2015-01-14,short,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,5.025757004648579,-3.0334283807553764,-8.059185385403955,6.0,0.0,2015-01-14 14:12:00-05:00,2015-01-14 14:12:00-05:00,0.008,2.0,15:30:00,1990.75,2015-01-14 14:11:00-05:00,1991.5,1988.0,2015-01-14 14:12:00-05:00,es_signed_imbalance_counter_to_es_return,60,-0.038094276968028105,0.03,True,13:00:00,14:30:00,2015-01-14 14:12:00-05:00,1990.25,2002.25,1972.25,12.0,1,1.25,12.25,fixed_contracts,2015-01-14 14:32:00-05:00,2002.5,stop,-612.5,-617.5,-1.0208333333333333,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",4,es_nq_relative_value_orderflow_absorption_reversion,2015-01-23,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,0.0,6.430116326650026,6.430116326650026,6.0,0.0,2015-01-23 13:15:00-05:00,2015-01-23 13:15:00-05:00,0.008,2.0,15:30:00,2055.25,2015-01-23 13:14:00-05:00,2055.75,2054.75,2015-01-23 13:15:00-05:00,es_signed_imbalance_counter_to_es_return,60,0.06338440761447027,0.03,True,13:00:00,14:30:00,2015-01-23 13:15:00-05:00,2055.25,2042.75,2074.0,12.5,1,2.0,7.5,fixed_contracts,2015-01-23 15:30:00-05:00,2050.0,eod_flatten,-262.5,-267.5,-0.42,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",5,es_nq_relative_value_orderflow_absorption_reversion,2015-02-06,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,-8.50133592421698,0.5891710363514768,9.090506960568456,6.0,0.0,2015-02-06 14:15:00-05:00,2015-02-06 14:15:00-05:00,0.008,2.0,15:30:00,2056.75,2015-02-06 14:14:00-05:00,2057.25,2056.5,2015-02-06 14:15:00-05:00,es_signed_imbalance_counter_to_es_return,60,0.03020462404484603,0.03,True,13:00:00,14:30:00,2015-02-06 14:15:00-05:00,2057.25,2044.75,2076.0,12.5,1,4.25,12.0,fixed_contracts,2015-02-06 15:30:00-05:00,2045.5,eod_flatten,-587.5,-592.5,-0.94,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",6,es_nq_relative_value_orderflow_absorption_reversion,2015-02-09,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,0.0,7.696406370256703,7.696406370256703,6.0,0.0,2015-02-09 13:28:00-05:00,2015-02-09 13:28:00-05:00,0.008,2.0,15:30:00,2047.75,2015-02-09 13:27:00-05:00,2047.75,2047.5,2015-02-09 13:28:00-05:00,es_signed_imbalance_counter_to_es_return,60,0.03458569348780876,0.03,True,13:00:00,14:30:00,2015-02-09 13:28:00-05:00,2048.0,2035.5,2066.75,12.5,1,0.0,11.5,fixed_contracts,2015-02-09 15:30:00-05:00,2041.5,eod_flatten,-325.0,-330.0,-0.52,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",7,es_nq_relative_value_orderflow_absorption_reversion,2015-02-13,short,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,0.0,-9.162753407399027,-9.162753407399027,6.0,0.0,2015-02-13 14:22:00-05:00,2015-02-13 14:22:00-05:00,0.008,2.0,15:30:00,2087.75,2015-02-13 14:21:00-05:00,2087.75,2086.75,2015-02-13 14:22:00-05:00,es_signed_imbalance_counter_to_es_return,60,-0.04571990230535533,0.03,True,13:00:00,14:30:00,2015-02-13 14:22:00-05:00,2087.25,2100.0,2068.125,12.75,1,0.5,4.75,fixed_contracts,2015-02-13 15:30:00-05:00,2091.5,eod_flatten,-212.5,-217.5,-0.3333333333333333,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",8,es_nq_relative_value_orderflow_absorption_reversion,2015-03-17,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,0.0,6.298310907528748,6.298310907528748,6.0,0.0,2015-03-17 14:21:00-04:00,2015-03-17 14:21:00-04:00,0.008,2.0,15:30:00,2065.5,2015-03-17 14:20:00-04:00,2066.5,2065.5,2015-03-17 14:21:00-04:00,es_signed_imbalance_counter_to_es_return,60,0.03691094041934814,0.03,True,13:00:00,14:30:00,2015-03-17 14:21:00-04:00,2065.75,2053.25,2084.5,12.5,1,4.0,2.5,fixed_contracts,2015-03-17 15:30:00-04:00,2069.0,eod_flatten,162.5,157.5,0.26,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",9,es_nq_relative_value_orderflow_absorption_reversion,2015-03-23,long,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,-2.3772732675619856,4.4956448440580665,6.872918111620052,6.0,0.0,2015-03-23 13:58:00-04:00,2015-03-23 13:58:00-04:00,0.008,2.0,15:30:00,2102.75,2015-03-23 13:57:00-04:00,2103.0,2102.5,2015-03-23 13:58:00-04:00,es_signed_imbalance_counter_to_es_return,60,0.04513825492463433,0.03,True,13:00:00,14:30:00,2015-03-23 13:58:00-04:00,2103.0,2090.25,2122.125,12.75,1,3.0,1.75,fixed_contracts,2015-03-23 15:30:00-04:00,2102.0,eod_flatten,-50.0,-55.0,-0.0784313725490196,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.035991777354274376,"{'entry.params.min_spread_bps': 6, 'entry.params.min_absorption_imbalance': 0.03, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",10,es_nq_relative_value_orderflow_absorption_reversion,2015-03-30,short,es_nq_relative_value_absorption_reversion_two_sided_divergence_fade_60m,cross_index_relative_value_orderflow_absorption_reversion,two_sided_divergence_fade,NQ,ES,60,3.6066362106268457,-2.857959416976419,-6.464595627603265,6.0,0.0,2015-03-30 14:24:00-04:00,2015-03-30 14:24:00-04:00,0.008,2.0,15:30:00,2080.25,2015-03-30 14:23:00-04:00,2080.5,2080.25,2015-03-30 14:24:00-04:00,es_signed_imbalance_counter_to_es_return,60,-0.050597826086956524,0.03,True,13:00:00,14:30:00,2015-03-30 14:24:00-04:00,2080.0,2092.5,2061.25,12.5,1,1.5,1.75,fixed_contracts,2015-03-30 15:30:00-04:00,2080.0,eod_flatten,0.0,-5.0,0.0,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
