run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,0.35,2,0.003,1.5,249,249,249,0,0,0,0,0,0,0,249,62.41950082144694,17580.0,1.2826707400410018,0.09772170100197759,7221.25,0.04543345418511557,0.028171344455945047,0.6200572895286102,0.5140562248995983,0,0,True,-930.0,0.07792946530147896,5,False,preferred_min_total_trades
2,0.35,2,0.003,2.0,249,249,249,0,0,0,0,0,0,0,249,62.41950082144694,17805.0,1.2783879920259547,0.10015721462755554,7047.5,0.044471438262159046,0.028517226823503883,0.6412481344856643,0.5020080321285141,0,0,True,-930.0,0.09870822802583544,5,False,preferred_min_total_trades
3,0.35,2,0.003,2.5,249,249,249,0,0,0,0,0,0,0,249,62.41950082144694,18655.0,1.2904632152588555,0.10724060979145997,6696.25,0.041912794473175655,0.029820765692092355,0.7114955246226247,0.4979919678714859,0,0,True,-930.0,0.11799785580273385,5,False,preferred_min_total_trades
4,0.35,2,0.004,1.5,249,249,249,0,0,0,0,0,0,0,249,62.41947107135504,16217.5,1.2369680365296805,0.06904768419511129,7777.5,0.048937023666265546,0.026069354830706715,0.5327123081389494,0.5180722891566265,0,0,True,-1230.0,0.10875597348543241,5,False,preferred_min_total_trades
5,0.35,2,0.004,2.0,249,249,249,0,0,0,0,0,0,0,249,62.41947107135504,16655.0,1.2424132159231498,0.07239061972011522,7965.0,0.049739282480407154,0.026745703961133183,0.5377179289160153,0.5140562248995983,0,0,True,-1230.0,0.14154908435905134,5,False,preferred_min_total_trades
6,0.35,2,0.004,2.5,249,249,249,0,0,0,0,0,0,0,249,62.41947107135504,16380.0,1.2384105960264902,0.0711133122999159,8583.75,0.053407270295073805,0.02632072576617439,0.4928303884612161,0.5140562248995983,0,0,True,-1230.0,0.1382020757020757,5,False,preferred_min_total_trades
7,0.35,2,0.006,1.5,249,249,249,0,0,0,0,0,0,0,249,62.418221593102565,21392.5,1.3248177953234133,0.06317175468880312,5077.5,0.03157452894720478,0.03398504071483299,1.0763435543776056,0.5301204819277109,0,0,True,-1730.0,0.12364146312960149,5,False,preferred_min_total_trades
8,0.35,2,0.006,2.0,249,249,249,0,0,0,0,0,0,0,249,62.418221593102565,20680.0,1.313999392651078,0.06136624153893606,5077.5,0.03136485776940421,0.03290585325271356,1.049131275985334,0.5301204819277109,0,0,True,-1730.0,0.12125241779497099,5,False,preferred_min_total_trades
9,0.35,2,0.006,2.5,249,249,249,0,0,0,0,0,0,0,249,62.418221593102565,20936.25,1.3178902216823565,0.06247270822199482,5077.5,0.031315288367395715,0.033294370118987615,1.0631985798237913,0.5301204819277109,0,0,True,-1730.0,0.12603737536569348,5,False,preferred_min_total_trades
10,0.35,3,0.003,1.5,244,244,244,0,0,0,0,0,0,0,244,61.16609719049419,17892.5,1.2951583635763775,0.10081776084959856,6553.75,0.041316973608517146,0.028651642785028963,0.6934593771679992,0.5122950819672131,0,0,True,-930.0,0.0765683945787341,5,False,preferred_min_total_trades
11,0.35,3,0.003,2.0,244,244,244,0,0,0,0,0,0,0,244,61.16609719049419,18117.5,1.2904143624268654,0.10330318254127435,6380.0,0.04034081029386194,0.0289970429555102,0.7188016984359445,0.5,0,0,True,-930.0,0.09700565751345384,5,False,preferred_min_total_trades
12,0.35,3,0.003,2.5,244,244,244,0,0,0,0,0,0,0,244,61.16609719049419,18967.5,1.3027413112006703,0.11053172924542275,6028.75,0.03781054744153594,0.030298770341833814,0.801331173231038,0.4959016393442623,0,0,True,-930.0,0.11605377619612495,5,False,preferred_min_total_trades
13,0.35,3,0.004,1.5,244,244,244,0,0,0,0,0,0,0,244,61.16606803779369,17042.5,1.2568478957085265,0.07331942493848356,6897.5,0.043487512511131955,0.02734364588541882,0.6287700607943345,0.5163934426229508,0,0,True,-1230.0,0.10349127182044887,5,False,preferred_min_total_trades
14,0.35,3,0.004,2.0,244,244,244,0,0,0,0,0,0,0,244,61.16606803779369,17480.0,1.2623836685679977,0.0767308632406392,7085.0,0.04433250946406783,0.02801749371507123,0.6319852869547082,0.5122950819672131,0,0,True,-1230.0,0.13486842105263158,5,False,preferred_min_total_trades
15,0.35,3,0.004,2.5,244,244,244,0,0,0,0,0,0,0,244,61.16606803779369,17205.0,1.2582557790453317,0.07542738148805876,7703.75,0.04802761802340986,0.027594086426554032,0.5745462207412407,0.5122950819672131,0,0,True,-1230.0,0.13157512351060738,5,False,preferred_min_total_trades
16,0.35,3,0.006,1.5,244,244,244,0,0,0,0,0,0,0,244,61.164843649465965,22280.0,1.3496958995487542,0.06643811186829017,5077.5,0.0314844670428474,0.03532460021598083,1.1219691337924624,0.5286885245901639,0,0,True,-1730.0,0.11871633752244165,5,False,preferred_min_total_trades
17,0.35,3,0.006,2.0,244,244,244,0,0,0,0,0,0,0,244,61.164843649465965,21567.5,1.338512850696488,0.06459560049813896,5077.5,0.031275986325418094,0.03424958992106775,1.0950762532222045,0.5286885245901639,0,0,True,-1730.0,0.11626289556044975,5,False,preferred_min_total_trades
18,0.35,3,0.006,2.5,244,244,244,0,0,0,0,0,0,0,244,61.164843649465965,21823.75,1.3425348244065136,0.06572474067880138,5077.5,0.031226697211737302,0.03463660097477361,1.1091983484489232,0.5286885245901639,0,0,True,-1730.0,0.12091185062145599,5,False,preferred_min_total_trades
19,0.35,4,0.003,1.5,234,234,234,0,0,0,0,0,0,0,234,58.65928992858869,16955.0,1.2890138924401262,0.09950759086015121,5906.25,0.037533064842837735,0.027208730806278503,0.724926965602454,0.5170940170940171,0,0,True,-930.0,0.08080212326747273,5,False,preferred_min_total_trades
20,0.35,4,0.003,2.0,234,234,234,0,0,0,0,0,0,0,234,58.65928992858869,16830.0,1.2785040542776767,0.10002155572152524,6380.0,0.04072968702619021,0.02701588416068379,0.6632971214169139,0.5042735042735043,0,0,True,-930.0,0.10442661913250148,5,False,preferred_min_total_trades
21,0.35,4,0.003,2.5,234,234,234,0,0,0,0,0,0,0,234,58.65928992858869,17680.0,1.2912805304996087,0.10755901467798766,5655.0,0.03580558611465069,0.028325112886316228,0.7910808329074202,0.5,0,0,True,-930.0,0.12450509049773756,5,False,preferred_min_total_trades
22,0.35,4,0.004,1.5,234,234,234,0,0,0,0,0,0,0,234,58.659261970671004,16205.0,1.2534110012119317,0.07279700248032504,6050.0,0.03851080928396948,0.026050010978835525,0.6764337458283202,0.5213675213675214,0,0,True,-1230.0,0.10883986423943227,5,False,preferred_min_total_trades
23,0.35,4,0.004,2.0,234,234,234,0,0,0,0,0,0,0,234,58.659261970671004,16642.5,1.2591684185937866,0.07635422874411125,6237.5,0.03940178768832318,0.02672639817453648,0.6783042024881759,0.5170940170940171,0,0,True,-1230.0,0.1416554003304792,5,False,preferred_min_total_trades
24,0.35,4,0.004,2.5,234,234,234,0,0,0,0,0,0,0,234,58.659261970671004,16367.5,1.2548859300786421,0.07499504264312994,6856.25,0.043150243088880845,0.026301396073273642,0.6095306582421341,0.5170940170940171,0,0,True,-1230.0,0.13830762181151673,5,False,preferred_min_total_trades
25,0.35,4,0.006,1.5,234,234,234,0,0,0,0,0,0,0,234,58.65808776219277,21830.0,1.358338804990151,0.0682135071288425,4005.0,0.02541062265542593,0.03464603486431783,1.3634469069934367,0.5341880341880342,0,0,True,-1730.0,0.1211635364177737,5,False,preferred_min_total_trades
26,0.35,4,0.006,2.0,234,234,234,0,0,0,0,0,0,0,234,58.65808776219277,21117.5,1.3466431385423505,0.06629225595654809,4005.0,0.025345294033888653,0.03356891129571471,1.3244632810663168,0.5341880341880342,0,0,True,-1730.0,0.11874038120042618,5,False,preferred_min_total_trades
