campaign_id,variant_id,run_id,config_path,output_dir,terminal_stage,terminal_status,passed,profitable_combo_rate,profitable_combos,benchmark_passing_combos,apex_rule_violating_combos,top_net_profit,top_profit_factor,top_total_trades,top_trades_per_year,top_expectancy_r,top_mar,top_max_drawdown,top_best_day_concentration,top_failure_reason
es_intraday_periodicity_persistence,afternoon_1330_slot_persistence,rescue1,campaigns/es_intraday_periodicity_persistence/rescue_attempts/parameter_space_rescue_1/afternoon_1330_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/afternoon_1330_slot_persistence/ES/rescue1,limited_core_grid_test,failed,False,0.0,0,0,0,-1923.125,0.24657198824681684,69,66.49584896118674,-0.4456521739130434,-0.9639331593088574,1923.125,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
es_intraday_periodicity_persistence,afternoon_1330_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/afternoon_1330_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/afternoon_1330_slot_persistence/ES/run1,limited_core_grid_test,failed,False,0.0,0,0,0,-4461.25,0.3977387782652717,136,112.63839154958853,-0.27108134920634924,-0.8207728309025742,4515.0,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,late_afternoon_1430_slot_persistence,rescue1,campaigns/es_intraday_periodicity_persistence/rescue_attempts/parameter_space_rescue_1/late_afternoon_1430_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/late_afternoon_1430_slot_persistence/ES/rescue1,limited_core_grid_test,failed,False,0.0,0,0,0,-2686.25,0.5522916666666666,166,127.3880659078673,-0.11370481927710843,-0.6567998923660529,3155.0,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,late_afternoon_1430_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/late_afternoon_1430_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/late_afternoon_1430_slot_persistence/ES/run1,limited_core_grid_test,failed,False,0.0,0,0,0,-5175.0,0.3909973521624007,175,132.06921785545177,-0.3508571428571428,-0.7420133951657766,5290.0,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_win_rate;min_positive_month_rate
es_intraday_periodicity_persistence,late_morning_1130_slot_persistence,rescue1,campaigns/es_intraday_periodicity_persistence/rescue_attempts/parameter_space_rescue_1/late_morning_1130_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/late_morning_1130_slot_persistence/ES/rescue1,limited_core_grid_test,failed,False,0.0,0,0,0,-4667.5,0.37348993288590604,161,120.75947092587971,-0.23768855368234248,-0.7530140454330474,4667.5,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,late_morning_1130_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/late_morning_1130_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/late_morning_1130_slot_persistence/ES/run1,limited_core_grid_test,failed,False,0.0,0,0,0,-5796.875,0.5192307692307693,195,146.25625668449197,-0.15181775489467794,-0.7537144565946243,5796.875,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,morning_1000_slot_persistence,rescue1,campaigns/es_intraday_periodicity_persistence/rescue_attempts/parameter_space_rescue_1/morning_1000_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1000_slot_persistence/ES/rescue1,limited_core_grid_test,failed,False,0.0,0,0,0,-5037.5,0.18321848398865018,135,111.05574324324324,-0.46938271604938264,-0.8218550956091276,5057.5,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,morning_1000_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/morning_1000_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1000_slot_persistence/ES/run1,limited_core_grid_test,failed,False,0.0,0,0,0,-8227.5,0.27045001108401684,213,162.77132433386657,-0.47660406885758994,-0.7585244724532534,8343.75,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_win_rate;max_consecutive_losses;min_positive_month_rate
es_intraday_periodicity_persistence,morning_1030_slot_persistence,rescue1,campaigns/es_intraday_periodicity_persistence/rescue_attempts/parameter_space_rescue_1/morning_1030_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1030_slot_persistence/ES/rescue1,limited_core_grid_test,failed,False,0.0,0,0,0,-5408.75,0.3779470960322024,178,154.79514884962921,-0.2556179775280899,-0.8657307619249139,5447.5,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
es_intraday_periodicity_persistence,morning_1030_slot_persistence,run1,campaigns/es_intraday_periodicity_persistence/variants/morning_1030_slot_persistence/config.yaml,backtest-campaigns/es_intraday_periodicity_persistence/morning_1030_slot_persistence/ES/run1,limited_core_grid_test,failed,False,0.0,0,0,0,-4891.25,0.7097611630321911,237,178.12337634500793,-0.0918620760392912,-0.7443610800218388,4961.25,0.0,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;min_positive_month_rate
