campaign_id,variant_id,run_id,equity_curve_csv,exists
es_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,rescue1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/afternoon_15m_two_sided_dislocation_fade_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,afternoon_15m_two_sided_dislocation_fade_1530,run1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/afternoon_15m_two_sided_dislocation_fade_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,rescue1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/full_session_15m_two_sided_dislocation_fade_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,full_session_15m_two_sided_dislocation_fade_1530,run1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/full_session_15m_two_sided_dislocation_fade_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,rescue1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/lunch_15m_two_sided_dislocation_fade_1330/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,lunch_15m_two_sided_dislocation_fade_1330,run1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/lunch_15m_two_sided_dislocation_fade_1330/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,midday_15m_two_sided_dislocation_fade_1400,rescue1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/midday_15m_two_sided_dislocation_fade_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,midday_15m_two_sided_dislocation_fade_1400,run1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/midday_15m_two_sided_dislocation_fade_1400/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,rescue1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/morning_15m_two_sided_dislocation_fade_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_intraday_invariance_dislocation_reversion,morning_15m_two_sided_dislocation_fade_1130,run1,backtest-campaigns/es_intraday_invariance_dislocation_reversion/morning_15m_two_sided_dislocation_fade_1130/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
