campaign_id,variant_id,run_id,stage,purpose,path,rows
es_key_reversal_orderflow_reversal,afternoon_large20_two_sided_key_reversal_1530,rescue1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/afternoon_large20_two_sided_key_reversal_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,336
es_key_reversal_orderflow_reversal,afternoon_large20_two_sided_key_reversal_1530,run1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/afternoon_large20_two_sided_key_reversal_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,363
es_key_reversal_orderflow_reversal,late_morning_large10_down_sweep_reclaim_long_1230,rescue1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_down_sweep_reclaim_long_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,300
es_key_reversal_orderflow_reversal,late_morning_large10_down_sweep_reclaim_long_1230,run1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_down_sweep_reclaim_long_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,353
es_key_reversal_orderflow_reversal,late_morning_large10_up_sweep_reject_short_1230,rescue1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_up_sweep_reject_short_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,281
es_key_reversal_orderflow_reversal,late_morning_large10_up_sweep_reject_short_1230,run1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_up_sweep_reject_short_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,354
es_key_reversal_orderflow_reversal,midday_signed_two_sided_key_reversal_1400,rescue1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/midday_signed_two_sided_key_reversal_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,340
es_key_reversal_orderflow_reversal,midday_signed_two_sided_key_reversal_1400,run1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/midday_signed_two_sided_key_reversal_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,365
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,rescue1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,343
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,run1,limited_core_grid_test,fixed_config_mechanics_cross_check,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,367
