campaign_id,variant_id,run_id,stage,purpose,path,rows
es_key_reversal_orderflow_reversal,afternoon_large20_two_sided_key_reversal_1530,rescue1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/afternoon_large20_two_sided_key_reversal_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,337
es_key_reversal_orderflow_reversal,afternoon_large20_two_sided_key_reversal_1530,run1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/afternoon_large20_two_sided_key_reversal_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,364
es_key_reversal_orderflow_reversal,late_morning_large10_down_sweep_reclaim_long_1230,rescue1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_down_sweep_reclaim_long_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,301
es_key_reversal_orderflow_reversal,late_morning_large10_down_sweep_reclaim_long_1230,run1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_down_sweep_reclaim_long_1230/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,354
es_key_reversal_orderflow_reversal,late_morning_large10_up_sweep_reject_short_1230,rescue1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_up_sweep_reject_short_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,282
es_key_reversal_orderflow_reversal,late_morning_large10_up_sweep_reject_short_1230,run1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/late_morning_large10_up_sweep_reject_short_1230/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,355
es_key_reversal_orderflow_reversal,midday_signed_two_sided_key_reversal_1400,rescue1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/midday_signed_two_sided_key_reversal_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,341
es_key_reversal_orderflow_reversal,midday_signed_two_sided_key_reversal_1400,run1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/midday_signed_two_sided_key_reversal_1400/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,366
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,rescue1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,344
es_key_reversal_orderflow_reversal,morning_signed_two_sided_key_reversal_1130,run1,limited_core_grid_test,fixed_config_core_equity_curve,backtest-campaigns/es_key_reversal_orderflow_reversal/morning_signed_two_sided_key_reversal_1130/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,368
