variant_id,wfa_oos_trade_log,status,reason
high_21d_emv_riskoff_short_1000,,skipped,halted at limited_core_grid_test
high_21d_emv_rebound_long_1330,,skipped,halted at limited_core_grid_test
rising_5d_emv_short_1030,,skipped,halted at limited_monkey_test
high_7d_emv_short_1130,,skipped,halted at limited_core_grid_test
high_1d_emv_rebound_long_1200,,skipped,halted at limited_core_grid_test
