campaign_id,variant_id,run_id,stage,trade_log
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,rescue1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/afternoon_5m_large20_24bar_reversion_1500/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,afternoon_5m_large20_24bar_reversion_1500,run1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/afternoon_5m_large20_24bar_reversion_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,rescue1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/all_day_1m_signed_30bar_reversion_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,all_day_1m_signed_30bar_reversion_1530,run1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/all_day_1m_signed_30bar_reversion_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,rescue1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/late_morning_5m_large10_12bar_reversion_1230/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,late_morning_5m_large10_12bar_reversion_1230,run1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/late_morning_5m_large10_12bar_reversion_1230/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,rescue1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/midday_5m_signed_18bar_reversion_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,run1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/midday_5m_signed_18bar_reversion_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,rescue1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/morning_5m_signed_6bar_reversion_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,run1,limited_core_grid_test,backtest-campaigns/es_rolling_stat_envelope_orderflow_reversion/morning_5m_signed_6bar_reversion_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
