variant_id,run_id,kind,path,exists
front_premium_reversion_short_1000,run1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/front_premium_reversion_short_1000/ES/run1/limited_core_grid_test/core_trade_log.csv,False
front_premium_reversion_short_1000,rescue1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/front_premium_reversion_short_1000/ES/rescue1/limited_core_grid_test/core_trade_log.csv,False
front_discount_reversion_long_1000,run1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/front_discount_reversion_long_1000/ES/run1/limited_core_grid_test/core_trade_log.csv,False
front_discount_reversion_long_1000,rescue1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/front_discount_reversion_long_1000/ES/rescue1/limited_core_grid_test/core_trade_log.csv,False
late_morning_two_sided_spread_feedback_1130,run1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/late_morning_two_sided_spread_feedback_1130/ES/run1/limited_core_grid_test/core_trade_log.csv,False
late_morning_two_sided_spread_feedback_1130,rescue1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/late_morning_two_sided_spread_feedback_1130/ES/rescue1/limited_core_grid_test/core_trade_log.csv,False
afternoon_confirmed_spread_feedback_1400,run1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/afternoon_confirmed_spread_feedback_1400/ES/run1/limited_core_grid_test/core_trade_log.csv,False
afternoon_confirmed_spread_feedback_1400,rescue1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/afternoon_confirmed_spread_feedback_1400/ES/rescue1/limited_core_grid_test/core_trade_log.csv,False
late_day_two_sided_spread_feedback_1530,run1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/late_day_two_sided_spread_feedback_1530/ES/run1/limited_core_grid_test/core_trade_log.csv,False
late_day_two_sided_spread_feedback_1530,rescue1,trade_log,backtest-campaigns/es_term_structure_lead_lag_feedback/late_day_two_sided_spread_feedback_1530/ES/rescue1/limited_core_grid_test/core_trade_log.csv,False
