campaign_id,variant_id,test_run_id,stage,path,exists
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,rescue1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/afternoon_high_vr_signed_continuation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,afternoon_high_vr_signed_continuation_1530,run1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/afternoon_high_vr_signed_continuation_1530/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,rescue1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/midday_high_vr_large10_continuation_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,midday_high_vr_large10_continuation_1400,run1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/midday_high_vr_large10_continuation_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,midday_low_vr_large10_reversion_1430,rescue1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/midday_low_vr_large10_reversion_1430/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,midday_low_vr_large10_reversion_1430,run1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/midday_low_vr_large10_reversion_1430/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,morning_high_vr_signed_continuation_1130,rescue1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/morning_high_vr_signed_continuation_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,morning_high_vr_signed_continuation_1130,run1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/morning_high_vr_signed_continuation_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,morning_low_vr_signed_reversion_1130,rescue1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/morning_low_vr_signed_reversion_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_variance_ratio_orderflow_regime,morning_low_vr_signed_reversion_1130,run1,limited_core_grid_test,backtest-campaigns/es_variance_ratio_orderflow_regime/morning_low_vr_signed_reversion_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
