campaign_id,variant_id,run_id,trade_log_type,trade_log_csv,metrics_json,exists
es_nq_relative_value_orderflow_absorption_reversion,late_morning30_two_sided_absorption_1130,rescue1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/late_morning30_two_sided_absorption_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/late_morning30_two_sided_absorption_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,late_morning30_two_sided_absorption_1130,run1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/late_morning30_two_sided_absorption_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/late_morning30_two_sided_absorption_1130/ES/run1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,midday60_two_sided_absorption_1400,rescue1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/rescue1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,midday60_two_sided_absorption_1400,rescue1,wfa_stitched_oos,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/rescue1/walk_forward_analysis/wfa_oos_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/rescue1/walk_forward_analysis/wfa_summary.json,True
es_nq_relative_value_orderflow_absorption_reversion,midday60_two_sided_absorption_1400,run1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/midday60_two_sided_absorption_1400/ES/run1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning15_two_sided_absorption_1000,rescue1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning15_two_sided_absorption_1000/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning15_two_sided_absorption_1000/ES/rescue1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning15_two_sided_absorption_1000,run1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning15_two_sided_absorption_1000/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning15_two_sided_absorption_1000/ES/run1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning30_outperform_absorption_short_1030,rescue1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning30_outperform_absorption_short_1030,rescue1,wfa_stitched_oos,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/rescue1/walk_forward_analysis/wfa_oos_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/rescue1/walk_forward_analysis/wfa_summary.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning30_outperform_absorption_short_1030,run1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_outperform_absorption_short_1030/ES/run1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning30_underperform_absorption_long_1030,rescue1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_underperform_absorption_long_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_underperform_absorption_long_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_metrics.json,True
es_nq_relative_value_orderflow_absorption_reversion,morning30_underperform_absorption_long_1030,run1,fixed_config_core,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_underperform_absorption_long_1030/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,backtest-campaigns/es_nq_relative_value_orderflow_absorption_reversion/morning30_underperform_absorption_long_1030/ES/run1/limited_core_grid_test/fixed_config_core_metrics.json,True
