campaign_id,variant_id,run_id,stage,path,exists
es_opening_range_failed_breakout_orderflow,or15_large10_failed_reclaim_1030,rescue1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or15_large10_failed_reclaim_1030/ES/rescue1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or15_large10_failed_reclaim_1030,run1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or15_large10_failed_reclaim_1030/ES/run1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or15_signed_failed_reclaim_1030,rescue1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or15_signed_failed_reclaim_1030/ES/rescue1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or15_signed_failed_reclaim_1030,run1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or15_signed_failed_reclaim_1030/ES/run1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,rescue1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or30_large20_failed_reclaim_1130/ES/rescue1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,run1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or30_large20_failed_reclaim_1130/ES/run1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,rescue1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or30_signed_failed_reclaim_1100/ES/rescue1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,run1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or30_signed_failed_reclaim_1100/ES/run1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,rescue1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or60_signed_failed_reclaim_1200/ES/rescue1/walk_forward_analysis/equity_curve.csv,False
es_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,run1,walk_forward_analysis,backtest-campaigns/es_opening_range_failed_breakout_orderflow/or60_signed_failed_reclaim_1200/ES/run1/walk_forward_analysis/equity_curve.csv,False
