campaign_id,variant_id,run_id,status,reason
es_opening_range_failed_breakout_orderflow,or15_large10_failed_reclaim_1030,rescue1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or15_large10_failed_reclaim_1030,run1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or15_signed_failed_reclaim_1030,rescue1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or15_signed_failed_reclaim_1030,run1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,rescue1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or30_large20_failed_reclaim_1130,run1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,rescue1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or30_signed_failed_reclaim_1100,run1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,rescue1,not_reached,limited_core_grid_test failed
es_opening_range_failed_breakout_orderflow,or60_signed_failed_reclaim_1200,run1,not_reached,limited_core_grid_test failed
