trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,volatility_feature_csv,volatility_feature_session_date,volatility_gate_column,volatility_gate_value,volatility_gate_max,volatility_filter_result,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,volatility_filtered_trend_mes_participation_crowding,2025-06-23,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6825396825396826,0.3838951685505651,-3.0,85.0,2025-06-23 09:45:00-04:00,2025-06-23 10:15:00-04:00,0.55,3.0,4.0,2025-06-23 10:30:00-04:00,2025-06-23 10:30:00-04:00,2025-06-23 10:30:00-04:00,2025-06-23 10:30:00-04:00,0.003,2.5,12:00:00,6050.75,2025-06-23 10:29:00-04:00,6053.0,6050.75,2025-06-23 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-06-23,range10_rank_252,0.21031746031746032,0.95,passed,2025-06-23 10:30:00-04:00,6051.25,6039.0,6081.875,12.25,1,2.0,12.75,fixed_contracts,2025-06-23 11:29:00-04:00,6038.75,stop,-625.0,-630.0,-1.0204081632653061,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,volatility_filtered_trend_mes_participation_crowding,2025-06-24,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.746031746031746,0.4027032929699823,21.0,-36.0,2025-06-24 09:45:00-04:00,2025-06-24 10:15:00-04:00,0.55,3.0,4.0,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,2025-06-24 10:30:00-04:00,0.003,2.5,12:00:00,6121.75,2025-06-24 10:29:00-04:00,6122.75,6120.5,2025-06-24 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-06-24,range10_rank_252,0.373015873015873,0.95,passed,2025-06-24 10:30:00-04:00,6121.75,6134.0,6091.125,12.25,1,0.5,12.75,fixed_contracts,2025-06-24 11:23:00-04:00,6134.25,stop,-625.0,-630.0,-1.0204081632653061,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,volatility_filtered_trend_mes_participation_crowding,2025-06-25,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.7103174603174603,0.390563098152682,10.0,-34.0,2025-06-25 09:45:00-04:00,2025-06-25 10:15:00-04:00,0.55,3.0,4.0,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,2025-06-25 10:30:00-04:00,0.003,2.5,12:00:00,6152.25,2025-06-25 10:29:00-04:00,6152.5,6151.0,2025-06-25 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-06-25,range10_rank_252,0.4126984126984127,0.95,passed,2025-06-25 10:30:00-04:00,6152.0,6164.5,6120.75,12.5,1,12.0,7.5,fixed_contracts,2025-06-25 12:00:00-04:00,6145.0,eod_flatten,350.0,345.0,0.56,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,volatility_filtered_trend_mes_participation_crowding,2025-06-27,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5753968253968254,0.3707446919125751,-7.0,59.0,2025-06-27 09:45:00-04:00,2025-06-27 10:15:00-04:00,0.55,3.0,4.0,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,2025-06-27 10:30:00-04:00,0.003,2.5,12:00:00,6224.0,2025-06-27 10:29:00-04:00,6224.25,6222.75,2025-06-27 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-06-27,range10_rank_252,0.32142857142857145,0.95,passed,2025-06-27 10:30:00-04:00,6224.25,6211.75,6255.5,12.5,1,11.75,3.5,fixed_contracts,2025-06-27 12:00:00-04:00,6233.75,eod_flatten,475.0,470.0,0.76,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,volatility_filtered_trend_mes_participation_crowding,2025-07-07,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6984126984126984,0.3886248156039993,12.0,-27.0,2025-07-07 09:45:00-04:00,2025-07-07 10:15:00-04:00,0.55,3.0,4.0,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,2025-07-07 10:30:00-04:00,0.003,2.5,12:00:00,6299.0,2025-07-07 10:29:00-04:00,6299.5,6297.5,2025-07-07 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-07-07,range10_rank_252,0.18253968253968253,0.95,passed,2025-07-07 10:30:00-04:00,6298.75,6311.5,6266.875,12.75,1,19.0,0.75,fixed_contracts,2025-07-07 12:00:00-04:00,6286.0,eod_flatten,637.5,632.5,1.0,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,volatility_filtered_trend_mes_participation_crowding,2025-07-14,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6865079365079365,0.3866284586480434,-10.0,40.0,2025-07-14 09:45:00-04:00,2025-07-14 10:15:00-04:00,0.55,3.0,4.0,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,2025-07-14 10:30:00-04:00,0.003,2.5,12:00:00,6289.25,2025-07-14 10:29:00-04:00,6289.75,6288.25,2025-07-14 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-07-14,range10_rank_252,0.04365079365079365,0.95,passed,2025-07-14 10:30:00-04:00,6289.5,6276.75,6321.375,12.75,1,17.5,3.75,fixed_contracts,2025-07-14 12:00:00-04:00,6301.75,eod_flatten,612.5,607.5,0.9607843137254902,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,volatility_filtered_trend_mes_participation_crowding,2025-07-17,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5912698412698413,0.3780756402995406,-30.0,24.0,2025-07-17 09:45:00-04:00,2025-07-17 10:15:00-04:00,0.55,3.0,4.0,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,2025-07-17 10:30:00-04:00,0.003,2.5,12:00:00,6315.0,2025-07-17 10:29:00-04:00,6315.5,6311.75,2025-07-17 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-07-17,range10_rank_252,0.06349206349206349,0.95,passed,2025-07-17 10:30:00-04:00,6315.25,6302.5,6347.125,12.75,1,18.5,4.75,fixed_contracts,2025-07-17 12:00:00-04:00,6333.0,eod_flatten,887.5,882.5,1.392156862745098,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,volatility_filtered_trend_mes_participation_crowding,2025-07-30,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5674603174603174,0.3730540961276513,27.0,-13.0,2025-07-30 09:45:00-04:00,2025-07-30 10:15:00-04:00,0.55,3.0,4.0,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,2025-07-30 10:30:00-04:00,0.003,2.5,12:00:00,6416.0,2025-07-30 10:29:00-04:00,6416.25,6415.0,2025-07-30 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-07-30,range10_rank_252,0.03571428571428571,0.95,passed,2025-07-30 10:30:00-04:00,6415.5,6428.5,6383.0,13.0,1,13.25,5.5,fixed_contracts,2025-07-30 12:00:00-04:00,6414.25,eod_flatten,62.5,57.5,0.09615384615384616,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,volatility_filtered_trend_mes_participation_crowding,2025-08-01,short,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.5873015873015873,0.3777271112653135,58.0,-16.0,2025-08-01 09:45:00-04:00,2025-08-01 10:15:00-04:00,0.55,3.0,4.0,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,2025-08-01 10:30:00-04:00,0.003,2.5,12:00:00,6281.0,2025-08-01 10:29:00-04:00,6281.5,6278.25,2025-08-01 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-08-01,range10_rank_252,0.07539682539682539,0.95,passed,2025-08-01 10:30:00-04:00,6280.75,6293.5,6248.875,12.75,1,20.25,7.25,fixed_contracts,2025-08-01 12:00:00-04:00,6287.5,eod_flatten,-337.5,-342.5,-0.5294117647058824,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,volatility_filtered_trend_mes_participation_crowding,2025-08-06,long,trend_filtered_mes_participation_exclude_extreme_range10_trade_morning_1030_volatility_filtered,exclude_extreme_range10_trade_morning_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,trade,15,30,252,both,0.6507936507936508,0.3833434946957688,-28.0,16.0,2025-08-06 09:45:00-04:00,2025-08-06 10:15:00-04:00,0.55,3.0,4.0,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,2025-08-06 10:30:00-04:00,0.003,2.5,12:00:00,6332.25,2025-08-06 10:29:00-04:00,6334.0,6328.75,2025-08-06 10:30:00-04:00,data/external/es_lagged_volatility_features_20110103_20260609.csv,2025-08-06,range10_rank_252,0.20634920634920634,0.95,passed,2025-08-06 10:30:00-04:00,6332.75,6320.0,6364.625,12.75,1,32.75,4.5,fixed_contracts,2025-08-06 11:28:00-04:00,6364.375,target,1581.25,1576.25,2.480392156862745,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
