campaign_id,variant_id,run_id,equity_curve_type,path,exists
es_opening_range_failed_breakout_trend_orderflow,or15_full_session_large10_trend_reclaim_1530,run1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or15_full_session_large10_trend_reclaim_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or15_full_session_large10_trend_reclaim_1530,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or15_full_session_large10_trend_reclaim_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or15_full_session_signed_trend_reclaim_1530,run1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or15_full_session_signed_trend_reclaim_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or15_full_session_signed_trend_reclaim_1530,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or15_full_session_signed_trend_reclaim_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or30_full_session_large10_trend_reclaim_1530,run1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or30_full_session_large10_trend_reclaim_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or30_full_session_large10_trend_reclaim_1530,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or30_full_session_large10_trend_reclaim_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or30_full_session_signed_trend_reclaim_1530,run1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or30_full_session_signed_trend_reclaim_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or30_full_session_signed_trend_reclaim_1530,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or30_full_session_signed_trend_reclaim_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or60_full_session_signed_trend_reclaim_1530,run1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or60_full_session_signed_trend_reclaim_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_opening_range_failed_breakout_trend_orderflow,or60_full_session_signed_trend_reclaim_1530,rescue1,fixed_config_core,backtest-campaigns/es_opening_range_failed_breakout_trend_orderflow/or60_full_session_signed_trend_reclaim_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
