campaign_id,variant_id,run_id,fixed_config_core_trade_log
es_pivot_filtered_opening_range_orderflow_breakout,or15_large10_pivot_flow_breakout_1030,rescue1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or15_large10_pivot_flow_breakout_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or15_large10_pivot_flow_breakout_1030,run1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or15_large10_pivot_flow_breakout_1030/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or15_signed_pivot_flow_breakout_1030,rescue1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or15_signed_pivot_flow_breakout_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or15_signed_pivot_flow_breakout_1030,run1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or15_signed_pivot_flow_breakout_1030/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or30_large20_pivot_flow_breakout_1100,rescue1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or30_large20_pivot_flow_breakout_1100/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or30_large20_pivot_flow_breakout_1100,run1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or30_large20_pivot_flow_breakout_1100/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or30_signed_pivot_flow_breakout_1100,rescue1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or30_signed_pivot_flow_breakout_1100/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or30_signed_pivot_flow_breakout_1100,run1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or30_signed_pivot_flow_breakout_1100/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or60_signed_pivot_flow_breakout_1200,rescue1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or60_signed_pivot_flow_breakout_1200/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_pivot_filtered_opening_range_orderflow_breakout,or60_signed_pivot_flow_breakout_1200,run1,backtest-campaigns/es_pivot_filtered_opening_range_orderflow_breakout/or60_signed_pivot_flow_breakout_1200/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
