previous_rth_available,overnight_available,events,neutral_side_events,aoi_eligible_events,taps,delta_bubbles,big_trade_bubbles,orders_armed,fill_gate_rejections,target_guard_exits,news_resets,news_flatten_trades,aoi_anchor_invalidations,wrong_approach_rejections,midpoint_distance_rejections,stop_limit_rejections,session_date,contract_symbol,source_events,trades,input_was_canonically_sorted,canonical_event_order
False,True,91746,0,49,104,3567,0,42,1,0,0,0,12,7137,1,0,2025-07-14,ESU5,91746,2,True,utc_timestamp_ns_then_source_ordinal
True,True,109391,0,26,64,1215,0,11,0,0,0,0,4,8409,0,0,2025-07-15,ESU5,109391,2,True,utc_timestamp_ns_then_source_ordinal
True,True,121402,0,19,90,1134,0,1,1,0,0,0,10,6084,1,0,2025-07-16,ESU5,121402,0,True,utc_timestamp_ns_then_source_ordinal
True,True,80489,0,45,51,1276,376,2,1,0,0,0,6,7690,1,0,2025-07-17,ESU5,80489,0,True,utc_timestamp_ns_then_source_ordinal
True,True,86108,0,16,64,4720,106,46,2,0,0,0,6,4196,2,0,2025-07-18,ESU5,86108,0,True,utc_timestamp_ns_then_source_ordinal
True,True,65141,0,18,40,2207,0,6,1,0,0,0,4,7999,1,0,2025-07-21,ESU5,65141,0,True,utc_timestamp_ns_then_source_ordinal
True,True,118978,0,27,73,5766,5066,23,0,0,0,0,12,9953,0,0,2025-07-22,ESU5,118978,0,True,utc_timestamp_ns_then_source_ordinal
True,True,81205,0,14,46,831,0,10,0,0,0,0,5,8090,0,0,2025-07-23,ESU5,81205,0,True,utc_timestamp_ns_then_source_ordinal
True,True,82945,0,24,59,1652,0,12,0,0,0,0,7,6704,0,0,2025-07-24,ESU5,82945,1,True,utc_timestamp_ns_then_source_ordinal
True,True,65439,0,47,67,764,0,19,2,0,0,0,4,7974,2,0,2025-07-25,ESU5,65439,0,True,utc_timestamp_ns_then_source_ordinal
True,True,75674,0,16,106,6851,0,66,6,0,0,0,12,11514,6,0,2025-07-28,ESU5,75674,0,True,utc_timestamp_ns_then_source_ordinal
