timestamp_utc,timestamp_epoch,ib_timestamp,symbol,expiry,exchange,open,high,low,close,volume,wap,bar_count
2026-06-02T22:00:00Z,1780437600,1780437600,ES,202606,CME,7628.0,7628.5,7624.5,7625.25,794,,345
2026-06-02T22:01:00Z,1780437660,1780437660,ES,202606,CME,7625.25,7625.5,7623.0,7623.5,371,,146
2026-06-02T22:02:00Z,1780437720,1780437720,ES,202606,CME,7623.5,7624.0,7623.0,7623.75,160,,80
2026-06-02T22:03:00Z,1780437780,1780437780,ES,202606,CME,7624.0,7624.0,7623.5,7623.75,79,,37
2026-06-02T22:04:00Z,1780437840,1780437840,ES,202606,CME,7624.25,7625.5,7623.0,7623.0,444,,144
2026-06-02T22:05:00Z,1780437900,1780437900,ES,202606,CME,7623.25,7624.5,7623.25,7623.75,150,,59
2026-06-02T22:06:00Z,1780437960,1780437960,ES,202606,CME,7624.0,7626.0,7623.75,7625.25,195,,72
2026-06-02T22:07:00Z,1780438020,1780438020,ES,202606,CME,7625.5,7626.5,7625.0,7626.25,175,,59
2026-06-02T22:08:00Z,1780438080,1780438080,ES,202606,CME,7626.25,7626.25,7625.25,7625.25,69,,40
2026-06-02T22:09:00Z,1780438140,1780438140,ES,202606,CME,7625.5,7625.75,7624.5,7624.75,73,,38
2026-06-02T22:10:00Z,1780438200,1780438200,ES,202606,CME,7624.75,7625.0,7623.5,7624.25,292,,93
2026-06-02T22:11:00Z,1780438260,1780438260,ES,202606,CME,7624.5,7625.75,7624.25,7625.75,147,,60
2026-06-02T22:12:00Z,1780438320,1780438320,ES,202606,CME,7625.5,7626.5,7623.5,7623.75,200,,81
2026-06-02T22:13:00Z,1780438380,1780438380,ES,202606,CME,7624.0,7624.25,7622.25,7623.25,415,,121
2026-06-02T22:14:00Z,1780438440,1780438440,ES,202606,CME,7623.25,7623.5,7623.25,7623.5,60,,21
2026-06-02T22:15:00Z,1780438500,1780438500,ES,202606,CME,7623.5,7624.25,7623.0,7623.5,115,,39
2026-06-02T22:16:00Z,1780438560,1780438560,ES,202606,CME,7623.5,7623.5,7622.5,7623.0,87,,48
2026-06-02T22:17:00Z,1780438620,1780438620,ES,202606,CME,7623.0,7624.25,7623.0,7624.0,114,,51
2026-06-02T22:18:00Z,1780438680,1780438680,ES,202606,CME,7624.0,7624.0,7623.25,7623.25,54,,33
2026-06-02T22:19:00Z,1780438740,1780438740,ES,202606,CME,7623.25,7624.25,7623.0,7624.25,117,,44
2026-06-02T22:20:00Z,1780438800,1780438800,ES,202606,CME,7624.0,7625.0,7624.0,7624.75,146,,83
2026-06-02T22:21:00Z,1780438860,1780438860,ES,202606,CME,7624.75,7625.75,7624.75,7625.5,111,,50
2026-06-02T22:22:00Z,1780438920,1780438920,ES,202606,CME,7625.5,7625.75,7624.75,7625.0,214,,73
2026-06-02T22:23:00Z,1780438980,1780438980,ES,202606,CME,7625.0,7625.5,7625.0,7625.0,54,,33
2026-06-02T22:24:00Z,1780439040,1780439040,ES,202606,CME,7625.0,7625.5,7625.0,7625.0,32,,24
2026-06-02T22:25:00Z,1780439100,1780439100,ES,202606,CME,7625.0,7625.25,7623.75,7623.75,81,,44
2026-06-02T22:26:00Z,1780439160,1780439160,ES,202606,CME,7624.0,7625.5,7624.0,7625.25,112,,48
2026-06-02T22:27:00Z,1780439220,1780439220,ES,202606,CME,7625.25,7625.75,7625.0,7625.25,49,,35
2026-06-02T22:28:00Z,1780439280,1780439280,ES,202606,CME,7625.0,7625.75,7624.75,7625.25,116,,55
2026-06-02T22:29:00Z,1780439340,1780439340,ES,202606,CME,7625.25,7625.25,7625.0,7625.0,89,,42
2026-06-02T22:30:00Z,1780439400,1780439400,ES,202606,CME,7625.0,7626.0,7625.0,7625.25,186,,84
2026-06-02T22:31:00Z,1780439460,1780439460,ES,202606,CME,7625.5,7626.25,7625.5,7625.75,85,,52
2026-06-02T22:32:00Z,1780439520,1780439520,ES,202606,CME,7626.0,7627.0,7625.75,7626.5,204,,81
2026-06-02T22:33:00Z,1780439580,1780439580,ES,202606,CME,7626.5,7626.5,7625.75,7626.0,66,,34
2026-06-02T22:34:00Z,1780439640,1780439640,ES,202606,CME,7626.0,7626.25,7625.5,7625.75,71,,37
2026-06-02T22:35:00Z,1780439700,1780439700,ES,202606,CME,7625.5,7626.0,7625.25,7625.5,97,,46
2026-06-02T22:36:00Z,1780439760,1780439760,ES,202606,CME,7625.5,7626.0,7625.5,7625.75,27,,15
