window_id,train_start,train_end,test_start,test_end,objective,train_objective,selected_params,train_mar,train_cagr,train_max_drawdown_pct,train_net_profit,train_profit_factor,train_max_drawdown,test_mar,test_cagr,test_max_drawdown_pct,test_net_profit,test_profit_factor,test_max_drawdown,test_trades,test_passed
1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.4162136254432672,"{'entry.params.rank_threshold': 0.75, 'entry.params.min_orderflow_imbalance': 0.01, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 1.0}",0.4162136254432672,0.00864711582241906,0.020775667334796858,5245.0,1.1749937442655767,3265.0,0.07882997906971566,0.0018673395554882344,0.02368819042609153,270.0,1.0253938396426052,3602.5,61,False
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,0.2831009193573066,"{'entry.params.rank_threshold': 0.75, 'entry.params.min_orderflow_imbalance': 0.01, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 1.0}",0.2831009193573066,0.006548339028441985,0.023130758611833446,3935.0,1.1193961920655389,3602.5,1.3947553592728432,0.015184781161908356,0.010887057046208414,2120.0,1.2661644695543,1657.5,61,False
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,0.16434585770933063,"{'entry.params.rank_threshold': 0.7, 'entry.params.min_orderflow_imbalance': 0.02, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",0.16434585770933063,0.0055921806330754276,0.03402690345238884,3367.5,1.0926218799422402,5135.0,-0.8513896207286016,-0.020715969858724148,0.02433195020746888,-3040.0,0.6115015974440895,3665.0,48,False
4,2014-01-03,2018-01-03,2018-01-03,2019-01-03,MAR,0.2206212903919004,"{'entry.params.rank_threshold': 0.65, 'entry.params.min_orderflow_imbalance': 0.02, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 2.0}",0.2206212903919004,0.0059785548631337004,0.027098721308871417,3602.5,1.08703267500151,4265.0,0.7376064602192987,0.020093884576924737,0.027242012727153448,2937.5,1.1312702491341748,4152.5,90,False
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,0.5293455029920124,"{'entry.params.rank_threshold': 0.7, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 2.0}",0.5293455029920124,0.02966232667265012,0.05603585277477592,18485.0,1.2563533613008355,8815.0,-0.08024883780399956,-0.003067836848001604,0.03822905018879544,-437.5,0.9744897959183674,5897.5,80,False
6,2016-01-03,2020-01-03,2020-01-03,2021-01-03,MAR,0.4962309740057874,"{'entry.params.rank_threshold': 0.7, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 2.0}",0.4962309740057874,0.027942610979980298,0.05630968731035804,17282.5,1.2390139335476955,8815.0,1.5513279041288688,0.0996297090670979,0.06422221169485369,14730.0,1.3980274268729311,10167.5,94,True
7,2017-01-03,2021-01-03,2021-01-03,2022-01-03,MAR,0.7854441975978772,"{'entry.params.rank_threshold': 0.7, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",0.7854441975978772,0.044814900719083006,0.05705675954592363,28606.25,1.321689626089401,8638.75,0.20418167276138105,0.00925467442618566,0.04532568619418271,1277.5,1.0484268385140258,6915.0,62,False
8,2018-01-03,2022-01-03,2022-01-03,2023-01-03,MAR,1.781586643331343,"{'entry.params.rank_threshold': 0.75, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.004, 'tp.params.target_r_multiple': 1.0}",1.781586643331343,0.03396380235760588,0.019063794895822658,21350.0,1.3171420083184788,3255.0,-0.8217882644656029,-0.08954767242426143,0.10896684255097387,-13217.5,0.7476492768841583,16727.5,111,False
9,2019-01-03,2023-01-03,2023-01-03,2024-01-03,MAR,0.725952876102772,"{'entry.params.rank_threshold': 0.65, 'entry.params.min_orderflow_imbalance': 0.02, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",0.725952876102772,0.03454612776025545,0.047587286857673126,21523.75,1.272996797412563,8205.0,-0.4564648014637672,-0.017456842817018536,0.03824356831247197,-2568.75,0.8482050524449697,5862.5,30,False
10,2020-01-03,2024-01-03,2024-01-03,2025-01-03,MAR,0.16528993335256154,"{'entry.params.rank_threshold': 0.75, 'entry.params.min_orderflow_imbalance': 0.01, 'sl.params.stop_pct': 0.006, 'tp.params.target_r_multiple': 1.5}",0.16528993335256154,0.012642138977327244,0.07648462747190844,7666.25,1.0719649855671072,12898.75,6.925621182598483,0.10896371136021377,0.01573342065459762,14098.75,2.35957087753134,2532.5,39,False
