wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,11,False,45,0.7,0.01,0.006,2.0,300,300,300,0,0,0,0,0,0,0,300,75.51345155740393,8537.5,1.1337118245888802,0.04291216572134944,8685.0,0.056685050419345365,0.014031234474061627,0.24752971674649996,0.45,0,0,True,-880.0,0.2,9,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,12,False,61,0.75,0.0,0.006,1.0,300,300,300,0,0,0,0,0,0,0,300,75.4596429980512,8250.0,1.1392170097873777,0.04974927629141936,8820.0,0.055746045791394756,0.01355831537731711,0.24321573279032538,0.49333333333333335,0,0,True,-892.5,0.10393939393939394,14,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,13,False,26,0.65,0.02,0.006,1.5,268,268,268,0,0,0,0,0,0,0,268,67.45868339128084,6472.5,1.1205251152180997,0.04091149913185375,6952.5,0.044880898586275905,0.01069028500147029,0.23819231205721145,0.4664179104477612,0,0,True,-880.0,0.19718037852452686,8,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,14,False,7,0.65,0.0,0.006,1.0,430,430,430,0,0,0,0,0,0,0,430,108.15882163054006,7775.0,1.0952118540289004,0.033346894186231935,9770.0,0.061727030057967806,0.012792224053590484,0.207238612348226,0.49534883720930234,0,0,True,-892.5,0.11028938906752411,6,False,min_profit_factor;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,15,False,18,0.65,0.01,0.006,2.0,367,367,367,0,0,0,0,0,0,0,367,92.37812240522413,6265.0,1.0801817367376976,0.027789674747064588,7720.0,0.05033086677315252,0.010352751543373673,0.2056938854249185,0.44959128065395093,0,0,True,-880.0,0.2725458898643256,5,False,min_profit_factor;min_expectancy_r;min_mar
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,16,False,79,0.75,0.02,0.006,1.0,183,183,183,0,0,0,0,0,0,0,183,46.0649690948118,5485.0,1.1567478745445452,0.057511199296697596,7020.0,0.044472600570161544,0.009081292505661365,0.20419971823627442,0.5027322404371585,0,0,True,-880.0,0.15405651777575205,7,False,min_profit_factor;min_mar;min_trades_per_year
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,17,False,70,0.75,0.01,0.006,1.0,252,252,252,0,0,0,0,0,0,0,252,63.4337279338392,5852.5,1.1150481619815216,0.04418187258761474,7887.5,0.05035672673295772,0.009681126402595108,0.1922509072905836,0.4880952380952381,0,0,True,-880.0,0.14651858180264843,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,18,False,72,0.75,0.01,0.006,2.0,252,252,252,0,0,0,0,0,0,0,252,63.431299308219295,6152.5,1.1068281460259581,0.03752494086194646,8225.0,0.053567358103487575,0.010169611245846921,0.18984716823629977,0.44047619047619047,0,0,True,-880.0,0.27752945956928077,11,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,19,False,43,0.7,0.01,0.006,1.0,300,300,300,0,0,0,0,0,0,0,300,75.51634277838001,6062.5,1.1061222703601592,0.03762163542973432,8697.5,0.05591809180918092,0.010023413581332852,0.17925171008226637,0.49,0,0,True,-880.0,0.14144329896907218,9,False,min_profit_factor;min_mar;max_consecutive_losses
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,b3591af43b4ff4dd8ec81c1127f4d26785c62d2aee2c89225aac5a3c634e520d,9dc846be34678425dd17bc9503d1a1854fade6cd2186d7c18a4d684139b38cda,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,20,False,80,0.75,0.02,0.006,1.5,183,183,183,0,0,0,0,0,0,0,183,46.0632054500164,5260.0,1.1348372212253268,0.05246131114325225,7802.5,0.04959478785952646,0.008713188435653496,0.17568758354875824,0.46994535519125685,0,0,True,-880.0,0.24263307984790874,7,False,min_profit_factor;min_mar;min_trades_per_year
