campaign_id,variant_id,run_id,equity_curve_path,exists
es_prior_lvn_orderflow_rejection,afternoon_large20_two_sided_lvn_rejection,rescue1,backtest-campaigns/es_prior_lvn_orderflow_rejection/afternoon_large20_two_sided_lvn_rejection/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,afternoon_large20_two_sided_lvn_rejection,run1,backtest-campaigns/es_prior_lvn_orderflow_rejection/afternoon_large20_two_sided_lvn_rejection/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,late_morning_large10_two_sided_lvn_rejection,rescue1,backtest-campaigns/es_prior_lvn_orderflow_rejection/late_morning_large10_two_sided_lvn_rejection/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,late_morning_large10_two_sided_lvn_rejection,run1,backtest-campaigns/es_prior_lvn_orderflow_rejection/late_morning_large10_two_sided_lvn_rejection/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,midday_signed_two_sided_lvn_rejection,rescue1,backtest-campaigns/es_prior_lvn_orderflow_rejection/midday_signed_two_sided_lvn_rejection/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,midday_signed_two_sided_lvn_rejection,run1,backtest-campaigns/es_prior_lvn_orderflow_rejection/midday_signed_two_sided_lvn_rejection/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,morning_downside_signed_lvn_reclaim_long,rescue1,backtest-campaigns/es_prior_lvn_orderflow_rejection/morning_downside_signed_lvn_reclaim_long/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,morning_downside_signed_lvn_reclaim_long,run1,backtest-campaigns/es_prior_lvn_orderflow_rejection/morning_downside_signed_lvn_reclaim_long/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,morning_signed_two_sided_lvn_rejection,rescue1,backtest-campaigns/es_prior_lvn_orderflow_rejection/morning_signed_two_sided_lvn_rejection/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_prior_lvn_orderflow_rejection,morning_signed_two_sided_lvn_rejection,run1,backtest-campaigns/es_prior_lvn_orderflow_rejection/morning_signed_two_sided_lvn_rejection/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
