trade_id,strategy_name,session_date,contract_symbol,direction,entry_timestamp,exit_timestamp,entry_trigger_price,entry_price,exit_price,initial_stop_price,stop_price,target_price,exit_reason,risk_points,gross_pnl,gross_pnl_before_slippage,net_pnl,r_multiple,commission,slippage_cost,total_transaction_cost,cost_accounting_error,net_liq_after,contracts,entry_event_index,exit_event_index,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,aoi_side,aoi_lineage_id,aoi_box_low,aoi_box_high,aoi_width_points,aoi_additional_category_count,aoi_categories,aoi_confluences,trigger_kind,trigger_value,aoi_eligible_timestamp,aoi_eligible_event_index,aoi_tap_timestamp,aoi_tap_event_index,bubble_qualified_timestamp,bubble_qualified_event_index,order_armed_timestamp,order_armed_event_index,entry_profile_poc,entry_profile_vah,entry_profile_val,midpoint_activated,midpoint_activated_at,source_quality_label,fill_model,entry_midpoint_tick,managed_target_already_reached_at_activation
1,yush_orderflow_range,2025-07-14,ESU5,short,2025-07-14 10:25:50.325522837-04:00,2025-07-14 10:27:35.501223497-04:00,6294.5,6294.25,6293.25,6296.5,6293.0,6288.0,managed_stop,2.25,50.0,75.0,45.0,0.4444444444444444,5.0,25.0,30.0,0.0,50045.0,1,66696,68332,3.0,1.0,fixed_contracts,VAH,14,6295.0,6296.0,1.0,2,"market,delta_profile","ORH,DELTA_4T_LOCAL_PROMINENCE",delta_4tick_3m,-301,2025-07-14 09:45:17.320797311-04:00,25945,2025-07-14 10:20:52.478278185-04:00,61153,2025-07-14 10:25:18.818457657-04:00,65907,2025-07-14 10:25:18.818457657-04:00,65907,6292.0,6295.75,6288.0,True,2025-07-14 10:27:15.040848709-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,trade_event_stop_market_with_one_tick_adverse_slippage_and_five_point_stop_limit,25167.5,False
2,yush_orderflow_range,2025-07-14,ESU5,long,2025-07-14 10:31:26.375590005-04:00,2025-07-14 10:32:12.740507797-04:00,6290.25,6290.5,6287.5,6287.75,6287.75,,initial_stop,2.75,-150.0,-125.0,-155.0,-1.0909090909090908,5.0,25.0,30.0,0.0,49890.0,1,72464,73347,1.25,2.5,fixed_contracts,VAL,29,6288.25,6289.75,1.5,1,delta_profile,DELTA_4T_LOCAL_PROMINENCE,delta_4tick_3m,-300,2025-07-14 10:28:30.107727237-04:00,69295,2025-07-14 10:31:22.535770699-04:00,72385,2025-07-14 10:31:22.536561493-04:00,72392,2025-07-14 10:31:22.536561493-04:00,72392,6292.0,6295.5,6288.25,False,,Direct Databento GLBX trades messages; active outright; not MBO.,trade_event_stop_market_with_one_tick_adverse_slippage_and_five_point_stop_limit,25167.5,
3,yush_orderflow_range,2025-07-15,ESU5,long,2025-07-15 10:00:59.275928081-04:00,2025-07-15 10:17:30.486410279-04:00,6318.5,6318.75,6319.75,6314.5,6320.0,6329.0,managed_stop,4.25,50.0,75.0,45.0,0.23529411764705882,5.0,25.0,30.0,0.0,49935.0,1,47765,65347,8.0,3.75,fixed_contracts,VAL,20,6315.0,6318.0,3.0,1,market,PDH,delta_4tick_3m,-303,2025-07-15 10:00:52.036583901-04:00,47386,2025-07-15 10:00:57.701818941-04:00,47536,2025-07-15 10:00:58.328544435-04:00,47702,2025-07-15 10:00:58.328544435-04:00,47702,6326.0,6331.5,6318.0,True,2025-07-15 10:14:53.529499815-04:00,Direct Databento GLBX trades messages; active outright; not MBO.,trade_event_stop_market_with_one_tick_adverse_slippage_and_five_point_stop_limit,25299.0,False
4,yush_orderflow_range,2025-07-15,ESU5,long,2025-07-15 10:33:47.788844093-04:00,2025-07-15 10:36:49.806258255-04:00,6317.5,6317.75,6314.25,6314.5,6314.5,,initial_stop,3.25,-175.0,-150.0,-180.0,-1.0769230769230769,5.0,25.0,30.0,0.0,49755.0,1,82152,84435,0.0,3.0,fixed_contracts,VAL,21,6315.0,6317.0,2.0,2,"market,big_trade","PDH,BIG_TRADE_6",delta_4tick_3m,300,2025-07-15 10:17:30.486410279-04:00,65348,2025-07-15 10:31:05.930104701-04:00,77832,2025-07-15 10:33:35.488681357-04:00,81996,2025-07-15 10:33:35.488681357-04:00,81996,6323.5,6326.75,6315.75,False,,Direct Databento GLBX trades messages; active outright; not MBO.,trade_event_stop_market_with_one_tick_adverse_slippage_and_five_point_stop_limit,25285.0,
5,yush_orderflow_range,2025-07-24,ESU5,long,2025-07-24 10:12:52.763323031-04:00,2025-07-24 10:13:30.439031995-04:00,6401.75,6402.0,6398.25,6398.5,6398.5,,initial_stop,3.5,-187.5,-162.5,-192.5,-1.0714285714285714,5.0,25.0,30.0,0.0,49562.5,1,49788,51092,0.25,3.25,fixed_contracts,VAL,15,6399.0,6401.25,2.25,2,"market,delta_profile","PDH,DELTA_4T_LOCAL_PROMINENCE",delta_4tick_3m,-303,2025-07-24 09:40:04.962873103-04:00,17192,2025-07-24 10:12:47.593638579-04:00,49610,2025-07-24 10:12:49.238039431-04:00,49701,2025-07-24 10:12:49.238039431-04:00,49701,6404.5,6409.25,6401.25,False,,Direct Databento GLBX trades messages; active outright; not MBO.,trade_event_stop_market_with_one_tick_adverse_slippage_and_five_point_stop_limit,25621.0,
