campaign_id,variant_id,run_id,stage,trade_log,purpose
es_prior_poc_orderflow_magnet,morning_above_poc_signed_magnet_short,run1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/morning_above_poc_signed_magnet_short/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,morning_above_poc_signed_magnet_short,rescue1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/morning_above_poc_signed_magnet_short/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,morning_below_poc_signed_magnet_long,run1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/morning_below_poc_signed_magnet_long/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,morning_below_poc_signed_magnet_long,rescue1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/morning_below_poc_signed_magnet_long/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,late_morning_large10_two_sided_magnet,run1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/late_morning_large10_two_sided_magnet/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,late_morning_large10_two_sided_magnet,rescue1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/late_morning_large10_two_sided_magnet/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,midday_signed_two_sided_magnet,run1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/midday_signed_two_sided_magnet/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,midday_signed_two_sided_magnet,rescue1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/midday_signed_two_sided_magnet/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,afternoon_large20_two_sided_magnet,run1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/afternoon_large20_two_sided_magnet/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
es_prior_poc_orderflow_magnet,afternoon_large20_two_sided_magnet,rescue1,limited_core_grid_test,backtest-campaigns/es_prior_poc_orderflow_magnet/afternoon_large20_two_sided_magnet/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,fixed_config_core_mechanics_cross_check
