campaign_id,variant_id,run_id,stage,trade_log
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,rescue1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,afternoon_large20_two_sided_breakout_1500,run1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/afternoon_large20_two_sided_breakout_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,rescue1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,late_morning_large10_two_sided_breakout_1130,run1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/late_morning_large10_two_sided_breakout_1130/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,rescue1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,midday_signed_two_sided_breakout_1300,run1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/midday_signed_two_sided_breakout_1300/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,rescue1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,morning_large10_two_sided_breakout_1100,run1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/morning_large10_two_sided_breakout_1100/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,rescue1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv
es_overnight_range_compression_orderflow_breakout,morning_signed_two_sided_breakout_1030,run1,limited_core_grid_test,backtest-campaigns/es_overnight_range_compression_orderflow_breakout/morning_signed_two_sided_breakout_1030/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv
