wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.min_abs_move_ticks,sl.params.stop_pct,tp.params.target_r_multiple,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,11,False,13,96,0.004,1.5,127,127.77521237869881,7533.75,1.218877106333527,0.07792552223083658,4670.0,0.029269821372610468,0.0505391952396137,1.726665653207787,0.5354330708661418,0,0,True,-892.5,0.16442674630827941,7,False,preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,12,False,12,96,0.003,2.5,127,127.77863435069966,7290.0,1.2210765731614859,0.10164613784615034,4568.75,0.02873359905033686,0.0489051360103121,1.7020191562023885,0.4881889763779528,0,0,True,-667.5,0.21193415637860083,7,False,preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,13,False,14,96,0.004,2.0,127,127.77521237869881,6727.5,1.1904863028243788,0.06974068329175408,4630.0,0.02912865681031771,0.04512985284226256,1.549328317338582,0.5196850393700787,0,0,True,-892.5,0.2463768115942029,7,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,14,False,1,80,0.003,1.5,144,144.48485773424014,7880.0,1.2275976604809011,0.09753436940639111,5632.5,0.03545239968528718,0.05271479910643562,1.4869176578845908,0.5347222222222222,0,0,True,-667.5,0.116751269035533,8,False,preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,15,False,6,80,0.004,2.5,144,144.4809989908605,6942.5,1.1728279810804083,0.06279786131735016,4962.5,0.03125024598745267,0.046441467870503184,1.4861152737533638,0.5208333333333334,0,0,True,-892.5,0.29906373784659707,8,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,16,False,25,112,0.005,1.5,111,112.9213111519871,6107.5,1.1915027043975857,0.05697897021715664,5137.5,0.03203704136753736,0.04143584134564415,1.2933729076377962,0.5405405405405406,0,0,True,-1105.0,0.25194433074089234,7,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,17,False,26,112,0.005,2.0,111,112.9213111519871,5832.5,1.1823511020790995,0.05344382699781548,5137.5,0.03229760950539865,0.03956951428386679,1.2251530342285122,0.5315315315315315,0,0,True,-1105.0,0.35276468066866695,7,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,18,False,10,96,0.003,1.5,127,127.77863435069966,4908.75,1.1552542104847,0.0705214625584131,5040.0,0.03201905896366885,0.03292890409432325,1.028415736130371,0.5196850393700787,0,0,True,-667.5,0.18742042271454037,7,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,19,False,15,96,0.004,2.5,127,127.77521237869881,4608.75,1.1277192739365387,0.04702078869657696,4707.5,0.03021501925545571,0.0309154161654126,1.0231804224261887,0.5118110236220472,0,0,True,-892.5,0.4505017629509086,7,False,min_profit_factor;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,20,False,19,112,0.003,1.5,111,112.92480584918617,4320.0,1.1571480538377592,0.06976841555942763,4917.5,0.03135410855184506,0.02930665723181214,0.9346991059673282,0.5225225225225225,0,0,True,-667.5,0.21296296296296297,7,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,21,False,27,112,0.005,2.5,111,112.9213111519871,4357.5,1.1362357355010162,0.039425410991447654,5305.0,0.03345736629667003,0.029560189948258042,0.8835181372659369,0.5315315315315315,0,0,True,-1105.0,0.5697074010327022,7,False,min_profit_factor;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,22,False,7,80,0.005,1.5,144,144.48044775863156,4373.75,1.1008124927970497,0.03259947070771086,7125.0,0.04436764431160097,0.02925702792367324,0.6594226125280962,0.5347222222222222,0,0,True,-1105.0,0.35181480422977995,8,False,min_profit_factor;preferred_min_total_trades
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,23,False,8,80,0.005,2.0,144,144.48044775863156,2980.0,1.0675622059740406,0.022094928611156486,6437.5,0.04087561114991428,0.019933606963379535,0.4876650502000222,0.5208333333333334,0,0,True,-1105.0,0.6904362416107382,8,False,min_profit_factor;min_expectancy_r;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,24,False,9,80,0.005,2.5,144,144.48044775863156,1567.5,1.0355381737799694,0.011563189079932173,7612.5,0.048164375761218584,0.010485047977411233,0.217693010896524,0.5208333333333334,0,0,True,-1105.0,1.5837320574162679,8,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,25,False,16,96,0.005,1.5,127,127.77472354051774,802.5,1.020034951941081,0.007653669844441357,6967.5,0.044366617582679985,0.005382723670231515,0.12132373310181852,0.5196850393700787,0,0,True,-1105.0,1.9174454828660437,7,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,26,False,17,96,0.005,2.0,127,127.77472354051774,527.5,1.013139049754032,0.004563898999190436,6280.0,0.040499798468359535,0.0035381568914671924,0.0873623332775687,0.5118110236220472,0,0,True,-1105.0,3.9004739336492893,7,False,min_profit_factor;min_expectancy_r;min_mar;preferred_min_total_trades;max_best_day_concentration
1,2022-05-11,2023-05-11,2023-05-11,2023-07-11,MAR,dd627e2ac305a85f94b6a01c4f691b6c029f2af27a358d054ced653a750d3cc7,fc06336078bf201b62f9047560321c72eeb27f5ed221d5e2256ff3b92579c8a3,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,27,False,18,96,0.005,2.5,127,127.77472354051774,-947.5,0.9763995267451273,-0.007688417352831831,7455.0,0.047922860586580955,-0.006355076805200199,-0.13261054802266345,0.5118110236220472,0,0,False,-1105.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
