variant_id,test_run_id,trade_log,equity_curve,status,reason
early_5m_signed_flow_continuation_1000,run1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
early_5m_signed_flow_continuation_1000,rescue1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
late_morning_15m_signed_flow_continuation_1130,run1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
late_morning_15m_signed_flow_continuation_1130,rescue1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
midday_30m_signed_flow_continuation_1230,run1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
midday_30m_signed_flow_continuation_1230,rescue1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
afternoon_60m_signed_flow_continuation_1400,run1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
afternoon_60m_signed_flow_continuation_1400,rescue1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
late_large20_30m_flow_continuation_1500,run1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
late_large20_30m_flow_continuation_1500,rescue1,,,not_generated,run halted at limited_core_grid_test before a selected core/monkey/WFA/acceptance trade path was produced
