trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,trend_lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_pullback_return_ticks,trend_return_ticks,trend_start_timestamp,trend_end_timestamp,share_rank_min,min_abs_return_ticks,min_trend_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_close_timestamp,intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",1,trend_filtered_mes_participation_crowding,2023-05-11,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.5833333333333334,0.0787267607203731,13.0,-33.0,2023-05-11 09:45:00-04:00,2023-05-11 10:15:00-04:00,0.55,2.0,4.0,2023-05-11 10:30:00-04:00,2023-05-11 10:30:00-04:00,2023-05-11 10:30:00-04:00,2023-05-11 10:30:00-04:00,0.0025,1.5,12:00:00,4130.75,2023-05-11 10:29:00-04:00,4131.0,4128.75,2023-05-11 10:30:00-04:00,2023-05-11 10:30:00-04:00,4130.5,4141.0,4120.0,10.5,1,7.75,10.75,fixed_contracts,2023-05-11 11:31:00-04:00,4141.25,stop,-537.5,-542.5,-1.0238095238095237,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",2,trend_filtered_mes_participation_crowding,2023-08-25,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7738095238095238,0.0809760271356323,-89.0,27.0,2023-08-25 09:45:00-04:00,2023-08-25 10:15:00-04:00,0.55,2.0,4.0,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,0.0025,1.5,12:00:00,4391.25,2023-08-25 10:29:00-04:00,4393.75,4390.0,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,4391.5,4380.5,4402.5,11.0,1,2.75,11.0,fixed_contracts,2023-08-25 10:44:00-04:00,4380.25,stop,-562.5,-567.5,-1.0227272727272727,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",3,trend_filtered_mes_participation_crowding,2023-08-28,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8055555555555556,0.0835852522483902,32.0,-12.0,2023-08-28 09:45:00-04:00,2023-08-28 10:15:00-04:00,0.55,2.0,4.0,2023-08-28 10:30:00-04:00,2023-08-28 10:30:00-04:00,2023-08-28 10:30:00-04:00,2023-08-28 10:30:00-04:00,0.0025,1.5,12:00:00,4446.75,2023-08-28 10:29:00-04:00,4446.75,4445.5,2023-08-28 10:30:00-04:00,2023-08-28 10:30:00-04:00,4446.25,4457.5,4435.0,11.25,1,11.5,1.0,fixed_contracts,2023-08-28 10:45:00-04:00,4435.25,target,550.0,545.0,0.9777777777777777,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",4,trend_filtered_mes_participation_crowding,2023-09-13,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.8888888888888888,0.0908473911633624,25.0,-55.0,2023-09-13 09:45:00-04:00,2023-09-13 10:15:00-04:00,0.55,2.0,4.0,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,0.0025,1.5,12:00:00,4513.75,2023-09-13 10:29:00-04:00,4514.75,4513.0,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,4513.75,4525.25,4502.25,11.5,1,0.5,11.75,fixed_contracts,2023-09-13 10:57:00-04:00,4525.5,stop,-587.5,-592.5,-1.0217391304347827,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",5,trend_filtered_mes_participation_crowding,2023-10-02,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7182539682539683,0.0759680540108007,3.0,-33.0,2023-10-02 09:45:00-04:00,2023-10-02 10:15:00-04:00,0.55,2.0,4.0,2023-10-02 10:30:00-04:00,2023-10-02 10:30:00-04:00,2023-10-02 10:30:00-04:00,2023-10-02 10:30:00-04:00,0.0025,1.5,12:00:00,4319.0,2023-10-02 10:29:00-04:00,4324.25,4316.75,2023-10-02 10:30:00-04:00,2023-10-02 10:30:00-04:00,4318.75,4329.75,4307.75,11.0,1,8.75,11.0,fixed_contracts,2023-10-02 11:20:00-04:00,4330.0,stop,-562.5,-567.5,-1.0227272727272727,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",6,trend_filtered_mes_participation_crowding,2023-10-05,short,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7261904761904762,0.0772632769855787,6.0,-25.0,2023-10-05 09:45:00-04:00,2023-10-05 10:15:00-04:00,0.55,2.0,4.0,2023-10-05 10:30:00-04:00,2023-10-05 10:30:00-04:00,2023-10-05 10:30:00-04:00,2023-10-05 10:30:00-04:00,0.0025,1.5,12:00:00,4280.75,2023-10-05 10:29:00-04:00,4281.0,4279.75,2023-10-05 10:30:00-04:00,2023-10-05 10:30:00-04:00,4280.5,4291.25,4269.75,10.75,1,10.75,1.25,fixed_contracts,2023-10-05 10:36:00-04:00,4270.0,target,525.0,520.0,0.9767441860465116,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",7,trend_filtered_mes_participation_crowding,2023-10-18,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.7976190476190477,0.0815415761862559,-15.0,9.0,2023-10-18 09:45:00-04:00,2023-10-18 10:15:00-04:00,0.55,2.0,4.0,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,0.0025,1.5,12:00:00,4376.0,2023-10-18 10:29:00-04:00,4382.25,4375.5,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,4376.25,4365.25,4387.25,11.0,1,2.0,12.5,fixed_contracts,2023-10-18 10:51:00-04:00,4365.0,stop,-562.5,-567.5,-1.0227272727272727,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",8,trend_filtered_mes_participation_crowding,2023-10-27,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6031746031746031,0.0716544021970842,-31.0,12.0,2023-10-27 09:45:00-04:00,2023-10-27 10:15:00-04:00,0.55,2.0,4.0,2023-10-27 10:30:00-04:00,2023-10-27 10:30:00-04:00,2023-10-27 10:30:00-04:00,2023-10-27 10:30:00-04:00,0.0025,1.5,12:00:00,4160.5,2023-10-27 10:29:00-04:00,4163.25,4160.0,2023-10-27 10:30:00-04:00,2023-10-27 10:30:00-04:00,4160.75,4150.25,4171.25,10.5,1,5.75,11.5,fixed_contracts,2023-10-27 10:42:00-04:00,4150.0,stop,-537.5,-542.5,-1.0238095238095237,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",9,trend_filtered_mes_participation_crowding,2023-11-27,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.5873015873015873,0.0680318937967568,-13.0,24.0,2023-11-27 09:45:00-05:00,2023-11-27 10:15:00-05:00,0.55,2.0,4.0,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,0.0025,1.5,12:00:00,4561.25,2023-11-27 10:29:00-05:00,4561.75,4560.75,2023-11-27 10:30:00-05:00,2023-11-27 10:30:00-05:00,4561.25,4549.75,4572.75,11.5,1,8.0,4.25,fixed_contracts,2023-11-27 12:00:00-05:00,4565.0,eod_flatten,187.5,182.5,0.32608695652173914,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.553739452312439,"{'entry.params.share_rank_min': 0.55, 'entry.params.min_abs_return_ticks': 2, 'sl.params.stop_pct': 0.0025, 'tp.params.target_r_multiple': 1.0}",10,trend_filtered_mes_participation_crowding,2024-01-29,long,trend_filtered_mes_participation_morning_notional_trend_pullback_reversal_1030,morning_notional_trend_pullback_reversal_1030,completed_bar_mes_participation_crowding_with_prior_trend_filter,notional,15,30,252,both,0.6349206349206349,0.0651877495807673,-17.0,10.0,2024-01-29 09:45:00-05:00,2024-01-29 10:15:00-05:00,0.55,2.0,4.0,2024-01-29 10:30:00-05:00,2024-01-29 10:30:00-05:00,2024-01-29 10:30:00-05:00,2024-01-29 10:30:00-05:00,0.0025,1.5,12:00:00,4918.25,2024-01-29 10:29:00-05:00,4918.25,4917.25,2024-01-29 10:30:00-05:00,2024-01-29 10:30:00-05:00,4918.25,4905.75,4930.75,12.5,1,5.0,5.5,fixed_contracts,2024-01-29 12:00:00-05:00,4922.25,eod_flatten,200.0,195.0,0.32,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
