Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2000-01-03,2.14,0.54,-0.051,0.67,0.472,0.509,1.769,0.521,-0.15
2000-01-04,2.421,0.604,0.079,0.627,0.55,0.561,2.084,0.474,-0.137
2000-01-05,2.297,0.575,0.08,0.653,0.501,0.488,2.023,0.406,-0.132
2000-01-06,2.292,0.546,0.082,0.581,0.566,0.517,2.064,0.355,-0.127
2000-01-07,2.005,0.662,-0.011,0.519,0.565,0.27,1.769,0.367,-0.131
2000-01-10,1.955,0.71,-0.058,0.513,0.5,0.29,1.639,0.451,-0.135
2000-01-11,1.89,0.517,-0.007,0.566,0.487,0.327,1.699,0.311,-0.12
2000-01-12,1.914,0.534,0.005,0.576,0.433,0.366,1.687,0.346,-0.119
2000-01-13,1.891,0.587,-0.037,0.498,0.536,0.307,1.707,0.31,-0.126
2000-01-14,1.647,0.584,-0.079,0.448,0.512,0.182,1.52,0.256,-0.129
2000-01-18,1.7,0.475,-0.057,0.483,0.549,0.25,1.67,0.172,-0.142
2000-01-19,1.865,0.485,-0.046,0.483,0.661,0.282,1.794,0.204,-0.133
2000-01-20,1.641,0.466,-0.017,0.525,0.406,0.261,1.577,0.194,-0.13
2000-01-21,1.498,0.465,-0.002,0.503,0.339,0.193,1.459,0.172,-0.133
2000-01-24,1.705,0.523,0.098,0.436,0.366,0.282,1.694,0.141,-0.13
2000-01-25,1.444,0.523,0.084,0.375,0.226,0.236,1.471,0.095,-0.122
2000-01-26,1.456,0.522,0.1,0.392,0.218,0.224,1.464,0.109,-0.117
2000-01-27,1.296,0.432,0.116,0.359,0.122,0.267,1.419,-0.009,-0.114
2000-01-28,1.594,0.492,0.219,0.204,0.23,0.449,1.73,-0.03,-0.106
2000-01-31,1.586,0.667,0.137,0.153,0.236,0.393,1.655,0.031,-0.1
2000-02-01,1.57,0.696,0.095,0.115,0.259,0.405,1.588,0.084,-0.102
2000-02-02,1.56,0.604,0.098,0.111,0.365,0.382,1.633,0.027,-0.1
2000-02-03,1.796,0.652,0.054,0.195,0.565,0.33,1.795,0.113,-0.112
2000-02-04,1.436,0.581,0.052,0.138,0.393,0.272,1.507,0.069,-0.14
2000-02-07,1.444,0.539,0.05,0.116,0.382,0.357,1.588,-0.007,-0.137
2000-02-08,1.236,0.612,0.007,0.096,0.224,0.297,1.337,0.036,-0.137
2000-02-09,1.488,0.541,0.083,0.184,0.289,0.391,1.602,0.03,-0.144
2000-02-10,1.326,0.542,0.07,0.123,0.249,0.342,1.517,-0.034,-0.157
2000-02-11,1.408,0.554,0.15,0.149,0.18,0.375,1.555,0.003,-0.15
2000-02-14,1.499,0.61,0.152,0.062,0.292,0.383,1.652,-0.02,-0.133
2000-02-15,1.246,0.563,0.121,0.092,0.116,0.354,1.366,-0.023,-0.097
2000-02-16,1.49,0.567,0.159,0.126,0.207,0.431,1.564,0.022,-0.096
2000-02-17,1.426,0.514,0.158,0.097,0.191,0.466,1.54,-0.022,-0.092
2000-02-18,1.723,0.58,0.276,0.024,0.265,0.578,1.844,-0.033,-0.088
2000-02-22,1.868,0.758,0.269,0.081,0.214,0.546,1.815,0.125,-0.072
