session_date,prior_close,prior_rth_return,prior_realized_variance,prior_bipower_variation,prior_jump_variation,prior_jump_share,prior_positive_jump_variation,prior_negative_jump_variation,prior_signed_jump_share,jump_variation_3d_mean,jump_share_3d_mean,jump_share_5d_mean,jump_variation_change_5d,jump_var_rank_252,jump_share_rank_252,jump_var3_rank_252,jump_share3_rank_252,negative_jump_rank_252,positive_jump_rank_252,signed_jump_rank_252,jump_change_rank_252
2011-01-03,,,,,,,,,,,,,,,,,,,,,
2011-01-05,2252.5,0.006478999106344974,3.435608022057448e-05,2.937672954806747e-05,4.979350672507011e-06,0.14493360827365506,1.9985694100573945e-05,7.1116625494805265e-06,0.4751028566126777,,,,,,,,,,,,
2011-01-07,2269.75,0.011475044563279857,2.9116493651176584e-05,2.757887819410531e-05,1.5376154570712752e-06,0.05280908736787889,1.080644572298809e-05,6.572686697312148e-06,0.24361164431491225,,,,,,,,,,,,
2011-01-10,2275.0,-0.002630425252082458,6.68946787530148e-05,6.10700250736105e-05,5.824653679404297e-06,0.0870720031545378,1.5683875528438925e-05,2.1259153395396843e-05,-0.15091555915602603,4.113873269660861e-06,0.09493823293202391,,,,,,,,,,
2011-01-11,2283.5,0.006501377410468301,4.2265430713097196e-05,3.9002140354060056e-05,3.26329035903714e-06,0.07720944289409341,1.1469078588550179e-05,9.794208731671333e-06,0.07876815243360961,3.541853165170904e-06,0.0723635111388367,,,,,,,,,,
2011-01-12,2286.25,-0.0025087260034903913,3.6040593492299834e-05,3.4640886903342475e-05,1.399706588957359e-06,0.03883694615784865,9.204497515003174e-06,1.175330157720964e-05,-0.12161601754993029,3.4958835424662655e-06,0.06770613073549328,0.08017221756960276,,,,,,,,,
2011-01-13,2302.5,0.0025035376074888926,2.1975605863354016e-05,2.0809511584031756e-05,1.1660942793222594e-06,0.05306312310901106,5.996209672546495e-06,7.85346095110096e-06,-0.1341007543806365,1.943030409105586e-06,0.056369837386984374,0.06179812053667395,-3.8132563931847515e-06,,,,,,,,
2011-01-14,2304.0,0.0,2.500393235628286e-05,2.2061688347277287e-05,2.9422440090055737e-06,0.1176712513488408,8.222574254497841e-06,7.241746117703007e-06,0.06342523390539696,1.836014959095064e-06,0.06985710687190017,0.07477055333286634,1.4046285519342985e-06,,,,,,,,
2011-01-18,2321.0,0.007378472222222321,2.915053711853619e-05,2.8465865251213078e-05,6.84671867323111e-07,0.023487452891142204,1.2124498802900362e-05,8.735012076724034e-06,0.16249118906652718,1.5976700518836481e-06,0.06474060911633135,0.06205364328018722,-5.139981812081186e-06,,,,,,,,
2011-01-19,2327.5,0.011296980230284692,3.936199664985254e-05,3.404286711386704e-05,5.319129535985502e-06,0.1351336311341673,1.839172169169672e-05,1.0514215358372782e-05,0.2725220884442837,2.9820151374380623e-06,0.09209744512471678,0.073638480928202,2.0558391769483623e-06,,,,,,,,
2011-01-20,2301.5,-0.012443681613387714,5.8433919597909934e-05,5.452523102400684e-05,3.908688573903093e-06,0.06689074771638115,8.036529011134317e-06,2.391823867647313e-05,-0.4970059498037906,3.3041633257372354e-06,0.07517061058056355,0.07924924123990851,2.508981984945734e-06,,,,,,,,
2011-01-21,2284.75,-0.0033805888767720615,7.368149792560971e-05,6.268116684716017e-05,1.1000331078449537e-05,0.1492957036453804,1.2962444786649781e-05,3.0771228559070535e-05,-0.4072098776528563,6.742716396112711e-06,0.11710669416530961,0.09849575734718237,9.834236799127278e-06,,,,,,,,
