signal_date,window_year,period,rank_in_period,regular_session,source,notes
2011-01-03,2011,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-01-04,2011,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-12-23,2012,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-12-27,2012,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-12-28,2012,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-12-29,2012,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2011-12-30,2012,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-01-03,2012,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-01-04,2012,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-12-21,2013,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-12-26,2013,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-12-27,2013,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-12-28,2013,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2012-12-31,2013,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-01-02,2013,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-01-03,2013,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-12-23,2014,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-12-26,2014,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-12-27,2014,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-12-30,2014,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2013-12-31,2014,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-01-02,2014,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-01-03,2014,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-12-23,2015,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-12-26,2015,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-12-29,2015,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-12-30,2015,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2014-12-31,2015,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-01-02,2015,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-01-05,2015,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-12-23,2016,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-12-28,2016,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-12-29,2016,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-12-30,2016,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2015-12-31,2016,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-01-04,2016,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-01-05,2016,january_first2,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-12-23,2017,december_last5,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-12-27,2017,december_last5,2,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-12-28,2017,december_last5,3,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-12-29,2017,december_last5,4,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2016-12-30,2017,december_last5,5,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
2017-01-03,2017,january_first2,1,true,deterministic_nyse_holiday_rules,Santa/turn-of-year window: last five regular December sessions and first two regular January sessions; early-close sessions excluded
