session_date,prior_close,prior_rth_return,prior_abs_rth_return,prior_volume,prior_dollar_volume,prior_amihud_illiq_1d,prior_price_impact_per_billion,amihud_illiq_3d_mean,amihud_illiq_5d_mean,amihud_illiq_20d_mean,illiq1_rank_252,illiq3_rank_252,illiq5_rank_252,illiq20_rank_252,dollar_volume1_rank_252
2011-01-03,,,,,,,,,,,,,,,
2011-01-05,2252.5,0.006478999106344974,0.006478999106344974,228376.0,10303806680.0,6.287966484193562e-13,0.0006287966484193562,,,,,,,,
2011-01-07,2269.75,0.011475044563279857,0.011475044563279857,166509.0,7526385115.0,1.52464222703808e-12,0.00152464222703808,,,,,,,,
2011-01-10,2275.0,-0.002630425252082458,0.002630425252082458,237742.0,10794153715.0,2.4368980853284596e-13,0.00024368980853284596,7.990428946634275e-13,,,,,,,
2011-01-11,2283.5,0.006501377410468301,0.006501377410468301,171901.0,7820516635.0,8.313232633982244e-13,0.0008313232633982245,8.665517663230502e-13,,,,,,,
2011-01-12,2286.25,-0.0025087260034903913,0.0025087260034903913,177860.0,8135422595.0,3.0837070529467574e-13,0.0003083707052946757,4.611279257419154e-13,7.073645305366364e-13,,,,,,
2011-01-13,2302.5,0.0025035376074888926,0.0025035376074888926,142037.0,6524592420.0,3.837078925903072e-13,0.0003837078925903072,5.078006204277358e-13,6.583467793708267e-13,,,,,,
2011-01-14,2304.0,0.0,0.0,158761.0,7313819085.0,0.0,0.0,2.30692865961661e-13,3.5341833396321064e-13,,,,,,
2011-01-18,2321.0,0.007378472222222321,0.007378472222222321,141789.0,6554318195.0,1.1257421447513842e-12,0.0011257421447513842,5.031500124472305e-13,5.298288012069183e-13,,,,,,
2011-01-19,2327.5,0.011296980230284692,0.011296980230284692,190007.0,8806185155.0,1.282846094130835e-12,0.0012828460941308349,8.028627462940731e-13,6.201333673534405e-13,,,,,,
2011-01-20,2301.5,-0.012443681613387714,0.012443681613387714,228379.0,10556671500.0,1.1787504814739867e-12,0.0011787504814739867,1.1957795734520687e-12,7.942093225893027e-13,,,,,,
2011-01-21,2284.75,-0.0033805888767720615,0.0033805888767720615,291582.0,13304441950.0,2.5409475192396636e-13,0.00025409475192396635,9.05230442509596e-13,7.682866944560345e-13,,,,,,
2011-01-24,2267.0,-0.012523140585865233,0.012523140585865233,206175.0,9410984350.0,1.3306940188318593e-12,0.0013306940188318594,9.211797507432708e-13,1.0344254982224063e-12,,,,,,
2011-01-25,2298.25,0.011887727022564576,0.011887727022564576,192298.0,8795656230.0,1.3515452072829108e-12,0.0013515452072829107,9.787779926795789e-13,1.0795861107287115e-12,,,,,,
2011-01-26,2301.0,0.0060115859656793,0.0060115859656793,215929.0,9896099775.0,6.074702258829338e-13,0.0006074702258829338,1.096569817332568e-12,9.445109370791314e-13,,,,,,
