DATE,OPEN,HIGH,LOW,CLOSE
01/03/2006,31.34,31.34,31.34,31.34
01/04/2006,31.12,31.12,31.12,31.12
01/05/2006,30.92,30.92,30.92,30.92
01/06/2006,30.24,30.24,30.24,30.24
01/09/2006,30.15,30.15,30.15,30.15
01/10/2006,29.9,29.9,29.9,29.9
01/11/2006,30.23,30.23,30.23,30.23
01/12/2006,30.57,30.57,30.57,30.57
01/13/2006,31.15,31.15,31.15,31.15
01/17/2006,32.28,32.28,32.28,32.28
01/18/2006,32.37,32.37,32.37,32.37
01/19/2006,32.12,32.12,32.12,32.12
01/20/2006,35.99,35.99,35.99,35.99
01/23/2006,36.49,36.49,36.49,36.49
01/24/2006,34.29,34.29,34.29,34.29
01/25/2006,33.68,33.68,33.68,33.68
01/26/2006,33.01,33.01,33.01,33.01
01/27/2006,30.83,30.83,30.83,30.83
01/30/2006,31.67,31.67,31.67,31.67
01/31/2006,32.48,32.48,32.48,32.48
02/01/2006,30.97,30.97,30.97,30.97
02/02/2006,33.01,33.01,33.01,33.01
02/03/2006,31.62,31.62,31.62,31.62
02/06/2006,30.34,30.34,30.34,30.34
02/07/2006,32.77,32.77,32.77,32.77
02/08/2006,31.22,31.22,31.22,31.22
02/09/2006,32.33,32.33,32.33,32.33
02/10/2006,31.85,31.85,31.85,31.85
02/13/2006,32.8,32.8,32.8,32.8
02/14/2006,30.88,30.88,30.88,30.88
02/15/2006,30.2,30.2,30.2,30.2
02/16/2006,27.9,27.9,27.9,27.9
02/17/2006,30.01,30.01,30.01,30.01
02/21/2006,31.38,31.38,31.38,31.38
02/22/2006,30.02,30.02,30.02,30.02
02/23/2006,30.15,30.15,30.15,30.15
02/24/2006,30.19,30.19,30.19,30.19
02/27/2006,30.71,30.71,30.71,30.71
02/28/2006,33.76,33.76,33.76,33.76
03/01/2006,31.12,31.12,31.12,31.12
03/02/2006,30.93,30.93,30.93,30.93
03/03/2006,31.68,31.68,31.68,31.68
03/06/2006,34.22,34.22,34.22,34.22
03/07/2006,35.41,35.41,35.41,35.41
03/08/2006,35.1,35.1,35.1,35.1
03/09/2006,36.99,36.99,36.99,36.99
03/10/2006,35.13,35.13,35.13,35.13
03/13/2006,33.4,33.4,33.4,33.4
03/14/2006,32.27,32.27,32.27,32.27
03/15/2006,32.6,32.6,32.6,32.6
03/16/2006,32.89,32.89,32.89,32.89
03/17/2006,34.52,34.52,34.52,34.52
03/20/2006,37.1,37.1,37.1,37.1
03/21/2006,35.32,35.32,35.32,35.32
03/22/2006,36.01,36.01,36.01,36.01
03/23/2006,35.86,35.86,35.86,35.86
03/24/2006,35.52,35.52,35.52,35.52
03/27/2006,35.7,35.7,35.7,35.7
03/28/2006,33.91,33.91,33.91,33.91
03/29/2006,31.5,31.5,31.5,31.5
03/30/2006,33.53,33.53,33.53,33.53
03/31/2006,33.86,33.86,33.86,33.86
04/03/2006,31.91,31.91,31.91,31.91
04/04/2006,30.34,30.34,30.34,30.34
04/05/2006,30.64,30.64,30.64,30.64
04/06/2006,29.38,29.38,29.38,29.38
04/07/2006,31.89,31.89,31.89,31.89
04/10/2006,31.7,31.7,31.7,31.7
04/11/2006,34.8,34.8,34.8,34.8
04/12/2006,34.65,34.65,34.65,34.65
04/13/2006,34.28,34.28,34.28,34.28
04/17/2006,33.54,33.54,33.54,33.54
04/18/2006,29.77,29.77,29.77,29.77
04/19/2006,28.84,28.84,28.84,28.84
04/20/2006,28.92,28.92,28.92,28.92
04/21/2006,29.54,29.54,29.54,29.54
04/24/2006,28.56,28.56,28.56,28.56
04/25/2006,29.3,29.3,29.3,29.3
04/26/2006,31.3,31.3,31.3,31.3
04/27/2006,30.36,30.36,30.36,30.36
04/28/2006,30.03,30.03,30.03,30.03
05/01/2006,31.87,31.87,31.87,31.87
05/02/2006,30.43,30.43,30.43,30.43
05/03/2006,30.3,30.3,30.3,30.3
05/04/2006,29.63,29.63,29.63,29.63
05/05/2006,28.72,28.72,28.72,28.72
05/08/2006,30.59,30.59,30.59,30.59
05/09/2006,29.75,29.75,29.75,29.75
05/10/2006,29.65,29.65,29.65,29.65
05/11/2006,30.93,30.93,30.93,30.93
05/12/2006,34.72,34.72,34.72,34.72
05/15/2006,33.13,33.13,33.13,33.13
05/16/2006,32.78,32.78,32.78,32.78
05/17/2006,40.58,40.58,40.58,40.58
05/19/2006,36.69,36.69,36.69,36.69
05/22/2006,38.02,38.02,38.02,38.02
05/23/2006,41.4,41.4,41.4,41.4
05/24/2006,37.47,37.47,37.47,37.47
05/25/2006,35.36,35.36,35.36,35.36
05/26/2006,33.73,33.73,33.73,33.73
05/30/2006,43.99,43.99,43.99,43.99
05/31/2006,38.23,38.23,38.23,38.23
06/01/2006,33.83,33.83,33.83,33.83
06/02/2006,35.32,35.32,35.32,35.32
06/05/2006,40.52,40.52,40.52,40.52
06/06/2006,42.34,42.34,42.34,42.34
06/07/2006,45.21,45.21,45.21,45.21
06/08/2006,46.02,46.02,46.02,46.02
06/09/2006,44.83,44.83,44.83,44.83
06/12/2006,49.86,49.86,49.86,49.86
06/13/2006,52.95,52.95,52.95,52.95
06/14/2006,46.02,46.02,46.02,46.02
06/15/2006,33.14,33.14,33.14,33.14
06/16/2006,38.64,38.64,38.64,38.64
06/19/2006,44.55,44.55,44.55,44.55
06/20/2006,42.07,42.07,42.07,42.07
06/21/2006,37.37,37.37,37.37,37.37
06/22/2006,39.26,39.26,39.26,39.26
06/23/2006,40.26,40.26,40.26,40.26
06/26/2006,37.44,37.44,37.44,37.44
06/27/2006,40.09,40.09,40.09,40.09
06/28/2006,38.89,38.89,38.89,38.89
06/29/2006,31.07,31.07,31.07,31.07
06/30/2006,33.72,33.72,33.72,33.72
07/03/2006,32.92,32.92,32.92,32.92
07/05/2006,36.25,36.25,36.25,36.25
07/06/2006,36.41,36.41,36.41,36.41
07/07/2006,38.71,38.71,38.71,38.71
07/10/2006,37.69,37.69,37.69,37.69
07/11/2006,35.39,35.39,35.39,35.39
07/12/2006,38.65,38.65,38.65,38.65
07/13/2006,45.95,45.95,45.95,45.95
07/14/2006,44.18,44.18,44.18,44.18
07/17/2006,44.9,44.9,44.9,44.9
07/18/2006,41.8,41.8,41.8,41.8
07/19/2006,38.17,38.17,38.17,38.17
07/20/2006,41.1,41.1,41.1,41.1
07/21/2006,46.1,46.1,46.1,46.1
07/24/2006,38.55,38.55,38.55,38.55
07/25/2006,37.97,37.97,37.97,37.97
07/26/2006,37.41,37.41,37.41,37.41
07/27/2006,38.22,38.22,38.22,38.22
07/28/2006,38.07,38.07,38.07,38.07
07/31/2006,38.66,38.66,38.66,38.66
08/01/2006,38.44,38.44,38.44,38.44
08/02/2006,36.41,36.41,36.41,36.41
08/03/2006,36.11,36.11,36.11,36.11
08/04/2006,36.81,36.81,36.81,36.81
08/07/2006,38.47,38.47,38.47,38.47
08/08/2006,39.42,39.42,39.42,39.42
08/09/2006,40.51,40.51,40.51,40.51
08/10/2006,37.68,37.68,37.68,37.68
08/11/2006,38.11,38.11,38.11,38.11
08/14/2006,38.28,38.28,38.28,38.28
08/15/2006,36.96,36.96,36.96,36.96
08/16/2006,33.57,33.57,33.57,33.57
08/17/2006,31.58,31.58,31.58,31.58
08/18/2006,30.43,30.43,30.43,30.43
08/21/2006,32.2,32.2,32.2,32.2
08/22/2006,33.54,33.54,33.54,33.54
08/23/2006,34.26,34.26,34.26,34.26
08/24/2006,34.44,34.44,34.44,34.44
08/25/2006,33.76,33.76,33.76,33.76
08/28/2006,32.75,32.75,32.75,32.75
08/29/2006,32.19,32.19,32.19,32.19
