release_date,release_time,release_type,release_name,scheduled,source,source_url,notes
2015-08-19,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2015-09-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2015-09-16,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2015-10-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2015-10-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2015-11-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2015-11-17,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2015-12-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2015-12-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-01-08,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-01-20,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-02-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-02-19,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-03-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-03-16,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-04-01,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-04-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-05-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-05-17,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-06-03,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-06-16,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-07-08,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-07-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-08-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-08-16,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-09-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-09-16,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-10-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-10-18,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-11-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-11-17,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2016-12-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2016-12-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-01-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-01-18,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-02-03,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-02-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-02-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-03-10,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-03-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-04-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-04-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-05-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-05-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-06-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-06-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-07-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-07-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-08-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-08-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-09-01,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-09-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-10-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-10-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-11-03,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-11-15,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2017-12-08,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2017-12-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-01-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-01-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-02-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-02-14,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-03-09,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-03-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-04-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-04-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-05-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-05-10,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-06-01,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2018-06-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2018-07-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
