signal_date,holiday_date,holiday_name,regular_session,source,notes
2011-01-14,2011-01-17,Martin Luther King Jr. Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-02-18,2011-02-21,Washington's Birthday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-04-21,2011-04-22,Good Friday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-05-27,2011-05-30,Memorial Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-07-01,2011-07-04,Independence Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-09-02,2011-09-05,Labor Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-11-23,2011-11-24,Thanksgiving Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-12-23,2011-12-26,Christmas Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2011-12-30,2012-01-02,New Year's Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-01-13,2012-01-16,Martin Luther King Jr. Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-02-17,2012-02-20,Washington's Birthday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-04-05,2012-04-06,Good Friday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-05-25,2012-05-28,Memorial Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-07-02,2012-07-04,Independence Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-08-31,2012-09-03,Labor Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-11-21,2012-11-22,Thanksgiving Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-12-21,2012-12-25,Christmas Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2012-12-31,2013-01-01,New Year's Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-01-18,2013-01-21,Martin Luther King Jr. Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-02-15,2013-02-18,Washington's Birthday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-03-28,2013-03-29,Good Friday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-05-24,2013-05-27,Memorial Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-07-02,2013-07-04,Independence Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-08-30,2013-09-02,Labor Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-11-27,2013-11-28,Thanksgiving Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-12-23,2013-12-25,Christmas Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2013-12-31,2014-01-01,New Year's Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-01-17,2014-01-20,Martin Luther King Jr. Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-02-14,2014-02-17,Washington's Birthday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-04-17,2014-04-18,Good Friday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-05-23,2014-05-26,Memorial Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-07-02,2014-07-04,Independence Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-08-29,2014-09-01,Labor Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-11-26,2014-11-27,Thanksgiving Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-12-23,2014-12-25,Christmas Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2014-12-31,2015-01-01,New Year's Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2015-01-16,2015-01-19,Martin Luther King Jr. Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2015-02-13,2015-02-16,Washington's Birthday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2015-04-02,2015-04-03,Good Friday,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2015-05-22,2015-05-25,Memorial Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
2015-07-02,2015-07-03,Independence Day,true,deterministic_nyse_holiday_rules,last regular session before full NYSE holiday; early-close sessions excluded to match local RTH cache
