obs_date,obs_month,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION,p_i_chg1,p_i_chg3,p_i_chg6,p_i_mean3,p_i_mean6,p_i_rank12,p_i_z12,p_i_rank24,p_i_z24,p_i_rank60,p_i_z60,p_i_rank120,p_i_z120,p_i_chg1_rank12,p_i_chg1_z12,p_i_chg1_rank24,p_i_chg1_z24,p_i_chg1_rank60,p_i_chg1_z60,p_i_chg3_rank12,p_i_chg3_z12,p_i_chg3_rank24,p_i_chg3_z24,p_i_chg3_rank60,p_i_chg3_z60,p_i_chg6_rank12,p_i_chg6_z12,p_i_chg6_rank24,p_i_chg6_z24,p_i_chg6_rank60,p_i_chg6_z60,eu_h_chg1,eu_h_chg3,eu_h_chg6,eu_h_mean3,eu_h_mean6,eu_h_rank12,eu_h_z12,eu_h_rank24,eu_h_z24,eu_h_rank60,eu_h_z60,eu_h_rank120,eu_h_z120,eu_h_chg1_rank12,eu_h_chg1_z12,eu_h_chg1_rank24,eu_h_chg1_z24,eu_h_chg1_rank60,eu_h_chg1_z60,eu_h_chg3_rank12,eu_h_chg3_z12,eu_h_chg3_rank24,eu_h_chg3_z24,eu_h_chg3_rank60,eu_h_chg3_z60,eu_h_chg6_rank12,eu_h_chg6_z12,eu_h_chg6_rank24,eu_h_chg6_z24,eu_h_chg6_rank60,eu_h_chg6_z60,c_h_chg1,c_h_chg3,c_h_chg6,c_h_mean3,c_h_mean6,c_h_rank12,c_h_z12,c_h_rank24,c_h_z24,c_h_rank60,c_h_z60,c_h_rank120,c_h_z120,c_h_chg1_rank12,c_h_chg1_z12,c_h_chg1_rank24,c_h_chg1_z24,c_h_chg1_rank60,c_h_chg1_z60,c_h_chg3_rank12,c_h_chg3_z12,c_h_chg3_rank24,c_h_chg3_z24,c_h_chg3_rank60,c_h_chg3_z60,c_h_chg6_rank12,c_h_chg6_z12,c_h_chg6_rank24,c_h_chg6_z24,c_h_chg6_rank60,c_h_chg6_z60,so_i_chg1,so_i_chg3,so_i_chg6,so_i_mean3,so_i_mean6,so_i_rank12,so_i_z12,so_i_rank24,so_i_z24,so_i_rank60,so_i_z60,so_i_rank120,so_i_z120,so_i_chg1_rank12,so_i_chg1_z12,so_i_chg1_rank24,so_i_chg1_z24,so_i_chg1_rank60,so_i_chg1_z60,so_i_chg3_rank12,so_i_chg3_z12,so_i_chg3_rank24,so_i_chg3_z24,so_i_chg3_rank60,so_i_chg3_z60,so_i_chg6_rank12,so_i_chg6_z12,so_i_chg6_rank24,so_i_chg6_z24,so_i_chg6_rank60,so_i_chg6_z60,cfnai_chg1,cfnai_chg3,cfnai_chg6,cfnai_mean3,cfnai_mean6,cfnai_rank12,cfnai_z12,cfnai_rank24,cfnai_z24,cfnai_rank60,cfnai_z60,cfnai_rank120,cfnai_z120,cfnai_chg1_rank12,cfnai_chg1_z12,cfnai_chg1_rank24,cfnai_chg1_z24,cfnai_chg1_rank60,cfnai_chg1_z60,cfnai_chg3_rank12,cfnai_chg3_z12,cfnai_chg3_rank24,cfnai_chg3_z24,cfnai_chg3_rank60,cfnai_chg3_z60,cfnai_chg6_rank12,cfnai_chg6_z12,cfnai_chg6_rank24,cfnai_chg6_z24,cfnai_chg6_rank60,cfnai_chg6_z60,cfnai_ma3_chg1,cfnai_ma3_chg3,cfnai_ma3_chg6,cfnai_ma3_mean3,cfnai_ma3_mean6,cfnai_ma3_rank12,cfnai_ma3_z12,cfnai_ma3_rank24,cfnai_ma3_z24,cfnai_ma3_rank60,cfnai_ma3_z60,cfnai_ma3_rank120,cfnai_ma3_z120,cfnai_ma3_chg1_rank12,cfnai_ma3_chg1_z12,cfnai_ma3_chg1_rank24,cfnai_ma3_chg1_z24,cfnai_ma3_chg1_rank60,cfnai_ma3_chg1_z60,cfnai_ma3_chg3_rank12,cfnai_ma3_chg3_z12,cfnai_ma3_chg3_rank24,cfnai_ma3_chg3_z24,cfnai_ma3_chg3_rank60,cfnai_ma3_chg3_z60,cfnai_ma3_chg6_rank12,cfnai_ma3_chg6_z12,cfnai_ma3_chg6_rank24,cfnai_ma3_chg6_z24,cfnai_ma3_chg6_rank60,cfnai_ma3_chg6_z60,diffusion_chg1,diffusion_chg3,diffusion_chg6,diffusion_mean3,diffusion_mean6,diffusion_rank12,diffusion_z12,diffusion_rank24,diffusion_z24,diffusion_rank60,diffusion_z60,diffusion_rank120,diffusion_z120,diffusion_chg1_rank12,diffusion_chg1_z12,diffusion_chg1_rank24,diffusion_chg1_z24,diffusion_chg1_rank60,diffusion_chg1_z60,diffusion_chg3_rank12,diffusion_chg3_z12,diffusion_chg3_rank24,diffusion_chg3_z24,diffusion_chg3_rank60,diffusion_chg3_z60,diffusion_chg6_rank12,diffusion_chg6_z12,diffusion_chg6_rank24,diffusion_chg6_z24,diffusion_chg6_rank60,diffusion_chg6_z60,activity_balance,weakness_score,improvement_score,eligible_date
1967-03-31,1967:03,-0.26,-0.06,-0.01,-0.01,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34,5,0,1967-05-15
1967-04-30,1967:04,0.17,-0.1,0.01,-0.08,0.0,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2,3,1967-06-14
1967-05-31,1967:05,-0.43,0.01,-0.06,-0.08,-0.56,-0.3,-0.17,-0.6,,,-0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,-0.0499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0699999999999999,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.0566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,,,-0.3033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5599999999999999,6,1,1967-07-15
1967-06-30,1967:06,-0.09,0.03,0.08,0.01,0.04,-0.17,-0.15,0.3399999999999999,0.17,,-0.1166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0199999999999999,0.09,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.09,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.02,,-0.0499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6000000000000001,0.3899999999999999,,-0.1733333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1299999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,3,7,1967-08-14
1967-07-31,1967:07,-0.19,0.1,-0.07,-0.16,-0.32,-0.28,-0.23,-0.1,-0.36,,-0.2366666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.2,,0.0466666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.08,,-0.0166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,-0.08,,-0.0766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36,-0.32,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,-0.1833333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32,6,1,1967-09-14
1967-08-31,1967:08,0.6,0.22,-0.02,0.23,1.04,0.25,0.15,0.79,1.03,,0.1066666666666666,-0.0333333333333333,1.0,1.8827575838123676,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.21,,0.1166666666666666,0.0333333333333333,1.0,1.775319349855076,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.0399999999999999,,-0.0033333333333333,-0.0116666666666666,0.5,-0.1684542801323022,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.31,,0.0266666666666666,-0.015,1.0,1.99875169029761,,,,,,,,,,,,,,,,,,,,,,,,,1.36,1.6,,0.2533333333333333,-0.0249999999999999,1.0,2.0508914983659614,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.55,,-0.0666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.32,,-0.0766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1,7,1967-10-15
1967-09-30,1967:09,-0.05,-0.05,0.13,-0.08,-0.05,0.22,0.12,-0.65,0.0399999999999999,0.21,0.12,0.0016666666666666,0.7142857142857143,-0.0458628750358064,,,,,,,0.1666666666666666,-1.2832163676616777,,,,,,,,,,,,,,,,,-0.27,-0.08,0.0099999999999999,0.09,0.035,0.4285714285714285,-0.7029019463944167,,,,,,,0.1666666666666666,-2.041171030355059,,,,,,,,,,,,,,,,,0.15,0.05,0.14,0.0133333333333333,0.0116666666666666,1.0,1.7991684658360318,,,,,,,1.0,1.18003317868462,,,,,,,,,,,,,,,,,-0.31,-0.09,-0.07,-0.0033333333333333,-0.0266666666666666,0.4285714285714285,-0.4813714411460296,,,,,,,0.1666666666666666,-1.3586753594953638,,,,,,,,,,,,,,,,,-1.09,-0.09,0.3,0.2233333333333333,0.025,0.5714285714285714,-0.0445643733345286,,,,,,,0.1666666666666666,-1.4053027784425565,,,,,,,,,,,,,,,,,-0.03,0.39,,0.0633333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,0.27,,0.0133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,4,1,1967-11-14
1967-10-31,1967:10,0.22,0.0,-0.12,-0.07,0.03,0.34,0.18,0.27,0.41,0.0499999999999999,0.2566666666666666,0.01,0.875,0.7374877885021635,,,,,,,0.5714285714285714,0.4020440310555693,,,,,,,,,,,,,,,,,0.05,-0.1,0.1,0.0566666666666666,0.0516666666666666,0.5,-0.1967054530348723,,,,,,,0.5714285714285714,0.3330913809660625,,,,,,,,,,,,,,,,,-0.25,-0.0499999999999999,-0.13,-0.0033333333333333,-0.0099999999999999,0.125,-1.4779939172464396,,,,,,,0.1428571428571428,-1.698592877775082,,,,,,,,,,,,,,,,,0.0099999999999999,0.09,0.0099999999999999,0.0266666666666666,-0.025,0.625,-0.3659114829970786,,,,,,,0.7142857142857143,0.0912915945864367,,,,,,,,,,,,,,,,,0.08,0.35,0.03,0.34,0.03,0.75,0.1138366379178519,,,,,,,0.5714285714285714,0.0342350125914365,,,,,,,,,,,,,,,,,0.12,0.6200000000000001,,0.27,0.01,1.0,1.2425581880385423,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.41,,0.15,-0.0166666666666666,1.0,1.1617865399148235,,,,,,,,,,,,,,,,,,,,,,,,,0.03,2,6,1967-12-15
1967-11-30,1967:11,0.54,0.33,0.1,0.38,1.36,0.45,0.2,0.32,-0.0599999999999999,0.97,0.2366666666666667,0.1716666666666667,0.8888888888888888,1.4505803482321626,,,,,,,0.625,0.4622113945012581,,,,,0.3333333333333333,-0.6078050927875356,,,,,,,,,,,0.33,0.11,0.32,0.0933333333333333,0.105,1.0,2.0828252948982566,,,,,,,1.0,1.7846466947556408,,,,,0.6666666666666666,0.3131934175842423,,,,,,,,,,,0.22,0.12,0.16,0.0366666666666666,0.0166666666666666,0.8888888888888888,1.2047134015631304,,,,,,,1.0,1.3682231747226672,,,,,1.0,1.2818458309732443,,,,,,,,,,,0.45,0.15,0.46,0.0766666666666666,0.0516666666666666,1.0,2.208766728865472,,,,,,,1.0,1.6489750201964324,,,,,0.8333333333333334,0.60210381357386,,,,,,,,,,,1.33,0.32,1.92,0.4466666666666667,0.35,1.0,2.022297348132739,,,,,,,0.875,1.362041899032422,,,,,0.5,-0.0907521979314094,,,,,,,,,,,0.1099999999999999,0.2,0.75,0.3366666666666666,0.135,1.0,1.3000037305027423,,,,,,,0.5,-0.0744513911820506,,,,,,,,,,,,,,,,,0.02,0.05,0.37,0.1666666666666666,0.045,1.0,1.0667210911692304,,,,,,,0.5833333333333334,-0.2795609197750098,,,,,,,,,,,,,,,,,1.35,0,7,1968-01-14
1967-12-31,1967:12,0.34,0.16,0.15,0.36,1.01,0.8,0.49,-0.2,0.39,0.43,0.3666666666666667,0.2433333333333333,0.8,0.7790300778806651,,,,,,,0.3333333333333333,-0.5815452560225794,,,,,0.7142857142857143,0.3878843343395857,,,,,,,,,,,-0.17,0.21,0.13,0.1633333333333333,0.1266666666666666,0.8,0.738374162073791,,,,,,,0.2222222222222222,-1.1877037753352673,,,,,1.0,0.9622582087023492,,,,,,,,,,,0.0499999999999999,0.0199999999999999,0.0699999999999999,0.0433333333333333,0.0283333333333333,1.0,1.5057471264367814,,,,,,,0.5555555555555556,0.2259976599554881,,,,,0.4285714285714285,-0.1077826533898068,,,,,,,,,,,-0.02,0.44,0.35,0.2233333333333333,0.1099999999999999,0.9,1.6527751568675677,,,,,,,0.4444444444444444,-0.2652027164612278,,,,,1.0,1.748719668161738,,,,,,,,,,,-0.3500000000000001,1.06,0.97,0.8000000000000002,0.5116666666666667,0.8,1.247416798265437,,,,,,,0.4444444444444444,-0.6321389218454975,,,,,0.8571428571428571,0.9622997161978196,,,,,,,,,,,0.35,0.5800000000000001,0.97,0.53,0.2966666666666667,1.0,1.754723879402157,,,,,,,0.8571428571428571,0.952548372457772,,,,,,,,,,,,,,,,,0.29,0.37,0.64,0.29,0.1516666666666666,1.0,1.8382646222934005,,,,,,,0.8571428571428571,1.227429067567432,,,,,,,,,,,,,,,,,1.01,0,3,1968-02-14
