session_date,prior_close,prior_rth_return,prior_realized_variance,prior_bipower_variation,prior_jump_variation,prior_jump_share,prior_positive_jump_variation,prior_negative_jump_variation,prior_signed_jump_share,jump_variation_3d_mean,jump_share_3d_mean,jump_share_5d_mean,jump_variation_change_5d,jump_var_rank_252,jump_share_rank_252,jump_var3_rank_252,jump_share3_rank_252,negative_jump_rank_252,positive_jump_rank_252,signed_jump_rank_252,jump_change_rank_252
2011-01-03,1254.0,-0.0003985651654045963,1.5979194255086813e-05,1.2862700819882456e-05,3.1164934352043566e-06,0.19503445451964843,2.3423987960863085e-06,2.344977842412996e-06,-0.0005502110296631473,,,,,,,,,,,,
2011-01-05,1266.75,0.0027706313081337086,2.220513900111408e-05,1.701019697903313e-05,5.194942022080951e-06,0.23395224059711175,3.615228310377393e-06,3.41999783779105e-06,0.027750418888406257,3.492829623434604e-06,0.20556736634181716,,,,,,,,,,
2011-01-07,1272.75,0.008518225039619631,2.8599789646633673e-05,2.5708975777883755e-05,2.8908138687499183e-06,0.10107815142934733,5.103511565895299e-06,2.3799547660904696e-06,0.36394321548074937,3.7340831086784087e-06,0.17668828218203583,,,,,,,,,,
2011-01-10,1267.5,-0.003537735849056589,5.410970939948462e-05,4.878104149145235e-05,5.328667908032267e-06,0.09847896000866384,9.712571883090323e-06,1.4768030936479691e-05,-0.20650876494544443,4.4714745996210456e-06,0.14450311734504098,0.16325184209269256,,,,,,,,,
2011-01-11,1266.25,0.0031689443454150368,4.419657931542065e-05,4.4686120972843666e-05,0.0,0.0,1.161178221416103e-05,1.134811230797596e-05,0.011483933688408308,2.739827258927395e-06,0.06651903714600373,0.12570876131095426,-2.1670534130185046e-06,,,,,,,,
2011-01-12,1270.75,0.00019677292404574054,3.2266889764162216e-05,2.957500425398908e-05,2.6918855101731375e-06,0.08342562700799651,5.427782665235114e-06,7.210400812684576e-06,-0.14105018735990765,2.673517806068468e-06,0.060634862338886784,0.1033869958086239,-4.2460792503121907e-07,,,,,,,,
2011-01-13,1282.25,0.0029331247555728357,2.1767139457800997e-05,1.724079639304399e-05,4.526343064757006e-06,0.2079438629743715,3.89168149169643e-06,2.5963631533755895e-06,0.19964695207587646,2.406076191643381e-06,0.097123163327456,0.09818532028407584,-6.685989573239454e-07,,,,,,,,
2011-01-14,1280.0,-0.0019493177387914784,2.654054447406048e-05,2.0484155933812858e-05,6.056388540247621e-06,0.22819383174926422,4.5036591007466545e-06,5.608882191095664e-06,-0.10929231915627195,4.424872371725921e-06,0.17318777391054407,0.12360845634805921,3.165574671497703e-06,,,,,,,,
2011-01-18,1289.0,0.008607198748043832,3.080215982046077e-05,2.525638677641175e-05,5.5457730440490165e-06,0.18004494088642312,8.673644883328175e-06,3.2752730089563033e-06,0.45178751105634835,5.376168216351215e-06,0.2053942118700196,0.13992165252361105,2.1710513601674923e-07,,,,,,,,
2011-01-19,1291.5,0.0029120559114734768,2.4248150035007983e-05,2.291603690868574e-05,1.3321131263222443e-06,0.05493669102174894,5.382280469310136e-06,3.651657187474233e-06,0.19156909728464064,4.311424903539627e-06,0.15439182121914544,0.15090899072796085,1.3321131263222443e-06,,,,,,,,
