period_end,effective_date,download_url,local_file,total_all,total_ch7,total_ch11,total_ch13,total_other,business_all,business_ch7,business_ch11,business_ch13,business_other,nonbusiness_all,nonbusiness_ch7,nonbusiness_ch11,nonbusiness_ch13,total_all_qoq_pct,total_all_yoy_pct,total_all_z16,total_ch7_qoq_pct,total_ch7_yoy_pct,total_ch7_z16,total_ch11_qoq_pct,total_ch11_yoy_pct,total_ch11_z16,total_ch13_qoq_pct,total_ch13_yoy_pct,total_ch13_z16,business_all_qoq_pct,business_all_yoy_pct,business_all_z16,business_ch11_qoq_pct,business_ch11_yoy_pct,business_ch11_z16,nonbusiness_all_qoq_pct,nonbusiness_all_yoy_pct,nonbusiness_all_z16,business_share_pct,chapter11_share_pct,business_ch11_share_pct,available_quarters_since_start
2010-03-31,2010-05-17,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0310_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2010-03-31.xls,388148.0,282122.0,3733.0,163.0,102094.0,14607.0,10074.0,3293.0,163.0,1043.0,373541.0,272048.0,440.0,101051.0,,,,,,,,,,,,,,,,,,,,,,3.7632552531508603,0.9617465502849429,22.543985760251932,1
2010-06-30,2010-08-16,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0610_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2010-06-30.xls,422061.0,309680.0,3370.0,194.0,108798.0,14452.0,10311.0,2859.0,194.0,1071.0,407609.0,299369.0,511.0,107727.0,8.73713119737831,,,9.768114503654445,,,-9.724082507366727,,,19.018404907975462,,,-1.0611350722256496,,,-13.179471606437899,,,9.120283984890554,,,3.424149589751244,0.7984627814462839,19.78272903404373,2
2010-09-30,2010-11-15,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0910_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2010-09-30.xls,412380.0,289813.0,3440.0,202.0,118904.0,13957.0,9807.0,2916.0,202.0,1011.0,398423.0,280006.0,524.0,117893.0,-2.2937442691933208,,,-6.415331955567039,,,2.0771513353115667,,,4.123711340206193,,,-3.425131469692777,,,1.9937040923399874,,,-2.253630317289368,,,3.384499733255735,0.8341820650856006,20.89274199326503,3
2010-12-31,2011-02-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/1210_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2010-12-31.xls,370080.0,257668.0,3148.0,164.0,109046.0,13030.0,9142.0,2682.0,164.0,989.0,357050.0,248526.0,466.0,108057.0,-10.257529463116544,,,-11.091634950813113,,,-8.488372093023255,,,-18.811881188118807,,,-6.641828473167588,,,-8.024691358024693,,,-10.384189667765165,,,3.520860354517942,0.8506268914829226,20.583269378357635,4
2011-03-31,2011-05-16,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0311_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2011-03-31.xls,366178.0,260953.0,3063.0,181.0,101955.0,12376.0,8615.0,2605.0,181.0,949.0,353802.0,252338.0,458.0,101006.0,-1.0543666234327675,-5.660212084050409,,1.2748963782852396,-7.503491397338735,,-2.7001270648030484,-17.94803107420305,,10.365853658536594,11.042944785276077,,-5.019186492709138,-15.273499007325253,,-2.870991797166289,-20.89280291527482,,-0.9096765158941311,-5.284292755012165,,3.379777048320762,0.8364784339856571,21.048804137039433,5
2011-06-30,2011-08-15,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0611_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2011-06-30.xls,379790.0,274428.0,3008.0,166.0,102167.0,12304.0,8669.0,2567.0,166.0,881.0,367486.0,265759.0,441.0,101286.0,3.717317807186671,-10.01537692418868,,5.163765122455,-11.383363471971064,,-1.7956252040483234,-10.74183976261127,,-8.287292817679559,-14.432989690721653,,-0.5817711700064621,-14.862994741212287,,-1.4587332053742852,-10.213361315145153,,3.8677000130016292,-9.843501983518522,,3.2396850891282023,0.7920166407751653,20.863133940182056,6
2011-09-30,2011-11-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0911_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2011-09-30.xls,348635.0,241965.0,2696.0,161.0,103802.0,11705.0,8388.0,2245.0,161.0,902.0,336930.0,233577.0,451.0,102900.0,-8.203217567603149,-15.457830156651632,,-11.829332283877736,-16.509956420174387,,-10.372340425531911,-21.627906976744182,,-3.0120481927710885,-20.297029702970292,,-4.8683355006502005,-16.13527262305653,,-12.543825477210756,-23.01097393689986,,-8.314874580256115,-15.434098935051443,,3.357379494313537,0.7733015904886199,19.17983767620675,7
2011-12-31,2012-02-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/1211_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2011-12-31.xls,313775.0,213238.0,2723.0,127.0,97675.0,11149.0,7858.0,2313.0,127.0,839.0,302626.0,205380.0,410.0,96836.0,-9.99899608473045,-15.214277993947256,,-11.872378236521808,-17.24311905242405,,1.0014836795252169,-13.500635324015253,,-21.118012422360245,-22.560975609756095,,-4.750106791969245,-14.435917114351493,,3.0289532293986676,-13.758389261744963,,-10.181343305731161,-15.242683097605381,,3.5531830133057127,0.86781929726715,20.7462552695309,8
2012-03-31,2012-05-15,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0312_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2012-03-31.xls,322973.0,227678.0,2885.0,152.0,92173.0,10998.0,7387.0,2464.0,152.0,910.0,311975.0,220291.0,421.0,91263.0,2.9313998884550996,-11.798906542719656,-1.6141174792355462,6.771776137461427,-12.751338363613375,-1.3780855109407677,5.9493206022769085,-5.811296114920017,-0.7880359296751412,19.685039370078748,-16.022099447513817,-0.8196734639466706,-1.35438155888421,-11.13445378151261,-1.621596967618114,6.5283182014699515,-5.4126679462572,-0.6964223280421892,3.0892917330302083,-11.822149111650015,-1.6063776799331373,3.405238208766677,0.8932635235762743,22.404073467903256,9
2012-06-30,2012-08-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0612_f23.xls,/private/tmp/uscourts_bankruptcy/f2_2012-06-30.xls,325693.0,230755.0,2581.0,142.0,92188.0,10374.0,7145.0,2225.0,142.0,836.0,315319.0,223610.0,356.0,91352.0,0.8421756617426279,-14.243924273940866,-1.2615176964736092,1.3514700585915307,-15.914192429343943,-1.0746580490806958,-10.537261698440204,-14.195478723404253,-1.6543634482725504,-6.578947368421051,-14.457831325301207,-1.217952653010903,-5.6737588652482245,-15.685955786736017,-1.829255438315671,-9.699675324675328,-13.32294507206856,-1.4177247540090427,1.071880759676258,-14.195642827209742,-1.2351099188825063,3.1852081561470467,0.7924640689238025,21.44785039521882,10
2012-09-30,2012-11-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0912_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2012-09-30.xls,298224.0,202336.0,2364.0,118.0,93386.0,9248.0,6357.0,2020.0,118.0,735.0,288976.0,195979.0,344.0,92651.0,-8.434016082629958,-14.459535043813732,-1.8889791806266376,-12.31565946566705,-16.377988552063314,-1.9424125113584492,-8.407593955831071,-12.314540059347179,-2.0145406142121476,-16.901408450704224,-26.708074534161486,-2.19366478703043,-10.85405822247928,-20.991029474583513,-2.2995593049495224,-9.213483146067414,-10.022271714922049,-1.869256978833511,-8.354396658621898,-14.232629923129437,-1.8652181821843168,3.101024733086539,0.7926927410268791,21.842560553633216,11
2012-12-31,2013-02-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/1212_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2012-12-31.xls,273878.0,182562.0,2479.0,98.0,88730.0,9231.0,6288.0,2131.0,98.0,706.0,264647.0,176274.0,348.0,88024.0,-8.163662213638068,-12.715162138475023,-2.192961832863359,-9.772853076071486,-14.385803656008777,-2.2134213856932448,4.864636209813877,-8.960705104663969,-1.3452966478539314,-16.94915254237288,-22.83464566929134,-2.557635717700137,-0.18382352941176405,-17.20333662211857,-1.8121950445594959,5.4950495049505,-7.868568958063127,-1.235043320079352,-8.419038259232604,-12.549813961787814,-2.2033846339098777,3.3704788263387346,0.9051475474481337,23.085256201928285,12
2013-03-31,2013-05-15,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0313_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2013-03-31.xls,272296.0,189083.0,2345.0,103.0,80737.0,8512.0,5703.0,1990.0,103.0,689.0,263784.0,183380.0,355.0,80048.0,-0.5776294554509676,-15.690785297842236,-1.810015628920619,3.5719372048947706,-16.95157195688648,-1.6071831504035414,-5.405405405405405,-18.71750433275563,-1.5368960566631287,5.102040816326525,-32.23684210526315,-1.7991756987633938,-7.788971942368105,-22.604109838152386,-1.9435355469465616,-6.6166119192867185,-19.237012987012992,-1.5107051979923591,-0.32609476018998773,-15.44707107941341,-1.8004369951145287,3.126009930369891,0.8611951699621001,23.37875939849624,13
2013-06-30,2013-08-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0613_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2013-06-30.xls,293188.0,204593.0,2403.0,107.0,86063.0,8874.0,5989.0,2028.0,107.0,728.0,284314.0,198604.0,375.0,85335.0,7.6725328319182,-9.980257481738942,-1.1118286039057386,8.202746941819195,-11.337565816558692,-1.0065398367149176,2.473347547974414,-6.896551724137934,-1.2190003976092787,3.8834951456310662,-24.647887323943664,-1.4194554791226486,4.252819548872178,-14.459224985540775,-1.4563438577436423,1.9095477386934734,-8.853932584269664,-1.2359930123268805,7.782882964850035,-9.832899381261518,-1.0951799171263028,3.0267268783169845,0.8196106252643356,22.853279242731574,14
2013-09-30,2013-11-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0913_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2013-09-30.xls,267967.0,177490.0,2317.0,97.0,88039.0,8119.0,5314.0,1983.0,97.0,701.0,259848.0,172176.0,334.0,87338.0,-8.602330245439783,-10.145729384623635,-1.558196989077887,-13.247276299775656,-12.279574569033691,-1.6437823790727424,-3.5788597586350446,-1.9881556683587154,-1.3207492871453752,-9.345794392523366,-17.796610169491522,-1.58758309074255,-8.508000901510027,-12.208044982698961,-1.6856825569944505,-2.2189349112425982,-1.8316831683168333,-1.2507523366926754,-8.605274450079836,-10.07972980455124,-1.5498095110266907,3.0298506905701075,0.8646587079752358,24.42419017120335,15
2013-12-31,2014-02-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/1213_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2013-12-31.xls,238138.0,157416.0,1901.0,,88.0,78710.0,7556.0,5221.0,1641.0,88.0,584.0,230582.0,152195.0,260.0,-11.131594562016966,-13.049606028961803,-1.999870481623012,-11.309932953969238,-13.773950767410525,-1.960883103189121,-17.95425118687959,-23.31585316659943,-2.1738140395981214,,,,869.4543663012686,752.670349907919,32.03986428694321,163.2879475542108,145.00234631628342,7.342993929360595,-99.77525322496228,-99.77932869067097,-6.858393485807857,33.05226381341911,0.7982766295173386,6.633210519629018,16
2014-03-31,2014-05-15,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0314_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2014-03-31.xls,238708.0,160292.0,1925.0,96.0,76375.0,6992.0,4633.0,1635.0,96.0,609.0,231716.0,155659.0,290.0,75766.0,0.23935701148074529,-12.335105914152244,-1.721311445311211,1.827006149311372,-15.226646499156459,-1.6384852967919332,1.2624934245134112,-17.910447761194025,-1.7987559833419569,,-6.796116504854366,-1.4487153701732527,-91.11675771820607,-17.85714285714286,-0.5157581499488059,-68.68416012258189,-17.839195979899504,-1.2457905120771193,39577.397260273974,-12.156916264822737,-0.8089977168153496,2.9291016639576384,0.8064245856862778,23.38386727688787,17
2014-06-30,2014-08-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0614_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2014-06-30.xls,254859.0,174523.0,2166.0,113.0,78037.0,7283.0,4733.0,1842.0,113.0,576.0,247576.0,169790.0,324.0,77461.0,6.766007004373553,-13.073181712757687,-1.1963483522360114,8.878172335487733,-14.697472543048884,-1.1067706291873496,12.519480519480531,-9.862671660424471,-1.1142363048311816,17.708333333333325,5.607476635514019,-0.7748906554738482,4.1618993135011495,-17.928780707685377,-0.46552472387072463,12.66055045871559,-9.171597633136097,-0.831690985327329,6.844585613423337,-12.921628903254856,-0.5386006102903185,2.8576585484522816,0.84988169929255,25.291775367293695,18
2014-09-30,2014-11-14,https://www.uscourts.gov/sites/default/files/statistics_import_dir/0914_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2014-09-30.xls,231741.0,149952.0,1645.0,74.0,80053.0,6355.0,4344.0,1363.0,74.0,557.0,225386.0,145608.0,282.0,79496.0,-9.070898025967299,-13.518828811010309,-1.5438044224352647,-14.078946614486343,-15.515240295227905,-1.635430586574695,-24.053554939981538,-29.003021148036257,-2.228753881447251,-34.51327433628318,-23.71134020618557,-1.8488654763533265,-12.742001922284773,-21.726813647000863,-0.4913481275600077,-26.004343105320306,-31.26575895108421,-1.347276176391519,-8.962904320289521,-13.26236876943444,-0.7039448997590497,2.7422855688031036,0.7098441794934862,21.447678992918963,19
2014-12-31,2015-02-16,https://www.uscourts.gov/sites/default/files/statistics_import_dir/1214_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2014-12-31.xls,210590.0,133598.0,1482.0,77.0,75420.0,6219.0,4381.0,1238.0,77.0,510.0,204371.0,129217.0,244.0,74910.0,-9.126999538277648,-11.568082372405918,-1.8744800402433672,-10.906156636790442,-15.130609340854805,-1.9226300811660089,-9.90881458966565,-22.041031036296687,-2.360880064781553,4.054054054054057,,-1.5912700300398563,-2.1400472069236787,-92.09884385719731,-0.46771613313050253,-9.170946441672779,-76.28806742003448,-1.3336311805865868,-9.32400415287551,34895.03424657534,-0.8600420592006367,2.9531316776675056,0.7037371195213448,19.906737417591252,20
2015-03-31,2015-05-15,https://www.uscourts.gov/sites/default/files/0315_f2q_0.xls,/private/tmp/uscourts_bankruptcy/f2_2015-03-31.xls,213081.0,138141.0,1743.0,89.0,73076.0,6159.0,3986.0,1496.0,89.0,558.0,206922.0,134155.0,247.0,72518.0,1.1828671826772386,-10.735710575263502,-1.5819302313062817,3.400500007485152,-13.819155042048259,-1.541152524816476,17.61133603238867,-9.45454545454546,-1.406892587721182,15.58441558441559,-7.2916666666666625,-1.0012615634526414,-0.9647853352629077,-11.913615560640734,-0.44313067135553247,20.840064620355413,-8.501529051987767,-0.8717295719972329,1.2482201486512245,-10.700167446356746,-0.7241593862171807,2.890450110521351,0.8179987891928422,24.28965741191752,21
2015-06-30,2015-08-14,https://www.uscourts.gov/sites/default/files/0615_f23_0.xls,/private/tmp/uscourts_bankruptcy/f2_2015-06-30.xls,223377.0,146245.0,1775.0,116.0,75223.0,6166.0,4054.0,1474.0,116.0,504.0,217211.0,142191.0,301.0,74719.0,4.831965308967012,-12.352712676421085,-1.194973845301762,5.866469766398108,-16.20302195126144,-1.1670585374906963,1.8359150889271314,-18.05170821791321,-1.1862996552516556,30.337078651685403,2.6548672566371723,0.04723238228609043,0.11365481409320033,-15.337086365508723,-0.4173708177543959,-1.4705882352941124,-19.978284473398478,-0.8045830245500037,4.972405060844176,-12.264920670824308,-0.49934228079711435,2.7603558110279933,0.7946207532557067,23.90528705806033,22
2015-09-30,2015-11-16,https://www.uscourts.gov/sites/default/files/0915_f2q_0.xls,/private/tmp/uscourts_bankruptcy/f2_2015-09-30.xls,212906.0,131895.0,2027.0,100.0,78868.0,6338.0,3973.0,1724.0,100.0,525.0,206568.0,127922.0,303.0,78343.0,-4.6875909337129595,-8.127607976145779,-1.3756089726211118,-9.812301275257273,-12.041853393085788,-1.5394409907366053,14.197183098591548,23.22188449848024,-0.4569366214788597,-13.793103448275868,35.13513513513513,-0.45878969312750306,2.7894907557573845,-0.2675059008654612,-0.3827585375213546,16.960651289009498,26.485693323550997,-0.43335452654498374,-4.899843930556003,-8.349231984240369,-0.548466028221477,2.9769006040224326,0.9520633519017783,27.2010097822657,23
2016-03-31,2016-05-16,https://www.uscourts.gov/sites/default/files/0316_f2q.xls,/private/tmp/uscourts_bankruptcy/f2_2016-03-31.xls,201906.0,126430.0,1878.0,122.0,73430.0,6227.0,3885.0,1596.0,122.0,578.0,195679.0,122545.0,282.0,72852.0,-5.166599344311573,-4.123652595089988,-1.5493767474454008,-4.143447439250925,-5.365349780685335,-1.5693321042252883,-7.350764676862354,26.72064777327936,-0.7503614376175667,21.999999999999996,58.44155844155845,0.7041502542823243,-1.7513411170716364,0.12863804470171214,-0.36807238810449755,-7.424593967517401,28.91760904684977,-0.5397636808125995,-5.271387630223456,-4.253049600970781,-0.6106215167090647,3.084108446504809,0.9301358057710023,25.630319576039827,24
2016-06-30,2016-08-15,https://www.uscourts.gov/sites/default/files/data_tables/bf_f2.3_0630.2016.xls,/private/tmp/uscourts_bankruptcy/f2_2016-06-30.xls,208871.0,132538.0,2298.0,135.0,73845.0,6537.0,3760.0,1996.0,135.0,591.0,202334.0,128778.0,302.0,73254.0,3.449625073053797,-1.9757744707411762,-1.1858595220912391,4.831131851617498,-4.056000752853972,-1.1826539803508993,22.364217252396166,31.84165232358003,0.48017844903228896,10.655737704918034,51.685393258426956,1.3595224342746575,4.97832021840372,6.13735996103264,-0.33081686943194655,25.062656641604008,33.42245989304813,-0.03484389903100328,3.4009781325538224,-2.217260610278271,-0.432059672267687,3.129682914334685,1.1002006022856214,30.533884044668806,25
2016-09-30,2016-11-14,https://www.uscourts.gov/sites/default/files/data_tables/bf_f2.3_0930.2016.xlsx,/private/tmp/uscourts_bankruptcy/f2_2016-09-30.xlsx,199417.0,120549.0,1551.0,99.0,77191.0,5597.0,3639.0,1272.0,99.0,560.0,193820.0,116910.0,279.0,76631.0,-4.526238683206385,-10.726260984792525,-1.340847550036977,-9.045707646109037,-17.570515231289964,-1.4760481514049624,-32.5065274151436,-12.619718309859152,-1.6672538590078623,-26.66666666666667,-14.655172413793105,-0.3676875533784112,-14.37968487073581,-9.22802465131366,-0.36803624775016053,-36.272545090180365,-13.704206241519678,-0.8256269674312967,-4.207893878438618,-10.768791635782716,-0.4741232495112831,2.8066814765040093,0.7777671913628226,22.726460603894942,26
2016-12-31,2017-02-14,https://www.uscourts.gov/sites/default/files/data_tables/bf_f2.3_1231.2016.xlsx,/private/tmp/uscourts_bankruptcy/f2_2016-12-31.xlsx,184019.0,110356.0,1542.0,105.0,71958.0,5666.0,3697.0,1287.0,105.0,519.0,178353.0,106659.0,255.0,71439.0,-7.721508196392479,-13.567959569011679,-1.760185791882889,-8.455482832707029,-16.330414344743925,-1.7930355617638687,-0.5802707930367523,-23.926985693142576,-1.508221839466266,6.060606060606055,5.000000000000004,0.1308308064429222,1.2328032874754369,-10.602713789839068,-0.3454556141933478,1.1792452830188704,-25.34802784222738,-0.7285682626990779,-7.980084614590854,-13.658940397350994,-0.6247252272791693,3.079029882783843,0.8379569500975443,22.714436992587363,27
