trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,price_reference,level_reference,prev_rth_high,current_close,close_above_prev_rth_high_points,min_close_above_prev_high_ticks,hour_window_minutes,hour_window_start_timestamp,hour_window_end_timestamp,hour_open,hour_close,hour_return_points,hour_return_ticks,hour_signed_volume_delta,hour_volume,hour_delta_ratio,min_negative_hour_ticks,min_hour_delta,positive_delta_dislocation_signal_timestamp,positive_delta_dislocation_intended_entry_timestamp,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,positive_delta_dislocation,2011-01-14,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1283.0,1287.5,4.5,1.0,60,2011-01-14 14:30:00-05:00,2011-01-14 15:30:00-05:00,1288.25,1287.5,-0.75,-3.0,6099.0,105314.0,0.0579125282488558,1.0,500.0,2011-01-14 15:30:00-05:00,2011-01-14 15:30:00-05:00,16:00:00,1283.0,2011-01-14 14:30:00-05:00,1287.75,1287.25,2011-01-14 15:30:00-05:00,2011-01-14 15:30:00-05:00,1288.0,1088.0,1488.0,200.0,1,1.5,1.0,fixed_contracts,2011-01-14 16:00:00-05:00,1288.75,eod_flatten,37.5,32.5,0.00375,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,positive_delta_dislocation,2011-04-20,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1309.0,1327.0,18.0,1.0,60,2011-04-20 10:30:00-04:00,2011-04-20 11:30:00-04:00,1327.5,1327.0,-0.5,-2.0,608.0,198257.0,0.0030667265216360582,1.0,500.0,2011-04-20 11:30:00-04:00,2011-04-20 11:30:00-04:00,16:00:00,1309.0,2011-04-20 10:30:00-04:00,1327.25,1326.0,2011-04-20 11:30:00-04:00,2011-04-20 11:30:00-04:00,1327.25,1127.25,1527.25,200.0,1,1.5,3.5,fixed_contracts,2011-04-20 16:00:00-04:00,1326.75,eod_flatten,-25.0,-30.0,-0.0025,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,positive_delta_dislocation,2011-04-26,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1334.0,1343.25,9.25,1.0,60,2011-04-26 14:30:00-04:00,2011-04-26 15:30:00-04:00,1344.0,1343.25,-0.75,-3.0,4572.0,85076.0,0.05374018524613287,1.0,500.0,2011-04-26 15:30:00-04:00,2011-04-26 15:30:00-04:00,16:00:00,1334.0,2011-04-26 14:30:00-04:00,1343.5,1343.25,2011-04-26 15:30:00-04:00,2011-04-26 15:30:00-04:00,1343.75,1143.75,1543.75,200.0,1,0.0,1.25,fixed_contracts,2011-04-26 16:00:00-04:00,1343.25,eod_flatten,-25.0,-30.0,-0.0025,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,positive_delta_dislocation,2011-05-27,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1327.5,1331.25,3.75,1.0,60,2011-05-27 11:30:00-04:00,2011-05-27 12:30:00-04:00,1331.75,1331.25,-0.5,-2.0,3829.0,131018.0,0.029224991985834007,1.0,500.0,2011-05-27 12:30:00-04:00,2011-05-27 12:30:00-04:00,16:00:00,1327.5,2011-05-27 11:30:00-04:00,1331.5,1331.0,2011-05-27 12:30:00-04:00,2011-05-27 12:30:00-04:00,1331.5,1131.5,1531.5,200.0,1,0.5,4.5,fixed_contracts,2011-05-27 16:00:00-04:00,1329.75,eod_flatten,-87.5,-92.5,-0.00875,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,positive_delta_dislocation,2011-05-31,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1333.75,1336.5,2.75,1.0,60,2011-05-31 10:30:00-04:00,2011-05-31 11:30:00-04:00,1337.75,1336.5,-1.25,-5.0,5553.0,267221.0,0.020780552426643114,1.0,500.0,2011-05-31 11:30:00-04:00,2011-05-31 11:30:00-04:00,16:00:00,1333.75,2011-05-31 10:30:00-04:00,1337.0,1336.5,2011-05-31 11:30:00-04:00,2011-05-31 11:30:00-04:00,1337.0,1137.0,1537.0,200.0,1,7.25,3.75,fixed_contracts,2011-05-31 16:00:00-04:00,1343.75,eod_flatten,337.5,332.5,0.03375,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,positive_delta_dislocation,2011-06-09,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1286.5,1291.75,5.25,1.0,60,2011-06-09 14:30:00-04:00,2011-06-09 15:30:00-04:00,1292.25,1291.75,-0.5,-2.0,8711.0,120693.0,0.07217485686825251,1.0,500.0,2011-06-09 15:30:00-04:00,2011-06-09 15:30:00-04:00,16:00:00,1286.5,2011-06-09 14:30:00-04:00,1292.0,1291.25,2011-06-09 15:30:00-04:00,2011-06-09 15:30:00-04:00,1292.0,1092.0,1492.0,200.0,1,0.25,4.0,fixed_contracts,2011-06-09 16:00:00-04:00,1288.25,eod_flatten,-187.5,-192.5,-0.01875,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,positive_delta_dislocation,2011-06-14,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1277.25,1281.5,4.25,1.0,60,2011-06-14 10:30:00-04:00,2011-06-14 11:30:00-04:00,1282.0,1281.5,-0.5,-2.0,36775.0,379353.0,0.09694137122943539,1.0,500.0,2011-06-14 11:30:00-04:00,2011-06-14 11:30:00-04:00,16:00:00,1277.25,2011-06-14 10:30:00-04:00,1281.5,1281.25,2011-06-14 11:30:00-04:00,2011-06-14 11:30:00-04:00,1281.75,1081.75,1481.75,200.0,1,5.25,1.25,fixed_contracts,2011-06-14 16:00:00-04:00,1282.25,eod_flatten,25.0,20.0,0.0025,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,positive_delta_dislocation,2011-06-29,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1292.0,1296.75,4.75,1.0,60,2011-06-29 09:30:00-04:00,2011-06-29 10:30:00-04:00,1297.5,1296.75,-0.75,-3.0,7837.0,443575.0,0.017667812658513218,1.0,500.0,2011-06-29 10:30:00-04:00,2011-06-29 10:30:00-04:00,16:00:00,1292.0,2011-06-29 09:30:00-04:00,1296.75,1295.75,2011-06-29 10:30:00-04:00,2011-06-29 10:30:00-04:00,1297.0,1097.0,1497.0,200.0,1,8.0,0.75,fixed_contracts,2011-06-29 16:00:00-04:00,1303.0,eod_flatten,300.0,295.0,0.03,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,positive_delta_dislocation,2011-07-07,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1336.75,1346.75,10.0,1.0,60,2011-07-07 09:30:00-04:00,2011-07-07 10:30:00-04:00,1347.0,1346.75,-0.25,-1.0,8149.0,313946.0,0.02595669318927459,1.0,500.0,2011-07-07 10:30:00-04:00,2011-07-07 10:30:00-04:00,16:00:00,1336.75,2011-07-07 09:30:00-04:00,1347.0,1346.5,2011-07-07 10:30:00-04:00,2011-07-07 10:30:00-04:00,1347.0,1147.0,1547.0,200.0,1,5.75,1.5,fixed_contracts,2011-07-07 16:00:00-04:00,1349.25,eod_flatten,112.5,107.5,0.01125,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,positive_delta_dislocation,2011-07-21,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1326.75,1335.75,9.0,1.0,60,2011-07-21 11:30:00-04:00,2011-07-21 12:30:00-04:00,1336.75,1335.75,-1.0,-4.0,853.0,168570.0,0.005060212374681142,1.0,500.0,2011-07-21 12:30:00-04:00,2011-07-21 12:30:00-04:00,16:00:00,1326.75,2011-07-21 11:30:00-04:00,1336.0,1335.5,2011-07-21 12:30:00-04:00,2011-07-21 12:30:00-04:00,1336.0,1136.0,1536.0,200.0,1,7.5,0.5,fixed_contracts,2011-07-21 16:00:00-04:00,1340.0,eod_flatten,200.0,195.0,0.02,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
11,positive_delta_dislocation,2011-10-24,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1235.75,1248.75,13.0,1.0,60,2011-10-24 11:30:00-04:00,2011-10-24 12:30:00-04:00,1249.0,1248.75,-0.25,-1.0,2135.0,221837.0,0.009624183522135623,1.0,500.0,2011-10-24 12:30:00-04:00,2011-10-24 12:30:00-04:00,16:00:00,1235.75,2011-10-24 11:30:00-04:00,1248.75,1248.25,2011-10-24 12:30:00-04:00,2011-10-24 12:30:00-04:00,1249.0,1049.0,1449.0,200.0,1,3.5,4.25,fixed_contracts,2011-10-24 16:00:00-04:00,1249.25,eod_flatten,12.5,7.5,0.00125,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,positive_delta_dislocation,2011-12-27,long,positive_delta_dislocation_pdh_negative_hour_positive_delta_long,pdh_negative_hour_positive_delta_long,sierra_rolling_60m_trade_delta_at_previous_rth_high,current_signal_bar_close,previous_rth_high,1260.25,1261.5,1.25,1.0,60,2011-12-27 12:30:00-05:00,2011-12-27 13:30:00-05:00,1262.25,1261.5,-0.75,-3.0,658.0,27030.0,0.0243433222345542,1.0,500.0,2011-12-27 13:30:00-05:00,2011-12-27 13:30:00-05:00,16:00:00,1260.25,2011-12-27 12:30:00-05:00,1261.5,1261.25,2011-12-27 13:30:00-05:00,2011-12-27 13:30:00-05:00,1261.5,1061.5,1461.5,200.0,1,2.0,1.5,fixed_contracts,2011-12-27 16:00:00-05:00,1260.25,eod_flatten,-62.5,-67.5,-0.00625,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
