variant_id,run_dir,terminal_stage,decision,core_profitable_rate,core_profitable_iterations,core_combinations,core_benchmark_passing,core_top_net,core_top_pf,core_top_trades,core_top_mar,core_top_failure,monkey_net_beat_rate,monkey_drawdown_beat_rate,monkey_profitable_rate,monkey_median_net,monkey_core_net,monkey_core_trades,failure_reason
high_bank_credit_growth_long_1000,backtest-campaigns/nq_bank_credit_supply_state/high_bank_credit_growth_long_1000/NQ/run1,limited_core_grid_test,FAIL,0.0,0,27,0,-2465.0,0.8324838600067958,137,-0.9620546303550748,min_total_net_profit,,,,,,,limited_core_grid_test failed: profitable_iteration_rate=0.0 below 0.7; benchmark_passing=0/27; top_net=-2465.0; top_pf=0.8324838600067958; top_trades=137; top_failure=min_total_net_profit
high_loans_leases_growth_long_1030,backtest-campaigns/nq_bank_credit_supply_state/high_loans_leases_growth_long_1030/NQ/run1,limited_monkey_test,FAIL,0.8148148148148148,22,27,10,2545.0,1.1696666666666666,145,1.3885728385885308,,0.800625,0.800125,0.301,-1970.0,1142.5,212,limited_monkey_test failed: core_beats_monkey_net_profit_rate=0.800625 below 0.9; core_beats_monkey_max_drawdown_rate=0.800125 below 0.9; monkey_profitable_rate=0.301; monkey_median_net=-1970.0; core_net=1142.5; core_trades=212
high_ci_loans_growth_long_1130,backtest-campaigns/nq_bank_credit_supply_state/high_ci_loans_growth_long_1130/NQ/run1,limited_core_grid_test,FAIL,0.5185185185185185,14,27,9,3287.5,1.1571838393497489,201,1.2043236577752066,,,,,,,,limited_core_grid_test failed: profitable_iteration_rate=0.5185185185185185 below 0.7; benchmark_passing=9/27; top_net=3287.5; top_pf=1.1571838393497489; top_trades=201; top_failure=
high_deposits_growth_long_1200,backtest-campaigns/nq_bank_credit_supply_state/high_deposits_growth_long_1200/NQ/run1,limited_core_grid_test,FAIL,0.0,0,27,0,-1550.0,0.8620382732532266,130,-0.3743275548875169,min_total_net_profit,,,,,,,limited_core_grid_test failed: profitable_iteration_rate=0.0 below 0.7; benchmark_passing=0/27; top_net=-1550.0; top_pf=0.8620382732532266; top_trades=130; top_failure=min_total_net_profit
high_total_assets_growth_long_1330,backtest-campaigns/nq_bank_credit_supply_state/high_total_assets_growth_long_1330/NQ/run1,limited_core_grid_test,FAIL,0.0,0,27,0,-1217.5,0.875,125,-0.4066287625030678,min_total_net_profit,,,,,,,limited_core_grid_test failed: profitable_iteration_rate=0.0 below 0.7; benchmark_passing=0/27; top_net=-1217.5; top_pf=0.875; top_trades=125; top_failure=min_total_net_profit
