wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.rank_min,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,11,False,22,0.65,0.006,1.5,349,349,349,0,0,0,0,0,0,0,349,88.33219365130543,-1642.5,0.9604693140794224,0.00721121297101934,8647.5,0.05534754224270353,-0.002782860256645203,-0.050279744029863724,0.4584527220630373,0,0,False,-580.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,12,False,15,0.6,0.006,2.5,389,389,389,0,0,0,0,0,0,0,389,97.51024794767007,-2127.5,0.9527432252332296,0.0036564956302094307,9677.5,0.061789682032945985,-0.00357437303198771,-0.057847409379479735,0.455012853470437,0,0,False,-580.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,13,False,1,0.55,0.004,1.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-2117.5,0.9560502283105022,0.005723523531610534,9050.0,0.05866528376494992,-0.0035574823521778987,-0.06064033315566006,0.44419642857142855,0,0,False,-390.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,14,False,13,0.6,0.006,1.5,389,389,389,0,0,0,0,0,0,0,389,97.51024794767007,-2472.5,0.9447053561444705,0.003369887513334312,9692.5,0.06201612387228869,-0.0041576263365256105,-0.06704105443751227,0.45758354755784064,0,0,False,-580.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,15,False,3,0.55,0.004,2.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-2377.5,0.9508425514318205,0.005599393735260793,8720.0,0.05632802028325501,-0.0039969184720044515,-0.07095790783885655,0.4419642857142857,0,0,False,-390.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,16,False,27,0.65,0.008,2.5,349,349,349,0,0,0,0,0,0,0,349,88.33219365130543,-3387.5,0.9242762937297418,-0.003947641077178391,10020.0,0.0643307705888962,-0.0057647106535320125,-0.08961047101971181,0.4584527220630373,0,0,False,-770.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,17,False,25,0.65,0.008,1.5,349,349,349,0,0,0,0,0,0,0,349,88.33219365130543,-3465.0,0.9225438694534481,-0.0038038354660320807,10172.5,0.06527842394879117,-0.005897755855390985,-0.09034770600493641,0.4584527220630373,0,0,False,-770.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,18,False,18,0.6,0.008,2.5,389,389,389,0,0,0,0,0,0,0,389,97.51024794767007,-4217.5,0.9119519832985387,-0.0058941093781742756,10930.0,0.07021150171032135,-0.007123464341148966,-0.1014572280555821,0.45758354755784064,0,0,False,-770.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,19,False,26,0.65,0.008,2.0,349,349,349,0,0,0,0,0,0,0,349,88.33219365130543,-3920.0,0.9123728624119817,-0.0062686952157552656,10045.0,0.06470209339774557,-0.0066799217794372145,-0.10324120022475138,0.4584527220630373,0,0,False,-770.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,20,False,16,0.6,0.008,1.5,389,389,389,0,0,0,0,0,0,0,389,97.51024794767007,-4295.0,0.9103340292275575,-0.00576509097640034,10867.5,0.0698728561554659,-0.0072558005641905066,-0.10384290786749113,0.45758354755784064,0,0,False,-770.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,21,False,17,0.6,0.008,2.0,389,389,389,0,0,0,0,0,0,0,389,97.51024794767007,-4750.0,0.9008350730688935,-0.007976494710727824,10955.0,0.0706022621080785,-0.008033807926204117,-0.11378966744586598,0.45758354755784064,0,0,False,-770.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,22,False,5,0.55,0.006,2.0,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-5620.0,0.8924401913875598,-0.011780314744383078,11630.0,0.07520450063047625,-0.009526525242502304,-0.12667493517856998,0.4419642857142857,0,0,False,-580.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,23,False,6,0.55,0.006,2.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-6282.5,0.8797607655502392,-0.015268447835026674,11492.5,0.07470181026357697,-0.010667747796403337,-0.142804408069408,0.4419642857142857,0,0,False,-580.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,24,False,4,0.55,0.006,1.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-6627.5,0.8724131292713447,-0.015517310686509756,11972.5,0.07775360436420314,-0.011263606440699792,-0.144862820608808,0.44419642857142855,0,0,False,-580.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,25,False,7,0.55,0.008,1.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-8885.0,0.8400971834788086,-0.020651439595945478,13787.5,0.08985157790123657,-0.015189343947390022,-0.16904927328138752,0.44419642857142855,0,0,False,-770.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,26,False,9,0.55,0.008,2.5,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-8807.5,0.8414919463691173,-0.020763466734985792,12962.5,0.08488867059593976,-0.015053796114769646,-0.1773357505670453,0.44419642857142855,0,0,False,-770.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
3,2013-01-03,2017-01-03,2017-01-03,2018-01-03,MAR,f7da25e53b867b6ec193727ef715d42f96e50c4a4a32cd59c3d63dab1bc28b6a,2a701d0030cf00ec66e34caaa7dffe3fa16157b128fa8303d30cd97f85b39ee7,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,27,False,8,0.55,0.008,2.0,448,448,448,0,0,0,0,0,0,0,448,112.29972000142979,-9340.0,0.8319085755421578,-0.02257160935633251,13370.0,0.08762903490086843,-0.0159862679944085,-0.1824311772061987,0.44419642857142855,0,0,False,-770.0,0.0,12,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;preferred_min_total_trades;min_positive_month_rate
