campaign_id,variant_id,run_id,path,exists
es_nyfed_rrp_liquidity_state,rrp_drain_short_1000,run1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1000/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_drain_short_1000,rescue1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1000/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_drain_short_1330,run1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1330/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_drain_short_1330,rescue1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1330/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_drain_short_1500,run1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1500/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_drain_short_1500,rescue1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_drain_short_1500/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_release_long_1000,run1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_release_long_1000/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_release_long_1000,rescue1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_release_long_1000/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_release_long_1330,run1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_release_long_1330/ES/run1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
es_nyfed_rrp_liquidity_state,rrp_release_long_1330,rescue1,backtest-campaigns/es_nyfed_rrp_liquidity_state/rrp_release_long_1330/ES/rescue1/limited_core_grid_test/fixed_config_core_trade_log.csv,True
