wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.term_spread_rank_min,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,1,True,54,0.6,0.005,0.006,2.0,161,161,161,0,0,0,0,0,0,0,161,41.1217137179603,13820.0,1.550926848714371,0.13134283900312496,2675.0,0.01720644518058727,0.022765698576304283,1.3230913380056617,0.4782608695652174,0,0,True,-835.0,0.11903039073806078,5,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,2,False,52,0.6,0.005,0.006,1.0,161,161,161,0,0,0,0,0,0,0,161,41.12191341237899,11950.0,1.545413053400274,0.11192341082135561,2520.0,0.016513517112797974,0.01977111720421032,1.1972687023098008,0.5093167701863354,0,0,True,-835.0,0.07112970711297072,5,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,3,False,43,0.6,0.0025,0.006,1.0,184,184,184,0,0,0,0,0,0,0,184,46.767792602429516,11435.0,1.4216445427728615,0.09546736671792698,2585.0,0.017233333333333333,0.018848823943807824,1.0937422017683458,0.5108695652173914,0,0,True,-855.0,0.07564494971578486,5,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,4,False,53,0.6,0.005,0.006,1.5,161,161,161,0,0,0,0,0,0,0,161,41.12189344284984,10887.5,1.4340243173211082,0.1053046947362203,2675.0,0.017277571451638947,0.01805809143937176,1.0451753297572832,0.4782608695652174,0,0,True,-835.0,0.11756601607347876,5,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,5,False,81,0.65,0.005,0.006,2.0,140,140,140,0,0,0,0,0,0,0,140,35.758011928661126,12930.0,1.6054788105830016,0.13170865340237856,3435.0,0.0229,0.021343615851320275,0.9320356266952085,0.4857142857142857,0,0,True,-835.0,0.12722351121423048,4,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,6,False,27,0.55,0.005,0.006,2.0,188,188,188,0,0,0,0,0,0,0,188,47.85059537117422,11575.0,1.3825181758096496,0.09279344283882565,3375.0,0.0224245041692967,0.019099969438396425,0.8517454519484012,0.4574468085106383,0,0,True,-835.0,0.14211663066954644,6,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,7,False,79,0.65,0.005,0.006,1.0,140,140,140,0,0,0,0,0,0,0,140,35.75818557598173,11405.0,1.6103826598876103,0.1126518781832993,3435.0,0.0229,0.01889348908969546,0.825043191689758,0.5142857142857142,0,0,True,-835.0,0.07452871547566857,4,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,8,False,80,0.65,0.005,0.006,1.5,140,140,140,0,0,0,0,0,0,0,140,35.758168211173775,10467.5,1.4901662374151252,0.10838243455426175,3435.0,0.0229,0.017378622996468085,0.7588918339069033,0.4857142857142857,0,0,True,-835.0,0.12228325770241223,4,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,9,False,25,0.55,0.005,0.006,1.0,188,188,188,0,0,0,0,0,0,0,188,47.850826932606545,10005.0,1.3693926527598301,0.07919503897680233,3375.0,0.022390287590805056,0.016570456447033033,0.7400734081610442,0.48404255319148937,0,0,True,-835.0,0.08495752123938032,6,False,preferred_min_total_trades
5,2015-01-03,2019-01-03,2019-01-03,2020-01-03,MAR,4ed832f68826ac6421a8731253d1e507f4efe6cf2629b5cba96059af2215c718,2d5708fa34e0b8c9c91b46ba3ca242eebccc62290b5a5cb941c45760053dd825,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,692eaa307db06856e35b495888a7d687068b948dbfa7069ac0045050ed7889ff,10,False,16,0.55,0.0025,0.006,1.0,217,217,217,0,0,0,0,0,0,0,217,54.96424995701904,9725.0,1.2924372274845888,0.07154247261027467,3350.0,0.022270234336047863,0.016038597299616875,0.7201808951626473,0.4930875576036866,0,0,True,-865.0,0.08894601542416453,6,False,preferred_min_total_trades
