trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,setup_mode,feature_method,share_mode,lookback_minutes,rank_window,configured_direction,share_rank,share_value,es_return_ticks,share_rank_min,min_abs_return_ticks,crowding_signal_timestamp,crowding_intended_entry_timestamp,signal_stop_pct,signal_target_r_multiple,signal_flatten_time,swept_level,sweep_timestamp,sweep_high,sweep_low,reclaim_timestamp,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
1,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",1,mes_participation_crowding,2023-08-25,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.8253968253968254,0.0850770257364477,-61.0,0.75,4.0,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,0.006,2.0,12:00:00,4391.25,2023-08-25 10:29:00-04:00,4393.75,4390.0,2023-08-25 10:30:00-04:00,2023-08-25 10:30:00-04:00,4391.5,4371.5,4441.5,20.0,1,2.75,20.5,fixed_contracts,2023-08-25 10:49:00-04:00,4371.25,stop,-1012.5,-1017.5,-1.0125,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
2,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",2,mes_participation_crowding,2023-09-13,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.8690476190476191,0.0877435119234141,-35.0,0.75,4.0,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,0.006,2.0,12:00:00,4513.75,2023-09-13 10:29:00-04:00,4514.75,4513.0,2023-09-13 10:30:00-04:00,2023-09-13 10:30:00-04:00,4514.25,4493.75,4565.5,20.5,1,14.75,1.0,fixed_contracts,2023-09-13 12:00:00-04:00,4525.0,eod_flatten,537.5,532.5,0.524390243902439,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
3,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",3,mes_participation_crowding,2023-10-18,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.7658730158730159,0.0794481506172503,-18.0,0.75,4.0,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,0.006,2.0,12:00:00,4376.0,2023-10-18 10:29:00-04:00,4382.25,4375.5,2023-10-18 10:30:00-04:00,2023-10-18 10:30:00-04:00,4376.25,4356.5,4425.625,19.75,1,2.0,14.0,fixed_contracts,2023-10-18 12:00:00-04:00,4365.25,eod_flatten,-550.0,-555.0,-0.5569620253164557,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
4,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",4,mes_participation_crowding,2024-02-26,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.8492063492063492,0.0690632842705012,-11.0,0.75,4.0,2024-02-26 10:30:00-05:00,2024-02-26 10:30:00-05:00,0.006,2.0,12:00:00,5100.0,2024-02-26 10:29:00-05:00,5101.0,5099.75,2024-02-26 10:30:00-05:00,2024-02-26 10:30:00-05:00,5100.25,5077.25,5157.75,23.0,1,3.5,9.75,fixed_contracts,2024-02-26 12:00:00-05:00,5097.75,eod_flatten,-125.0,-130.0,-0.10869565217391304,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
5,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",5,mes_participation_crowding,2024-04-11,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.8134920634920635,0.0675392165627354,-84.0,0.75,4.0,2024-04-11 10:30:00-04:00,2024-04-11 10:30:00-04:00,0.006,2.0,12:00:00,5186.5,2024-04-11 10:29:00-04:00,5189.25,5186.0,2024-04-11 10:30:00-04:00,2024-04-11 10:30:00-04:00,5187.0,5163.5,5245.75,23.5,1,29.5,1.5,fixed_contracts,2024-04-11 12:00:00-04:00,5215.0,eod_flatten,1400.0,1395.0,1.1914893617021276,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
6,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",6,mes_participation_crowding,2024-04-15,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.9285714285714286,0.0716945634824857,-94.0,0.75,4.0,2024-04-15 10:30:00-04:00,2024-04-15 10:30:00-04:00,0.006,2.0,12:00:00,5185.5,2024-04-15 10:29:00-04:00,5186.0,5182.0,2024-04-15 10:30:00-04:00,2024-04-15 10:30:00-04:00,5185.75,5162.25,5244.5,23.5,1,4.0,18.5,fixed_contracts,2024-04-15 12:00:00-04:00,5182.5,eod_flatten,-162.5,-167.5,-0.13829787234042554,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
7,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",7,mes_participation_crowding,2024-04-16,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.8690476190476191,0.0690133408118417,-53.0,0.75,4.0,2024-04-16 10:30:00-04:00,2024-04-16 10:30:00-04:00,0.006,2.0,12:00:00,5089.0,2024-04-16 10:29:00-04:00,5094.0,5089.0,2024-04-16 10:30:00-04:00,2024-04-16 10:30:00-04:00,5089.25,5066.25,5146.75,23.0,1,22.0,7.75,fixed_contracts,2024-04-16 12:00:00-04:00,5099.75,eod_flatten,525.0,520.0,0.45652173913043476,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
8,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",8,mes_participation_crowding,2024-04-17,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.9761904761904762,0.0789004494119243,-38.0,0.75,4.0,2024-04-17 10:30:00-04:00,2024-04-17 10:30:00-04:00,0.006,2.0,12:00:00,5100.25,2024-04-17 10:29:00-04:00,5101.0,5099.0,2024-04-17 10:30:00-04:00,2024-04-17 10:30:00-04:00,5100.5,5077.5,5158.0,23.0,1,1.0,23.5,fixed_contracts,2024-04-17 11:29:00-04:00,5077.25,stop,-1162.5,-1167.5,-1.0108695652173914,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
9,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",9,mes_participation_crowding,2024-04-22,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.9603174603174603,0.0752729806510598,-46.0,0.75,4.0,2024-04-22 10:30:00-04:00,2024-04-22 10:30:00-04:00,0.006,2.0,12:00:00,5016.25,2024-04-22 10:29:00-04:00,5017.5,5015.25,2024-04-22 10:30:00-04:00,2024-04-22 10:30:00-04:00,5016.5,4993.75,5073.375,22.75,1,9.25,10.5,fixed_contracts,2024-04-22 12:00:00-04:00,5025.5,eod_flatten,450.0,445.0,0.3956043956043956,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
10,1,2019-05-06,2023-05-06,2023-05-06,2024-05-06,MAR,0.03531515429029064,"{'entry.params.share_rank_min': 0.75, 'entry.params.min_abs_return_ticks': 4, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 2.5}",10,mes_participation_crowding,2024-04-30,long,mes_participation_morning_notional_down_reversal_long,morning_notional_down_reversal_long,completed_bar_mes_participation_crowding,notional,30,252,long,0.7619047619047619,0.0663459325030835,-35.0,0.75,4.0,2024-04-30 10:30:00-04:00,2024-04-30 10:30:00-04:00,0.006,2.0,12:00:00,5128.5,2024-04-30 10:29:00-04:00,5133.75,5128.5,2024-04-30 10:30:00-04:00,2024-04-30 10:30:00-04:00,5128.75,5105.5,5186.875,23.25,1,10.25,23.5,fixed_contracts,2024-04-30 11:42:00-04:00,5105.25,stop,-1175.0,-1180.0,-1.010752688172043,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
