campaign_id,variant_id,run_id,stage,parameter_source,equity_curve_csv,net_profit,max_drawdown
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling30_full_session_notional_two_sided/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3116.25,3956.25
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_notional_two_sided,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling30_full_session_notional_two_sided/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-5270.0,5270.0
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling30_full_session_trade_large10_two_sided/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-690.0,2318.75
es_mes_footprint_liquidity_sweep_reversion,rolling30_full_session_trade_large10_two_sided,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling30_full_session_trade_large10_two_sided/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-1896.25,2678.75
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling45_full_session_trade_large10_two_sided/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,985.0,2590.0
es_mes_footprint_liquidity_sweep_reversion,rolling45_full_session_trade_large10_two_sided,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling45_full_session_trade_large10_two_sided/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,985.0,2590.0
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling45_midday_notional_two_sided/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-3158.75,3265.0
es_mes_footprint_liquidity_sweep_reversion,rolling45_midday_notional_two_sided,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling45_midday_notional_two_sided/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-5116.25,5116.25
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,rescue1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling60_midday_notional_two_sided/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-4351.25,4351.25
es_mes_footprint_liquidity_sweep_reversion,rolling60_midday_notional_two_sided,run1,limited_core_grid_test,strategy section in effective config,backtest-campaigns/es_mes_footprint_liquidity_sweep_reversion/rolling60_midday_notional_two_sided/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,-5466.25,5595.0
