sampling_category,trade_id,review_reason,session_date,direction,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,r_multiple,check_error_count,check_warning_count,check_flags
first_trade,1,first chronological sample,2026-05-01,long,2026-05-01 12:53:45.797055789-04:00,7270.75,7267.0,7279.25,2026-05-01 13:20:27.473191001-04:00,7279.0,target,2.2,0,0,
last_trade,18,last chronological sample,2026-05-29,short,2026-05-29 10:00:09.593752053-04:00,7608.25,7610.5,7602.25,2026-05-29 10:00:46.476637235-04:00,7610.75,stop,-1.1111111111111112,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
random_trades,6,random sample,2026-05-08,short,2026-05-08 10:17:00.322852651-04:00,7413.5,7417.75,7407.25,2026-05-08 10:21:25.091905261-04:00,7418.0,stop,-1.0588235294117647,0,0,
random_trades,9,random sample,2026-05-13,short,2026-05-13 12:59:20.608932725-04:00,7464.25,7468.25,7442.0,2026-05-13 13:00:58.409329497-04:00,7468.5,stop,-1.0625,0,0,
random_trades,13,random sample,2026-05-20,long,2026-05-20 10:14:04.523934875-04:00,7384.0,7376.25,7391.25,2026-05-20 10:14:33.296744617-04:00,7391.0,target,0.9032258064516129,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
random_trades,15,random sample,2026-05-26,long,2026-05-26 12:26:13.317936003-04:00,7529.75,7526.0,7540.0,2026-05-26 12:43:26.565458009-04:00,7525.75,stop,-1.0666666666666667,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
random_trades,17,random sample,2026-05-28,short,2026-05-28 10:46:40.494109147-04:00,7558.0,7562.75,7541.75,2026-05-28 10:53:42.423981513-04:00,7563.0,stop,-1.0526315789473684,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
best_trade,1,best R sample,2026-05-01,long,2026-05-01 12:53:45.797055789-04:00,7270.75,7267.0,7279.25,2026-05-01 13:20:27.473191001-04:00,7279.0,target,2.2,0,0,
best_trade,7,best R sample,2026-05-11,short,2026-05-11 10:26:11.335794511-04:00,7439.75,7442.5,7432.25,2026-05-11 10:29:05.022863051-04:00,7432.5,target,2.6363636363636362,0,0,
best_trade,10,best R sample,2026-05-14,short,2026-05-14 12:06:08.117195007-04:00,7539.0,7540.5,7519.0,2026-05-14 12:34:02.389332407-04:00,7519.25,target,13.166666666666666,0,0,
worst_trade,12,worst R sample,2026-05-19,long,2026-05-19 10:06:05.971204383-04:00,7378.5,7376.5,7385.5,2026-05-19 10:06:10.702361801-04:00,7376.25,stop,-1.125,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
worst_trade,15,worst R sample,2026-05-26,long,2026-05-26 12:26:13.317936003-04:00,7529.75,7526.0,7540.0,2026-05-26 12:43:26.565458009-04:00,7525.75,stop,-1.0666666666666667,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
worst_trade,18,worst R sample,2026-05-29,short,2026-05-29 10:00:09.593752053-04:00,7608.25,7610.5,7602.25,2026-05-29 10:00:46.476637235-04:00,7610.75,stop,-1.1111111111111112,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,11,exit-path mismatch or warning flag,2026-05-15,short,2026-05-15 10:29:20.247547465-04:00,7450.75,7456.25,7441.5,2026-05-15 10:30:10.426925531-04:00,7456.5,stop,-1.0454545454545454,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,12,exit-path mismatch or warning flag,2026-05-19,long,2026-05-19 10:06:05.971204383-04:00,7378.5,7376.5,7385.5,2026-05-19 10:06:10.702361801-04:00,7376.25,stop,-1.125,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,13,exit-path mismatch or warning flag,2026-05-20,long,2026-05-20 10:14:04.523934875-04:00,7384.0,7376.25,7391.25,2026-05-20 10:14:33.296744617-04:00,7391.0,target,0.9032258064516129,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,14,exit-path mismatch or warning flag,2026-05-21,long,2026-05-21 11:10:51.306759257-04:00,7415.25,7408.0,7420.5,2026-05-21 11:13:31.595488179-04:00,7420.25,target,0.6896551724137931,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,15,exit-path mismatch or warning flag,2026-05-26,long,2026-05-26 12:26:13.317936003-04:00,7529.75,7526.0,7540.0,2026-05-26 12:43:26.565458009-04:00,7525.75,stop,-1.0666666666666667,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,16,exit-path mismatch or warning flag,2026-05-27,long,2026-05-27 10:34:43.111830137-04:00,7535.5,7525.25,7538.5,2026-05-27 10:36:14.906474663-04:00,7538.25,target,0.2682926829268293,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,17,exit-path mismatch or warning flag,2026-05-28,short,2026-05-28 10:46:40.494109147-04:00,7558.0,7562.75,7541.75,2026-05-28 10:53:42.423981513-04:00,7563.0,stop,-1.0526315789473684,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
warnings,18,exit-path mismatch or warning flag,2026-05-29,short,2026-05-29 10:00:09.593752053-04:00,7608.25,7610.5,7602.25,2026-05-29 10:00:46.476637235-04:00,7610.75,stop,-1.1111111111111112,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
strategy_edge_cases,1,sweep and reclaim on same bar,2026-05-01,long,2026-05-01 12:53:45.797055789-04:00,7270.75,7267.0,7279.25,2026-05-01 13:20:27.473191001-04:00,7279.0,target,2.2,0,0,
strategy_edge_cases,2,sweep and reclaim on same bar,2026-05-04,short,2026-05-04 10:08:18.223168853-04:00,7252.0,7257.0,7250.0,2026-05-04 10:08:18.256847783-04:00,7250.25,target,0.35,0,0,
strategy_edge_cases,5,sweep and reclaim on same bar,2026-05-07,short,2026-05-07 10:09:43.753446965-04:00,7394.75,7397.5,7391.25,2026-05-07 10:15:59.153435691-04:00,7391.5,target,1.1818181818181819,0,0,
strategy_edge_cases,6,sweep and reclaim on same bar,2026-05-08,short,2026-05-08 10:17:00.322852651-04:00,7413.5,7417.75,7407.25,2026-05-08 10:21:25.091905261-04:00,7418.0,stop,-1.0588235294117647,0,0,
strategy_edge_cases,7,sweep and reclaim on same bar,2026-05-11,short,2026-05-11 10:26:11.335794511-04:00,7439.75,7442.5,7432.25,2026-05-11 10:29:05.022863051-04:00,7432.5,target,2.6363636363636362,0,0,
strategy_edge_cases,8,sweep and reclaim on same bar,2026-05-12,long,2026-05-12 10:05:06.318951057-04:00,7399.25,7391.0,7405.75,2026-05-12 10:14:32.751804029-04:00,7405.5,target,0.7575757575757576,0,0,
strategy_edge_cases,9,sweep and reclaim on same bar,2026-05-13,short,2026-05-13 12:59:20.608932725-04:00,7464.25,7468.25,7442.0,2026-05-13 13:00:58.409329497-04:00,7468.5,stop,-1.0625,0,0,
strategy_edge_cases,11,sweep and reclaim on same bar,2026-05-15,short,2026-05-15 10:29:20.247547465-04:00,7450.75,7456.25,7441.5,2026-05-15 10:30:10.426925531-04:00,7456.5,stop,-1.0454545454545454,0,2,WARNING:orderflow_fields_present; WARNING:tick_window_present
