campaign_id,variant_id,test_run_id,rescue_attempt,status,fixed_config_core_equity_curve
es_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,run1,none,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/curve_1d_signed_rate_confirmation_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/curve_1d_signed_rate_confirmation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,run1,none,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_1d_large10_rate_confirmation_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_1d_large10_rate_confirmation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,run1,none,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_1d_signed_rate_confirmation_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_1d_signed_rate_confirmation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,run1,none,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_5d_signed_rate_confirmation_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/teny_5d_signed_rate_confirmation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,run1,none,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/twoy_1d_signed_rate_confirmation_1530/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv
es_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,written,backtest-campaigns/es_treasury_rate_orderflow_confirmation/twoy_1d_signed_rate_confirmation_1530/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv
