campaign_id,variant_id,test_run_id,rescue_attempt,status,terminal_stage,note
es_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,curve_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_1d_large10_rate_confirmation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,teny_5d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,run1,none,not_reached,limited_core_grid_test,no run reached Monte Carlo
es_treasury_rate_orderflow_confirmation,twoy_1d_signed_rate_confirmation_1530,rescue1,parameter_space_rescue_1,not_reached,limited_core_grid_test,no run reached Monte Carlo
