wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,1,True,25,0.35,4,0.006,1.5,235,235,235,0,0,0,0,0,0,0,235,59.19313822680057,26725.0,1.4468876719200703,0.08268093869465933,3860.0,0.02332608170171622,0.04216373587219979,1.8075790186869487,0.5404255319148936,0,0,True,-1705.0,0.09897100093545369,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,2,False,26,0.35,4,0.006,2.0,235,235,235,0,0,0,0,0,0,0,235,59.19313822680057,26400.0,1.4414531165085072,0.08200190561245976,3860.0,0.023121733531006185,0.04168065059904302,1.8026611431685855,0.5404255319148936,0,0,True,-1705.0,0.0978219696969697,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,3,False,27,0.35,4,0.006,2.5,235,235,235,0,0,0,0,0,0,0,235,59.19313822680057,25468.75,1.4258810250407592,0.07928721908318356,3860.0,0.02325143627314414,0.040292728111208875,1.7329135128631927,0.5404255319148936,0,0,True,-1705.0,0.10360736196319019,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,4,False,16,0.35,3,0.006,1.5,244,244,244,0,0,0,0,0,0,0,244,61.46010947803974,27380.0,1.4388523801891329,0.08110684562323649,5077.5,0.030411475802587445,0.043135322558722544,1.4183896512859313,0.5368852459016393,0,0,True,-1705.0,0.09660336011687363,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,5,False,17,0.35,3,0.006,2.0,244,244,244,0,0,0,0,0,0,0,244,61.46010947803974,27055.0,1.4336432120532137,0.08045285884324924,5077.5,0.030147397170805564,0.042653573662863264,1.4148343693222232,0.5368852459016393,0,0,True,-1705.0,0.09545370541489559,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,6,False,8,0.35,2,0.006,2.0,250,250,250,0,0,0,0,0,0,0,250,62.97142364553252,26437.5,1.409645554909936,0.07746874784632082,5077.5,0.030181445321207256,0.041736425172226754,1.3828504476192296,0.54,0,0,True,-1705.0,0.09768321513002363,5,True,
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,7,False,18,0.35,3,0.006,2.5,244,244,244,0,0,0,0,0,0,0,244,61.46010947803974,26123.75,1.4187169418175989,0.07783830419415126,5077.5,0.030315016456083525,0.041269504315224026,1.361355167826148,0.5368852459016393,0,0,True,-1705.0,0.1010096176850567,5,False,preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,8,False,9,0.35,2,0.006,2.5,250,250,250,0,0,0,0,0,0,0,250,62.97142364553252,25506.25,1.3952159597133449,0.0749169425088012,5077.5,0.03034944449010393,0.0403487239605429,1.3294715813892226,0.54,0,0,True,-1705.0,0.10345503553050722,5,True,
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,9,False,7,0.35,2,0.006,1.5,250,250,250,0,0,0,0,0,0,0,250,62.97142364553252,26762.5,1.4146813867906256,0.07810703894358839,5493.75,0.03286005876679452,0.04221943370143233,1.2848252646491176,0.54,0,0,True,-1705.0,0.09883232134516581,5,True,
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,10,False,79,0.55,4,0.006,1.5,175,175,175,0,0,0,0,0,0,0,175,44.32453517097907,22243.75,1.476796527517282,0.08619497099541626,5107.5,0.031208707275157534,0.03564331976314983,1.1420953597626997,0.5542857142857143,0,0,True,-1705.0,0.1189098061253161,5,False,min_trades_per_year;preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,11,False,52,0.45,4,0.006,1.5,193,193,193,0,0,0,0,0,0,0,193,48.88363021713691,20928.75,1.4142051358171293,0.07483159134465468,5260.0,0.032075860018751574,0.033634965580370935,1.048606820228917,0.5440414507772021,0,0,True,-1705.0,0.12638117422206296,5,False,min_trades_per_year;preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,12,False,61,0.55,2,0.006,1.5,186,186,186,0,0,0,0,0,0,0,186,47.110648810297754,24451.25,1.497634069400631,0.08905083933361436,6355.0,0.038315158001040024,0.03898916571691946,1.0175911506318502,0.5591397849462365,0,0,True,-1705.0,0.10817442871018865,5,False,min_trades_per_year;preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,13,False,80,0.55,4,0.006,2.0,175,175,175,0,0,0,0,0,0,0,175,44.32453517097907,21387.5,1.4584427415465409,0.08242598371360543,5642.5,0.03428267638793955,0.034336904903943255,1.0015818052065149,0.5542857142857143,0,0,True,-1705.0,0.12074810052600818,5,False,min_trades_per_year;preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,14,False,70,0.55,3,0.006,1.5,183,183,183,0,0,0,0,0,0,0,183,46.35079963593811,23003.75,1.46817441742139,0.0847954325597566,6355.0,0.038451938858089355,0.036798825918068934,0.9570083332827144,0.5519125683060109,0,0,True,-1705.0,0.11498125305656687,5,False,min_trades_per_year;preferred_min_total_trades
3,2021-05-06,2025-05-06,2025-05-06,2026-05-06,MAR,3e28c6d75cb66a82a1eb665acff2d6e8a416ae1f2c30a4ed566a075db6e627d5,48b60121b4c534287188cdcce84f41b58c5df2aa2d6b11d31f85a439981972c0,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,34cffd2984b7db065a544c8c814160a5f4538a097329ed4f917736524c1c5031,15,False,62,0.55,2,0.006,2.0,186,186,186,0,0,0,0,0,0,0,186,47.110648810297754,23595.0,1.4802075913300092,0.08550474914911495,6667.5,0.03997481901164621,0.03769514547846753,0.9429722612999318,0.5591397849462365,0,0,True,-1705.0,0.10945115490570036,5,False,min_trades_per_year;preferred_min_total_trades
