campaign_id,variant_id,test_run_id,equity_curve_path,exists
es_low_toxicity_orderflow_extension_fade,three_slot_down_extension_fade_long,rescue1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/three_slot_down_extension_fade_long/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,three_slot_down_extension_fade_long,run1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/three_slot_down_extension_fade_long/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,three_slot_up_extension_fade_short,rescue1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/three_slot_up_extension_fade_short/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,three_slot_up_extension_fade_short,run1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/three_slot_up_extension_fade_short/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,rescue1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_late_balanced_extension_fade/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_late_balanced_extension_fade,run1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_late_balanced_extension_fade/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,rescue1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_midday_balanced_extension_fade/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_midday_balanced_extension_fade,run1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_midday_balanced_extension_fade/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,rescue1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_morning_balanced_extension_fade/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_low_toxicity_orderflow_extension_fade,two_slot_morning_balanced_extension_fade,run1,backtest-campaigns/es_low_toxicity_orderflow_extension_fade/two_slot_morning_balanced_extension_fade/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
