run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
31,52588.59375,2588.59375,2588.59375,,,3494.6875,-1230.0,1882.5,0.03803606607061676,7,True,trailing_drawdown,True,True,False,7,7,0,4,4,3,3638.4375,3274.59375,686.0
32,51300.625,1300.625,1300.625,52367.5,funded,3817.5,-1230.0,1882.5,0.03584348819497334,4,True,trailing_drawdown,True,True,False,8,7,0,4,4,2,2316.25,2084.625,784.0
33,56698.640625,6698.640625,6698.640625,50812.5,challenge,4081.40625,-1230.0,1882.5,0.034992332357451555,5,True,trailing_drawdown,True,True,False,7,6,0,3,3,6,8205.15625,7384.640625,686.0
34,56887.4140625,6887.4140625,6887.4140625,50870.0,challenge,3458.28125,-1230.0,1882.5,0.03503303247417884,5,True,trailing_drawdown,True,True,False,6,4,1,3,3,8,8306.015625,7475.4140625,588.0
35,55917.3125,5917.3125,5917.3125,51520.625,funded,3634.375,-1230.0,1882.5,0.035183627698345946,7,True,trailing_drawdown,True,True,True,6,5,0,3,3,7,7228.125,6505.3125,588.0
36,53997.6875,3997.6875,3997.6875,52551.25,challenge,3901.875,-1230.0,1882.5,0.03705708661417323,8,True,trailing_drawdown,True,True,True,9,8,0,4,4,5,5421.875,4879.6875,882.0
37,58643.890625,8643.890625,8643.890625,49832.5,funded,3997.5,-1230.0,1882.5,0.034668508287292815,5,True,trailing_drawdown,True,True,False,6,4,1,3,3,8,10257.65625,9231.890625,588.0
38,50111.375,111.375,111.375,49662.5,funded,2930.0,-1230.0,1863.75,0.03703795707472178,6,True,trailing_drawdown,True,True,False,9,8,0,7,7,1,1103.75,993.375,882.0
39,59598.625,9598.625,9598.625,50077.5,challenge,5510.0,-1230.0,1882.5,0.03681251527743828,12,True,trailing_drawdown,True,True,True,8,6,1,3,3,8,11536.25,10382.625,784.0
40,57036.28125,7036.28125,7036.28125,50530.0,challenge,4008.4375,-1230.0,1882.5,0.03559610475560178,5,True,trailing_drawdown,True,True,False,7,5,1,3,3,5,8580.3125,7722.28125,686.0
41,52782.8125,2782.8125,2782.8125,52145.0,challenge,3681.25,-1230.0,1882.5,0.035239610632721824,8,True,trailing_drawdown,True,True,True,8,7,0,4,4,4,3963.125,3566.8125,784.0
42,55520.5,5520.5,5520.5,54941.875,funded,3283.125,-1230.0,1882.5,0.03477738777018289,6,True,trailing_drawdown,True,True,True,8,7,0,4,4,5,7005.0,6304.5,784.0
43,52692.375,2692.375,2692.375,51345.0,funded,3985.0,-1230.0,1882.5,0.03468607489981114,7,True,trailing_drawdown,True,True,True,7,6,0,5,5,4,3753.75,3378.375,686.0
44,58122.90625,8122.90625,8122.90625,51115.0,challenge,5250.0,-1230.0,1882.5,0.035400310281604064,6,True,trailing_drawdown,True,True,True,8,6,1,2,2,8,9896.5625,8906.90625,784.0
45,56123.0625,6123.0625,6123.0625,51962.5,challenge,5803.125,-1230.0,1882.5,0.03497120564740851,7,True,trailing_drawdown,True,True,True,7,6,0,4,4,5,7565.625,6809.0625,686.0
46,55036.4375,5036.4375,5036.4375,48670.0,funded,4393.125,-1230.0,1882.5,0.03557592365113862,6,True,trailing_drawdown,True,True,False,6,5,0,4,4,4,6249.375,5624.4375,588.0
47,53974.34375,3974.34375,3974.34375,52311.25,funded,3915.9375,-1230.0,1882.5,0.03516719596487951,7,True,trailing_drawdown,True,True,False,9,8,0,5,5,3,5395.9375,4856.34375,882.0
48,58478.6875,8478.6875,8478.6875,49785.0,challenge,3822.5,-1230.0,1882.5,0.034380421879280434,7,True,trailing_drawdown,True,True,True,8,6,1,4,4,6,10291.875,9262.6875,784.0
49,59501.828125,9501.828125,9501.828125,,,4254.6875,-1230.0,1882.5,0.03691176470588235,6,True,trailing_drawdown,True,True,False,5,4,1,2,2,8,11102.03125,9991.828125,490.0
50,54593.5,4593.5,4593.5,53236.25,funded,3721.25,-1230.0,1882.5,0.03580599144079886,6,True,trailing_drawdown,True,True,True,8,7,0,4,4,5,5975.0,5377.5,784.0
51,54330.96875,4330.96875,4330.96875,49590.0,challenge,4012.1875,-1230.0,1882.5,0.03650024236548716,6,True,trailing_drawdown,True,True,True,9,8,0,4,4,4,5792.1875,5212.96875,882.0
52,58011.109375,8011.109375,8011.109375,52057.5,challenge,4451.25,-1230.0,1882.5,0.03443072702331962,9,True,trailing_drawdown,True,True,True,8,6,1,3,3,6,9772.34375,8795.109375,784.0
53,59357.59375,9357.59375,9357.59375,51232.8125,funded,5227.5,-1230.0,1882.5,0.03521653727434291,5,True,trailing_drawdown,True,True,True,8,7,0,3,3,7,11268.4375,10141.59375,784.0
54,56331.0625,6331.0625,6331.0625,51856.25,challenge,4030.0,-1230.0,1882.5,0.03524620857517319,5,True,trailing_drawdown,True,True,True,8,7,0,4,4,6,7905.625,7115.0625,784.0
55,52969.125,2969.125,2969.125,52702.5,challenge,5352.5,-1230.0,1882.5,0.0350281434618784,5,True,trailing_drawdown,True,True,True,7,6,0,4,4,4,4061.25,3655.125,686.0
56,52500.15625,2500.15625,2500.15625,51527.5,challenge,2665.0,-1230.0,1882.5,0.03721826809015421,6,True,trailing_drawdown,True,True,False,8,7,0,4,4,4,3649.0625,3284.15625,784.0
