trade_id,wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_train_objective,wfa_selected_params,source_trade_id,strategy_name,session_date,direction,level_type,setup_mode,prior_profile_session,prior_value_area_high,prior_value_area_low,prior_point_of_control,prior_profile_total_volume,prior_profile_bars,value_area_fraction,boundary_type,breakout_buffer_ticks,flow_mode,orderflow_imbalance,min_orderflow_imbalance,signal_timestamp,intended_entry_timestamp,signal_flatten_time,entry_timestamp,entry_price,stop_price,target_price,risk_points,contracts,max_favorable_excursion,max_adverse_excursion,position_sizing_mode,exit_timestamp,exit_price,exit_reason,gross_pnl,net_pnl,r_multiple,commission,slippage_cost,apex_rules_enabled,latest_flat_time,force_flatten_time,latest_entry_time,was_forced_flatten,position_flat_before_deadline,pending_orders_cancelled_before_deadline,entry_before_latest_entry_time,exit_before_flatten_deadline,apex_rule_violation
11,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",11,prior_value_area_orderflow_acceptance,2015-02-12,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-11,2064.5,2059.5,2062.75,1075224.0,78,0.7,vah,1,signed_volume,0.002173956401204651,0.0,2015-02-12 09:35:00-05:00,2015-02-12 09:35:00-05:00,15:55:00,2015-02-12 09:35:00-05:00,2073.75,2064.25,2088.0,9.5,1,11.75,2.0,fixed_contracts,2015-02-12 15:55:00-05:00,2083.0,eod_flatten,462.5,457.5,0.9736842105263158,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
12,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",12,prior_value_area_orderflow_acceptance,2015-02-17,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-13,2091.25,2086.75,2088.75,1005691.0,78,0.7,vah,1,signed_volume,0.028844621513944225,0.0,2015-02-17 10:15:00-05:00,2015-02-17 10:15:00-05:00,15:55:00,2015-02-17 10:15:00-05:00,2092.0,2082.5,2106.25,9.5,1,6.75,4.0,fixed_contracts,2015-02-17 15:55:00-05:00,2093.5,eod_flatten,75.0,70.0,0.15789473684210525,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
13,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",13,prior_value_area_orderflow_acceptance,2015-02-19,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-18,2094.25,2090.5,2092.75,906758.0,78,0.7,vah,1,signed_volume,0.12915291529152914,0.0,2015-02-19 10:30:00-05:00,2015-02-19 10:30:00-05:00,15:55:00,2015-02-19 10:30:00-05:00,2095.0,2085.5,2109.25,9.5,1,4.5,3.5,fixed_contracts,2015-02-19 15:55:00-05:00,2093.75,eod_flatten,-62.5,-67.5,-0.13157894736842105,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
14,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",14,prior_value_area_orderflow_acceptance,2015-02-23,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-20,2101.0,2082.25,2092.0,1367609.0,78,0.7,vah,1,signed_volume,0.032309991951247556,0.0,2015-02-23 09:40:00-05:00,2015-02-23 09:40:00-05:00,15:55:00,2015-02-23 09:40:00-05:00,2103.0,2093.5,2117.25,9.5,1,3.25,3.25,fixed_contracts,2015-02-23 15:55:00-05:00,2105.5,eod_flatten,125.0,120.0,0.2631578947368421,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
15,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",15,prior_value_area_orderflow_acceptance,2015-03-02,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-02-27,2109.75,2103.75,2108.75,978921.0,78,0.7,vah,1,signed_volume,0.09500198859870078,0.0,2015-03-02 10:15:00-05:00,2015-03-02 10:15:00-05:00,15:55:00,2015-03-02 10:15:00-05:00,2110.5,2101.0,2124.75,9.5,1,5.0,3.5,fixed_contracts,2015-03-02 15:55:00-05:00,2114.75,eod_flatten,212.5,207.5,0.4473684210526316,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
16,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",16,prior_value_area_orderflow_acceptance,2015-03-05,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-03-04,2098.5,2090.25,2096.5,1256293.0,78,0.7,vah,1,signed_volume,0.17208216950111374,0.0,2015-03-05 09:50:00-05:00,2015-03-05 09:50:00-05:00,15:55:00,2015-03-05 09:50:00-05:00,2100.0,2090.5,2114.25,9.5,1,2.75,6.75,fixed_contracts,2015-03-05 15:55:00-05:00,2100.5,eod_flatten,25.0,20.0,0.05263157894736842,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
17,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",17,prior_value_area_orderflow_acceptance,2015-03-12,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-03-11,2047.75,2042.25,2046.25,1173790.0,78,0.7,vah,1,signed_volume,0.12330970693208666,0.0,2015-03-12 09:35:00-04:00,2015-03-12 09:35:00-04:00,15:55:00,2015-03-12 09:35:00-04:00,2051.75,2042.5,2065.625,9.25,1,14.0,0.75,fixed_contracts,2015-03-12 15:05:00-04:00,2065.375,target,681.25,676.25,1.472972972972973,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
18,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",18,prior_value_area_orderflow_acceptance,2015-03-16,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-03-13,2053.75,2041.25,2045.5,523464.0,78,0.7,vah,1,signed_volume,0.03049892259240842,0.0,2015-03-16 09:35:00-04:00,2015-03-16 09:35:00-04:00,15:55:00,2015-03-16 09:35:00-04:00,2062.75,2053.25,2077.0,9.5,1,14.25,0.25,fixed_contracts,2015-03-16 11:50:00-04:00,2076.75,target,700.0,695.0,1.4736842105263157,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
19,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",19,prior_value_area_orderflow_acceptance,2015-03-19,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-03-18,2087.25,2052.25,2058.5,1419395.0,78,0.7,vah,1,signed_volume,0.18710359408033828,0.0,2015-03-19 10:20:00-04:00,2015-03-19 10:20:00-04:00,15:55:00,2015-03-19 10:20:00-04:00,2088.75,2079.25,2103.0,9.5,1,0.75,10.0,fixed_contracts,2015-03-19 11:30:00-04:00,2079.0,stop,-487.5,-492.5,-1.0263157894736843,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
20,1,2011-01-03,2015-01-03,2015-01-03,2016-01-03,MAR,0.004569184477798371,"{'entry.params.breakout_buffer_ticks': 1, 'entry.params.min_orderflow_imbalance': 0.0, 'sl.params.stop_pct': 0.0045, 'tp.params.target_r_multiple': 1.5}",20,prior_value_area_orderflow_acceptance,2015-03-27,long,prior_value_area_vah_acceptance,vah_acceptance_long,2015-03-26,2053.0,2043.25,2048.75,1420990.0,78,0.7,vah,1,signed_volume,0.2415966386554622,0.0,2015-03-27 11:00:00-04:00,2015-03-27 11:00:00-04:00,15:55:00,2015-03-27 11:00:00-04:00,2054.0,2044.75,2067.875,9.25,1,0.75,6.5,fixed_contracts,2015-03-27 15:55:00-04:00,2053.75,eod_flatten,-12.5,-17.5,-0.02702702702702703,5.0,25.0,True,16:59:59,16:58:30,16:45:00,False,True,True,True,True,False
