campaign_id,variant_id,run_id,status,reason
es_spx_0dte_orderflow_continuation,early_signed_flow_continuation_1000,run1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,early_signed_flow_continuation_1000,rescue1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,early_large10_flow_continuation_1000,run1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,early_large10_flow_continuation_1000,rescue1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,late_morning_large20_flow_continuation_1030,run1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,late_morning_large20_flow_continuation_1030,rescue1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,midday_large20_flow_continuation_1330,run1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,midday_large20_flow_continuation_1330,rescue1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,late_day_large20_flow_continuation_1430,run1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
es_spx_0dte_orderflow_continuation,late_day_large20_flow_continuation_1430,rescue1,not_reached,campaign failed limited_core_grid_test before this artifact type was generated
