timestamp,timestamp_utc,symbol,contract_symbol,open,high,low,close,volume,signed_volume,buy_volume,sell_volume,trades,source
2026-04-01T12:50:00-04:00,2026-04-01T16:50:00+00:00,ES,ESM6,6645.5,6646.75,6645.5,6646.25,996.0,54.0,525.0,471.0,312,historical
2026-04-01T12:51:00-04:00,2026-04-01T16:51:00+00:00,ES,ESM6,6646.0,6646.75,6645.0,6645.75,1007.0,-49.0,479.0,528.0,305,historical
2026-04-01T12:52:00-04:00,2026-04-01T16:52:00+00:00,ES,ESM6,6646.0,6646.5,6645.25,6646.0,875.0,7.0,441.0,434.0,289,historical
2026-04-01T12:53:00-04:00,2026-04-01T16:53:00+00:00,ES,ESM6,6645.75,6647.5,6645.75,6646.25,1331.0,-39.0,646.0,685.0,383,historical
2026-04-01T12:54:00-04:00,2026-04-01T16:54:00+00:00,ES,ESM6,6646.25,6647.25,6646.0,6646.5,763.0,-9.0,377.0,386.0,267,historical
2026-04-01T12:55:00-04:00,2026-04-01T16:55:00+00:00,ES,ESM6,6646.25,6646.25,6644.5,6645.0,1081.0,-129.0,476.0,605.0,304,historical
2026-04-01T12:56:00-04:00,2026-04-01T16:56:00+00:00,ES,ESM6,6645.0,6647.25,6644.75,6647.0,857.0,63.0,460.0,397.0,225,historical
2026-04-01T12:57:00-04:00,2026-04-01T16:57:00+00:00,ES,ESM6,6647.0,6648.0,6646.75,6647.5,1085.0,85.0,585.0,500.0,340,historical
2026-04-01T12:58:00-04:00,2026-04-01T16:58:00+00:00,ES,ESM6,6647.5,6647.75,6646.75,6646.75,1048.0,-50.0,499.0,549.0,282,historical
2026-04-01T12:59:00-04:00,2026-04-01T16:59:00+00:00,ES,ESM6,6647.0,6647.0,6646.0,6646.0,737.0,-79.0,329.0,408.0,227,historical
2026-04-01T13:00:00-04:00,2026-04-01T17:00:00+00:00,ES,ESM6,6646.25,6646.75,6645.0,6646.0,1518.0,-66.0,726.0,792.0,380,historical
2026-04-01T13:01:00-04:00,2026-04-01T17:01:00+00:00,ES,ESM6,6646.0,6647.0,6645.75,6646.75,1120.0,-102.0,509.0,611.0,291,historical
2026-04-01T13:02:00-04:00,2026-04-01T17:02:00+00:00,ES,ESM6,6646.75,6647.5,6646.25,6646.75,1155.0,59.0,607.0,548.0,334,historical
2026-04-01T13:03:00-04:00,2026-04-01T17:03:00+00:00,ES,ESM6,6647.0,6651.25,6646.5,6650.25,3659.0,1097.0,2378.0,1281.0,1048,historical
2026-04-01T13:04:00-04:00,2026-04-01T17:04:00+00:00,ES,ESM6,6650.5,6652.25,6649.5,6651.25,3482.0,-16.0,1733.0,1749.0,935,historical
2026-04-01T13:05:00-04:00,2026-04-01T17:05:00+00:00,ES,ESM6,6651.25,6652.25,6650.5,6652.0,2467.0,-19.0,1224.0,1243.0,586,historical
2026-04-01T13:06:00-04:00,2026-04-01T17:06:00+00:00,ES,ESM6,6652.0,6653.25,6650.5,6650.75,2664.0,-42.0,1311.0,1353.0,744,historical
2026-04-01T13:07:00-04:00,2026-04-01T17:07:00+00:00,ES,ESM6,6651.0,6652.0,6650.5,6651.75,1947.0,11.0,979.0,968.0,531,historical
2026-04-01T13:08:00-04:00,2026-04-01T17:08:00+00:00,ES,ESM6,6651.75,6652.75,6651.0,6652.0,1627.0,-29.0,799.0,828.0,494,historical
2026-04-01T13:09:00-04:00,2026-04-01T17:09:00+00:00,ES,ESM6,6652.25,6652.5,6651.0,6651.5,1441.0,-59.0,691.0,750.0,408,historical
2026-04-01T13:10:00-04:00,2026-04-01T17:10:00+00:00,ES,ESM6,6651.5,6653.25,6651.25,6652.5,1230.0,112.0,671.0,559.0,402,historical
2026-04-01T13:11:00-04:00,2026-04-01T17:11:00+00:00,ES,ESM6,6652.5,6652.75,6651.0,6651.75,1170.0,-136.0,517.0,653.0,295,historical
2026-04-01T13:12:00-04:00,2026-04-01T17:12:00+00:00,ES,ESM6,6651.75,6652.0,6651.0,6651.25,1614.0,-302.0,656.0,958.0,367,historical
2026-04-01T13:13:00-04:00,2026-04-01T17:13:00+00:00,ES,ESM6,6651.25,6652.5,6650.5,6651.5,1339.0,-147.0,596.0,743.0,395,historical
2026-04-01T13:14:00-04:00,2026-04-01T17:14:00+00:00,ES,ESM6,6651.5,6652.25,6651.25,6652.0,1095.0,81.0,588.0,507.0,288,historical
2026-04-01T13:15:00-04:00,2026-04-01T17:15:00+00:00,ES,ESM6,6652.0,6652.75,6651.75,6652.0,993.0,-23.0,485.0,508.0,319,historical
2026-04-01T13:16:00-04:00,2026-04-01T17:16:00+00:00,ES,ESM6,6652.0,6652.25,6650.25,6650.75,1508.0,-330.0,589.0,919.0,361,historical
2026-04-01T13:17:00-04:00,2026-04-01T17:17:00+00:00,ES,ESM6,6650.75,6651.75,6650.5,6651.25,1164.0,18.0,591.0,573.0,327,historical
2026-04-01T13:18:00-04:00,2026-04-01T17:18:00+00:00,ES,ESM6,6651.25,6651.5,6649.75,6650.75,1437.0,-195.0,621.0,816.0,385,historical
2026-04-01T13:19:00-04:00,2026-04-01T17:19:00+00:00,ES,ESM6,6650.75,6651.75,6650.0,6651.5,1219.0,3.0,611.0,608.0,358,historical
2026-04-01T13:20:00-04:00,2026-04-01T17:20:00+00:00,ES,ESM6,6651.75,6653.75,6651.5,6652.5,2158.0,306.0,1232.0,926.0,538,historical
2026-04-01T13:21:00-04:00,2026-04-01T17:21:00+00:00,ES,ESM6,6652.5,6653.0,6651.5,6652.25,2081.0,51.0,1066.0,1015.0,546,historical
2026-04-01T13:22:00-04:00,2026-04-01T17:22:00+00:00,ES,ESM6,6652.5,6653.0,6650.75,6651.5,1694.0,20.0,857.0,837.0,457,historical
2026-04-01T13:23:00-04:00,2026-04-01T17:23:00+00:00,ES,ESM6,6651.5,6652.0,6650.5,6652.0,1839.0,-145.0,847.0,992.0,507,historical
