run_id,entry.params.share_rank_min,entry.params.min_abs_return_ticks,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
1,0.35,2,0.002,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43424025257234,13330.0,1.2129903331469203,0.10611401800695382,4927.5,0.03150374017006585,0.021572044852733452,0.6847455170808806,0.45353159851301117,0,0,True,-642.5,0.09058514628657165,6,True,
2,0.35,2,0.002,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43424025257234,14636.25,1.226883428925748,0.11660807113859874,5002.5,0.031584430343782555,0.02361406642245467,0.747648957585304,0.4349442379182156,0,0,True,-642.5,0.10342471603040396,6,True,
3,0.35,2,0.002,3.0,269,269,269,0,0,0,0,0,0,0,269,67.43424025257234,16142.5,1.2468932818414713,0.12584783679916828,5145.0,0.032642832217745776,0.02595372641166027,0.7950819413748947,0.4275092936802974,0,0,True,-642.5,0.11042279696453461,6,True,
4,0.35,2,0.003,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,19292.5,1.266756541878392,0.09751311944864026,8485.0,0.05352130444381367,0.0307951929787178,0.5753819586188599,0.49070631970260226,0,0,True,-930.0,0.09109757677854088,5,True,
5,0.35,2,0.003,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,19867.5,1.2736947237911558,0.10379357233523141,7840.0,0.04900459418070444,0.031671732586127765,0.6463012930856696,0.48698884758364314,0,0,True,-930.0,0.11079652699131748,5,True,
6,0.35,2,0.003,3.0,269,269,269,0,0,0,0,0,0,0,269,67.43311534525795,19930.0,1.2745557239289158,0.10273013534520689,8965.0,0.05579672937185891,0.03176687459974725,0.5693321984526369,0.48698884758364314,0,0,True,-930.0,0.13271450075263422,5,True,
7,0.35,2,0.004,2.0,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,25342.5,1.3463746326795598,0.09974300244840717,6777.5,0.04160272543121969,0.03990849553933762,0.9592759879473982,0.5241635687732342,0,0,True,-1230.0,0.09302554996547302,5,True,
8,0.35,2,0.004,2.5,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,26255.0,1.358846442971366,0.10385944700862551,7993.75,0.04836416438521925,0.04126248881651118,0.8531624466383123,0.5241635687732342,0,0,True,-1230.0,0.0862216720624643,5,True,
9,0.35,2,0.004,3.0,269,269,269,0,0,0,0,0,0,0,269,67.43308320560043,25617.5,1.3501332604387344,0.1008959623904542,8060.0,0.04862525074280198,0.04031710303498004,0.8291392315534373,0.5241635687732342,0,0,True,-1230.0,0.10178588855274714,5,True,
10,0.35,3,0.002,2.0,263,263,263,0,0,0,0,0,0,0,263,65.93013080455957,13597.5,1.2226999140154773,0.11022706676544877,4792.5,0.030614200389664312,0.02199121341055732,0.7183337513522579,0.4524714828897338,0,0,True,-642.5,0.0888030888030888,6,True,
11,0.35,3,0.002,2.5,263,263,263,0,0,0,0,0,0,0,263,65.93013080455957,14903.75,1.2366331917596158,0.12096052795332897,4450.0,0.028152975041913136,0.024030742485402268,0.8535773732483393,0.43346007604562736,0,0,True,-642.5,0.1015683972154659,6,True,
12,0.35,3,0.002,3.0,263,263,263,0,0,0,0,0,0,0,263,65.93013080455957,16410.0,1.256988489546629,0.1304110867468392,4510.0,0.02862219965729517,0.026367570921305372,0.9212279711907068,0.42585551330798477,0,0,True,-642.5,0.10862279098110908,6,True,
13,0.35,3,0.003,2.0,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,20272.5,1.2892662219526987,0.10462771862632937,7330.0,0.04627671328009091,0.03228778778609964,0.6977113432986702,0.49049429657794674,0,0,True,-930.0,0.08669379701566161,5,True,
14,0.35,3,0.003,2.5,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,20847.5,1.2963397299218196,0.11105145180691121,7022.5,0.04384061929361822,0.03316055078935265,0.7563887400235644,0.4866920152091255,0,0,True,-930.0,0.1055882000239837,5,True,
15,0.35,3,0.003,3.0,263,263,263,0,0,0,0,0,0,0,263,65.92903098811463,20910.0,1.297228144989339,0.10996375389696217,7960.0,0.04953868654022685,0.03325528364587371,0.6712992606065455,0.4866920152091255,0,0,True,-930.0,0.12649450023912004,5,True,
16,0.35,3,0.004,2.0,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,25572.5,1.3597706809229038,0.10202388519055428,6777.5,0.04161166538756715,0.04025027281411919,0.9672833913094303,0.5209125475285171,0,0,True,-1230.0,0.092188874767817,5,True,
17,0.35,3,0.004,2.5,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,26485.0,1.3726083286437816,0.10623424103351523,7113.75,0.0432795412718451,0.04160294022242894,0.9612611178365966,0.5209125475285171,0,0,True,-1230.0,0.08547290919388333,5,True,
18,0.35,3,0.004,3.0,263,263,263,0,0,0,0,0,0,0,263,65.9289995653268,25847.5,1.3636395610579628,0.10320314840124116,7200.0,0.04367275760103116,0.04065847946510259,0.930980357057705,0.5209125475285171,0,0,True,-1230.0,0.1008801624915369,5,True,
19,0.35,4,0.002,2.0,253,253,253,0,0,0,0,0,0,0,253,63.42328172453829,12860.0,1.217450118363206,0.1075377803192864,4472.5,0.028783344595681694,0.020834314181436664,0.7238322882241556,0.45454545454545453,0,0,True,-642.5,0.09389580093312597,6,True,
20,0.35,4,0.002,2.5,253,253,253,0,0,0,0,0,0,0,253,63.42328172453829,13672.5,1.223900761483665,0.11474291981498792,4092.5,0.026122201477651714,0.022108645116806658,0.8463545898197452,0.43478260869565216,0,0,True,-642.5,0.11071493874565734,6,True,
21,0.35,4,0.002,3.0,253,253,253,0,0,0,0,0,0,0,253,63.42328172453829,15085.0,1.2435519677093845,0.12377548986749269,4510.0,0.02889914135588876,0.024312781964682006,0.8412977280284422,0.4268774703557312,0,0,True,-642.5,0.11816373881339079,6,True,
22,0.35,4,0.003,2.0,253,253,253,0,0,0,0,0,0,0,253,63.42222372620914,18985.0,1.2786686727092584,0.10164489129442919,7330.0,0.0467221212990407,0.03032551900884961,0.6490612618967764,0.49407114624505927,0,0,True,-930.0,0.09257308401369502,5,True,
23,0.35,4,0.003,2.5,253,253,253,0,0,0,0,0,0,0,253,63.42222372620914,19560.0,1.2859858176767307,0.10832252697226723,6648.75,0.04190234602719438,0.031203251502605944,0.744665978424101,0.4901185770750988,0,0,True,-930.0,0.11253834355828221,5,True,
24,0.35,4,0.003,3.0,253,253,253,0,0,0,0,0,0,0,253,63.42222372620914,19622.5,1.2868996271657285,0.1071918370500672,7312.5,0.04594072468548273,0.031298522751863844,0.6812805624233912,0.4901185770750988,0,0,True,-930.0,0.1347942413046248,5,True,
25,0.35,4,0.004,2.0,253,253,253,0,0,0,0,0,0,0,253,63.422193498204116,24735.0,1.360174736075719,0.10267525968585707,5960.0,0.03692803370612473,0.039004139448719055,1.056220316497653,0.525691699604743,0,0,True,-1230.0,0.09531028906407923,5,True,
26,0.35,4,0.004,2.5,253,253,253,0,0,0,0,0,0,0,253,63.422193498204116,25647.5,1.373461958500182,0.10705203275581252,6266.25,0.03847688930506731,0.040361649387154586,1.0489842114611654,0.525691699604743,0,0,True,-1230.0,0.0882639633492543,5,True,
27,0.35,4,0.004,3.0,253,253,253,0,0,0,0,0,0,0,253,63.422193498204116,25010.0,1.364179104477612,0.10390113409064224,6382.5,0.0390647713188377,0.03941381013060896,1.0089348740562818,0.525691699604743,0,0,True,-1230.0,0.10425829668132747,5,True,
