wfa_window_id,wfa_train_start,wfa_train_end,wfa_test_start,wfa_test_end,wfa_objective,wfa_base_config_hash,wfa_parameter_hash,wfa_selection_filter_hash,wfa_input_hash,wfa_selection_rank,wfa_selected,run_id,entry.params.attention_rank_threshold,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple,signals_generated,entries_opened,trades_closed,entry_rejections_total,reject_missing_stop,reject_target_already_reached,reject_position_sizing,reject_daily_risk_lockout,reject_apex_latest_entry_time,reject_event_no_trade_window,total_trades,trades_per_year,net_profit,profit_factor,expectancy_r,max_drawdown,max_drawdown_pct,cagr,mar,win_rate,apex_rule_violations,apex_forced_flatten_trades,profitable,worst_day,best_day_concentration,consecutive_losses,benchmark_passed,failure_reason
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,11,False,37,0.6,0.005,0.003,1.0,234,234,234,0,0,0,0,0,0,0,234,59.06514822120161,-920.0,0.9682758620689655,0.018570782119397045,4697.5,0.03071516142214957,-0.0015517083400125031,-0.05051929627475513,0.5299145299145299,0,0,False,-342.5,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,12,False,67,0.65,0.005,0.004,1.0,197,197,197,0,0,0,0,0,0,0,197,50.884773480662986,-897.5,0.9698141764062894,0.012532490997465276,4365.0,0.028562548054115067,-0.0015489263585847235,-0.054229277991939044,0.5228426395939086,0,0,False,-442.5,0.0,5,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,13,False,34,0.6,0.0,0.006,1.0,248,248,248,0,0,0,0,0,0,0,248,62.54988023564446,-2102.5,0.9511018082446654,-0.003085174739442215,9417.5,0.061444859477710535,-0.0035539252106938646,-0.057839260125300974,0.5080645161290323,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,14,False,47,0.6,0.01,0.003,1.5,212,212,212,0,0,0,0,0,0,0,212,53.512014627755306,-1141.25,0.9609962406015038,0.014354361459105526,4710.0,0.030670302388995156,-0.0019259446989371432,-0.06279509978448056,0.4481132075471698,0,0,False,-342.5,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,15,False,35,0.6,0.0,0.006,1.5,248,248,248,0,0,0,0,0,0,0,248,62.54988023564446,-2483.75,0.9448851658715189,-0.00645244755781361,9995.0,0.06524470845504839,-0.004202405275285703,-0.06440990196440272,0.4838709677419355,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,16,False,7,0.55,0.0,0.006,1.0,281,281,281,0,0,0,0,0,0,0,281,70.8730497831294,-2442.5,0.9488052819115489,-0.0027203486923709887,9430.0,0.061327350177218486,-0.004132181437102145,-0.06737909636012845,0.49466192170818507,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,17,False,36,0.6,0.0,0.006,2.0,248,248,248,0,0,0,0,0,0,0,248,62.54988023564446,-2965.0,0.9345835631549917,-0.012876407917364417,11132.5,0.0729378234947258,-0.005022770374447316,-0.06886372712794915,0.47580645161290325,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,18,False,43,0.6,0.005,0.006,1.0,234,234,234,0,0,0,0,0,0,0,234,59.05593716036439,-2457.5,0.9399107524909835,-0.006055242371760866,8397.5,0.05478982824147324,-0.004160323726918658,-0.07593241045733913,0.5,0,0,False,-655.0,0.0,7,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,19,False,16,0.55,0.005,0.006,1.0,265,265,265,0,0,0,0,0,0,0,265,66.87958695511351,-2762.5,0.9393856280855732,-0.005059389843904845,8845.0,0.05752284329984066,-0.004680266694649382,-0.08136361880189512,0.49056603773584906,0,0,False,-655.0,0.0,8,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar
2,2012-01-03,2016-01-03,2016-01-03,2017-01-03,MAR,093b69ee5bde7cec290d79c606023ba0570962a215b19e5773757d214cc2968f,240fe6ec877c5dc95ee7c3feb953a2941150fe52b50d7f61f76cd4a54bc4a1ff,4e9149c9981e8486fad75e8e827175a5564f8aaf5cf932e70fac29809cf65023,4b878ec634d7bfad334902d112b9507cb60074e6f445dcd016ab18478d180c33,20,False,2,0.55,0.0,0.003,1.5,281,281,281,0,0,0,0,0,0,0,281,70.87746827065794,-2261.25,0.9426878722595362,-0.0011772517191563899,6878.75,0.04486055971761407,-0.0038240339283978075,-0.0852426708999874,0.44483985765124556,0,0,False,-342.5,0.0,9,False,min_total_net_profit;min_profit_factor;min_expectancy_r;min_cagr;min_mar;max_consecutive_losses;min_positive_month_rate
