campaign_id,variant_id,test_run_id,rescue_attempt,equity_curve_path,exists
es_import_export_price_pressure,core_pressure_large20_short_1200,rescue1,parameter_space_rescue_1,backtest-campaigns/es_import_export_price_pressure/core_pressure_large20_short_1200/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,core_pressure_large20_short_1200,run1,none,backtest-campaigns/es_import_export_price_pressure/core_pressure_large20_short_1200/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,core_pressure_signed_short_1100,rescue1,parameter_space_rescue_1,backtest-campaigns/es_import_export_price_pressure/core_pressure_signed_short_1100/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,core_pressure_signed_short_1100,run1,none,backtest-campaigns/es_import_export_price_pressure/core_pressure_signed_short_1100/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_large20_long_1200,rescue1,parameter_space_rescue_1,backtest-campaigns/es_import_export_price_pressure/import_disinflation_large20_long_1200/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_large20_long_1200,run1,none,backtest-campaigns/es_import_export_price_pressure/import_disinflation_large20_long_1200/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_large20_long_1430,rescue1,parameter_space_rescue_1,backtest-campaigns/es_import_export_price_pressure/import_disinflation_large20_long_1430/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_large20_long_1430,run1,none,backtest-campaigns/es_import_export_price_pressure/import_disinflation_large20_long_1430/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_signed_long_1030,rescue1,parameter_space_rescue_1,backtest-campaigns/es_import_export_price_pressure/import_disinflation_signed_long_1030/ES/rescue1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
es_import_export_price_pressure,import_disinflation_signed_long_1030,run1,none,backtest-campaigns/es_import_export_price_pressure/import_disinflation_signed_long_1030/ES/run1/limited_core_grid_test/fixed_config_core_equity_curve.csv,True
